month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,09110,"capitol planning region, ct",429900.0,-0.012,0.0485,961,0.066,0.0367,33.0,0.082,-0.0571,884,-0.0556,0.0184,8,1.0,-0.3333,0.0027,0.0014,-0.0012,292.0,0.0977,-0.0395,0.0969,0.0092,-0.0003,1188.0,-0.1226,-0.069,239.0,0.0033,0.0261,1842.0,-0.0146,0.0088,529147.0,-0.0072,0.0273,2147,-0.046,-0.0219,1.2362,-0.2657,-0.1403,0.0
202608,09150,"northeastern connecticut planning region, ct",482500.0,0.0548,0.0746,171,-0.0201,0.0059,38.0,-0.038,-0.013,124,-0.0462,-0.0606,0,,,0.0,0.0,0.0,60.0,0.0714,-0.0625,0.1217,-0.0001,-0.0215,175.0,-0.0716,0.1076,253.0,0.0315,0.0082,1913.0,-0.0194,0.0428,577847.0,0.0257,0.1084,344,-0.0444,0.0393,1.0234,-0.0568,0.094,0.0
202608,09180,"southeastern connecticut planning region, ct",464000.0,-0.0096,-0.0126,407,0.0449,0.0,37.0,-0.0263,-0.0513,328,0.0581,0.1233,0,-1.0,-1.0,0.0,-0.0017,-0.0032,96.0,-0.04,-0.2,0.0861,0.0012,-0.0193,446.0,-0.0814,-0.0176,272.0,-0.0169,0.0128,1776.0,-0.0106,-0.0533,725021.0,-0.0204,-0.0074,846,-0.027,-0.0174,1.0958,-0.1506,-0.0197,0.0
202608,09130,"lower connecticut river valley planning region, ct",629000.0,-0.0323,-0.0094,343,-0.0144,-0.02,45.0,0.1321,-0.0426,212,-0.0702,0.06,4,-0.3333,,0.0045,-0.0018,0.0045,100.0,-0.0909,0.0417,0.1124,-0.0061,0.0059,326.0,-0.0383,0.0316,315.0,-0.0294,0.0753,1960.0,-0.0143,-0.0845,928950.0,-0.0821,0.0056,666,-0.0256,0.0045,0.9504,-0.0237,0.0476,0.0
202608,09190,"western connecticut planning region, ct",899000.0,-0.0907,-0.0228,1117,-0.0257,0.0588,47.0,0.093,-0.0784,568,-0.142,0.084,4,-0.6,0.0,0.0015,-0.0019,-0.0001,272.0,-0.0073,0.1525,0.1056,0.0101,0.0035,939.0,-0.1436,-0.0209,394.0,-0.0328,0.0028,2528.0,-0.0441,-0.0408,2090092.0,-0.0848,-0.0071,2035,-0.085,0.0134,0.8406,-0.1157,-0.0684,0.0
202608,09160,"northwest hills planning region, ct",649450.0,-0.0574,-0.0716,345,0.0407,0.0029,55.0,0.0891,-0.0984,136,-0.0423,-0.0811,0,,-1.0,0.0,0.0,-0.0055,112.0,0.2727,0.12,0.1634,0.0313,0.0203,203.0,-0.0025,-0.0379,288.0,-0.0234,-0.0282,2200.0,-0.0045,-0.0793,1073602.0,-0.018,-0.1986,547,0.0186,-0.0091,0.5884,-0.0255,-0.025,0.0
202608,09120,"greater bridgeport planning region, ct",599900.0,-0.0608,0.0543,442,-0.0484,0.0995,45.0,0.1538,0.1111,212,-0.2206,-0.1452,0,-1.0,,0.0,-0.005,0.0,116.0,-0.1343,0.2083,0.1086,0.0,0.0213,406.0,-0.1353,-0.0752,298.0,-0.0292,0.0159,1920.0,-0.0182,0.0418,933886.0,-0.0221,-0.0143,848,-0.0921,0.0095,0.9186,-0.0922,-0.1735,0.0
202608,09170,"south central connecticut planning region, ct",449000.0,-0.0186,-0.0645,802,0.0158,0.1573,44.0,0.1429,0.1892,504,-0.0195,0.0588,8,0.3333,0.0,0.0039,0.001,-0.0005,268.0,0.1652,0.2407,0.1302,0.0194,0.0148,741.0,-0.0685,0.0109,269.0,-0.0259,-0.0095,1638.0,0.002,-0.0455,686830.0,-0.0187,-0.0906,1542,-0.0262,0.0921,0.9239,-0.0837,-0.1338,0.0
202608,09140,"naugatuck valley planning region, ct",416500.0,-0.0095,-0.0198,736,0.0366,-0.0121,40.0,0.0127,-0.0361,476,-0.0246,0.0348,4,-0.6667,-0.5,0.0021,-0.0038,-0.0021,276.0,0.0,0.0299,0.1422,0.0074,0.0053,790.0,-0.036,0.0792,248.0,0.0113,0.0013,1735.0,-0.0013,-0.0097,501886.0,-0.0042,-0.0139,1510,-0.0124,0.0148,1.0734,-0.0809,0.0908,0.0
202607,09170,"south central connecticut planning region, ct",457500.0,0.0055,-0.0809,790,0.0464,0.1757,39.0,0.1,0.0548,514,-0.149,-0.041,6,0.0,-0.25,0.0029,0.0002,-0.0011,230.0,-0.1016,0.4198,0.1107,-0.0047,0.0307,796.0,-0.0909,0.0192,276.0,-0.0157,0.0051,1635.0,-0.0053,-0.0514,699885.0,-0.0244,-0.0996,1584,-0.03,0.0943,1.0076,-0.1521,-0.1547,0.0
