month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,10001,"kent, de",425350.0,-0.0107,0.0634,557,0.0372,0.0569,51.0,0.0,-0.0192,232,0.0357,0.0741,20,0.1111,-0.1667,0.0179,0.0007,-0.0051,236.0,0.439,0.1132,0.2231,0.0641,0.0134,265.0,-0.0734,-0.1077,201.0,-0.0076,-0.0053,2055.0,-0.0015,0.0571,448358.0,-0.0321,0.0625,822,-0.0006,-0.0024,0.4758,-0.0568,-0.0878,0.0
202608,10005,"sussex, de",549997.0,0.0,0.0,1952,-0.0005,0.129,75.0,0.0563,-0.0385,532,-0.0292,-0.0221,32,0.3333,-0.5294,0.0093,0.0021,-0.0125,584.0,0.0282,0.1967,0.1771,0.008,0.0237,847.0,-0.0128,-0.014,257.0,0.0019,-0.003,2139.0,-0.0057,-0.0168,732785.0,0.0097,0.0273,2797,-0.0023,0.0845,0.4339,-0.0054,-0.0629,0.0
202608,10003,"new castle, de",424900.0,-0.0397,0.0117,962,0.0468,0.1877,40.0,0.0,0.0667,588,0.0538,0.1136,32,0.3333,0.1429,0.014,0.0029,-0.0001,376.0,-0.0309,0.2877,0.1699,-0.0055,0.0304,674.0,-0.0196,-0.0703,208.0,-0.0158,-0.032,1973.0,-0.0257,0.0196,487291.0,-0.0399,-0.1005,1625,0.0115,0.0677,0.7006,-0.0475,-0.1944,0.0
202607,10001,"kent, de",429950.0,-0.0001,0.0702,537,0.0478,0.0367,51.0,0.0303,0.1591,224,-0.0088,0.0467,18,-0.5,0.2857,0.0172,-0.0175,0.0054,164.0,-0.1368,-0.1546,0.1589,-0.0269,-0.033,286.0,-0.0699,-0.0069,202.0,0.0044,0.0027,2058.0,-0.0102,0.0516,463228.0,0.017,0.0978,823,0.0049,0.0179,0.5326,-0.0674,-0.0234,0.0
202607,10003,"new castle, de",442450.0,-0.0167,0.0472,919,-0.0049,0.2164,40.0,0.1111,0.0667,558,-0.1029,-0.0882,24,-0.5,-0.4783,0.0111,-0.0092,-0.0092,388.0,0.096,0.5039,0.1754,0.0216,0.0602,688.0,-0.087,-0.0303,212.0,0.0037,-0.0133,2025.0,-0.0222,0.0385,507557.0,-0.0099,-0.0658,1607,-0.044,0.097,0.7481,-0.0673,-0.1904,0.0
202607,10005,"sussex, de",549999.0,-0.0107,0.0,1953,-0.0051,0.125,71.0,0.084,0.0216,548,-0.068,-0.0453,24,0.0,-0.4,0.0071,-0.0001,-0.0048,568.0,-0.118,0.0637,0.1692,-0.0187,-0.0042,858.0,-0.0161,0.0902,257.0,0.001,-0.0057,2151.0,-0.0035,-0.0105,725762.0,0.0052,0.018,2804,-0.0094,0.1116,0.4393,-0.0049,-0.014,0.0
202606,10003,"new castle, de",449950.0,0.0254,0.0589,924,0.0801,0.2413,36.0,0.125,0.0,622,-0.0158,0.0578,48,0.5,0.2632,0.0203,0.0066,0.0021,354.0,-0.0056,0.18,0.1538,0.0012,0.0136,753.0,-0.0468,-0.0259,211.0,-0.0035,-0.005,2071.0,0.0058,0.0486,512637.0,-0.0127,-0.0781,1681,0.0216,0.1092,0.8154,-0.1086,-0.2236,0.0
202606,10001,"kent, de",430000.0,0.0,0.0657,513,0.0524,0.002,50.0,-0.01,0.3562,226,-0.0738,-0.1986,36,1.25,1.25,0.0346,0.0184,0.0197,190.0,0.2838,0.0215,0.1859,0.0356,0.0124,308.0,-0.0538,0.0677,202.0,0.0031,-0.0145,2079.0,0.0042,0.0544,455476.0,0.0078,0.0667,819,0.008,0.0143,0.6,-0.0674,0.037,0.0
202606,10005,"sussex, de",555950.0,-0.0063,-0.0055,1963,0.0124,0.0988,66.0,0.0738,0.048,588,-0.0813,0.097,24,-0.4545,-0.2,0.0072,-0.0056,-0.0023,644.0,0.1667,0.0915,0.1879,0.0269,-0.0011,872.0,-0.0023,0.0772,257.0,-0.0021,-0.0114,2158.0,-0.0022,-0.0056,722039.0,-0.01,0.0066,2830,0.0064,0.0883,0.4442,-0.0065,-0.0089,0.0
202605,10005,"sussex, de",559450.0,-0.0097,0.0008,1939,0.0308,0.0838,61.0,0.0702,0.0702,640,-0.0857,-0.0303,44,0.0476,-0.45,0.0128,0.0001,-0.0114,552.0,-0.0143,-0.0483,0.161,-0.0028,-0.0146,874.0,0.0626,-0.0158,257.0,-0.0164,-0.0121,2163.0,0.0029,-0.0055,729351.0,0.0135,0.0183,2812,0.0419,0.0508,0.4507,0.0135,-0.0456,0.0
202605,10001,"kent, de",430000.0,-0.0209,0.0604,487,0.0052,0.0541,50.0,0.1111,0.3158,244,0.0339,0.0167,16,-0.1111,-0.2,0.0162,-0.0014,-0.0024,148.0,0.0,-0.0263,0.1503,0.001,0.0001,325.0,0.1324,0.035,201.0,-0.0079,-0.0295,2071.0,-0.0233,0.0521,451938.0,-0.0101,0.0354,812,0.0532,0.0477,0.6674,0.075,-0.0123,0.0
202605,10003,"new castle, de",438791.0,0.0216,0.0324,855,0.0459,0.1842,32.0,-0.0986,0.0492,632,-0.0247,0.0604,32,-0.3043,-0.2727,0.0137,-0.007,-0.0087,356.0,0.2276,0.1867,0.1525,0.0265,0.0074,790.0,0.1326,0.0102,212.0,-0.0075,0.005,2059.0,0.0504,0.0425,519235.0,-0.0142,-0.0624,1645,0.0865,0.0872,0.924,0.0708,-0.1591,0.0
202604,10005,"sussex, de",564950.0,0.018,0.0273,1881,0.1048,0.0845,57.0,-0.0172,0.1753,700,0.0574,0.0086,42,0.6154,-0.2759,0.0127,0.0042,-0.0047,560.0,0.3333,0.1024,0.1637,0.0256,0.0083,823.0,0.0689,-0.0971,261.0,-0.0076,0.0064,2157.0,0.027,0.0087,719632.0,0.0206,0.0173,2699,0.0932,0.0195,0.4373,-0.0147,-0.088,0.0
202604,10001,"kent, de",439200.0,0.004,0.0653,485,0.0684,0.1254,45.0,-0.122,0.0056,236,-0.0167,-0.0248,18,-0.3571,-0.3077,0.0177,-0.0113,-0.0086,148.0,0.1045,-0.1294,0.1492,0.0075,-0.023,287.0,0.0749,-0.0831,203.0,0.0049,-0.019,2120.0,-0.0117,0.08,456549.0,0.0116,0.0467,771,0.0716,0.0363,0.5924,0.0036,-0.1347,0.0
202604,10003,"new castle, de",429500.0,0.019,0.0451,818,0.1018,0.1662,36.0,-0.0533,0.2241,648,0.1134,0.0728,46,-0.2813,-0.2581,0.0207,-0.0133,-0.0095,290.0,0.2083,0.2609,0.126,0.001,0.0147,698.0,0.2511,-0.0768,213.0,0.0017,-0.0044,1960.0,0.0317,0.0516,526727.0,0.0096,-0.0218,1514,0.1655,0.0499,0.8532,0.1019,-0.2245,0.0
202603,10005,"sussex, de",554950.0,0.0058,0.0092,1703,0.1027,0.1215,58.0,-0.2564,0.1154,662,0.1297,-0.0207,26,-0.2353,-0.4583,0.0086,-0.0042,-0.0083,420.0,0.7213,0.0606,0.1381,0.0499,0.0035,770.0,0.1442,-0.0979,263.0,-0.0026,0.0152,2100.0,0.0062,-0.0201,705115.0,-0.0105,0.0024,2469,0.1162,0.0422,0.452,0.0164,-0.1099,0.0
202603,10001,"kent, de",437448.0,0.0297,0.0939,454,0.0721,0.0646,51.0,-0.0807,-0.1314,240,0.2766,0.2766,28,-0.1765,0.4,0.0289,-0.0109,0.005,134.0,0.5952,-0.0946,0.1417,0.0438,-0.0235,267.0,0.1659,-0.022,202.0,0.0157,-0.0188,2145.0,0.0325,0.0839,451318.0,0.0157,0.0267,720,0.1061,0.0308,0.5888,0.0474,-0.0521,0.0
202603,10003,"new castle, de",421502.0,-0.0082,0.0811,742,0.088,0.1175,38.0,-0.1713,0.1029,582,0.455,0.0393,64,1.4615,0.6,0.034,0.0177,0.0133,240.0,0.2121,0.0909,0.125,-0.0024,0.0132,558.0,0.17,-0.1165,213.0,0.0014,-0.0116,1900.0,-0.038,0.0556,521733.0,-0.0179,-0.0176,1299,0.1141,0.0031,0.7513,0.0527,-0.199,0.0
202602,10005,"sussex, de",551750.0,0.0032,0.0215,1544,0.0881,0.1332,78.0,-0.1522,0.0331,586,0.2739,0.0427,34,0.4167,-0.4848,0.0128,0.0034,-0.0115,244.0,-0.0469,-0.0963,0.0883,-0.0119,-0.0124,673.0,0.1116,-0.1503,264.0,0.0144,0.0229,2087.0,-0.0062,-0.0123,712564.0,0.0177,0.0424,2212,0.0907,0.0281,0.4356,0.0092,-0.1454,0.0
202602,10003,"new castle, de",425000.0,0.0037,0.0932,682,-0.0073,0.0681,45.0,-0.2198,0.0056,400,0.0204,-0.0826,26,-0.5357,-0.2778,0.0162,-0.0203,-0.0054,198.0,0.3026,-0.01,0.1275,0.0262,0.0084,477.0,0.0636,-0.1869,213.0,-0.0069,0.0,1975.0,0.0,0.0748,531253.0,0.016,0.0018,1166,0.0255,-0.0466,0.6987,0.0466,-0.2191,0.0
202602,10001,"kent, de",424850.0,0.0301,0.0622,423,-0.0208,-0.0353,56.0,-0.2363,-0.1357,188,0.0444,0.033,34,3.25,1.4286,0.0398,0.0303,0.0225,84.0,-0.2759,-0.3115,0.0979,-0.0422,-0.045,229.0,0.0223,-0.0498,198.0,-0.0051,-0.0376,2078.0,0.032,0.0372,444335.0,0.0288,0.0278,651,-0.0069,-0.0341,0.5414,0.0229,-0.0082,0.0
202601,10003,"new castle, de",423450.0,0.0205,0.0404,687,-0.0628,0.0827,58.0,0.2473,0.0357,392,0.4627,0.2025,56,0.5556,0.4,0.0365,0.0162,0.0094,152.0,-0.2083,-0.1163,0.1013,-0.0193,-0.0147,448.0,-0.2078,-0.1515,214.0,0.0141,0.0094,1975.0,0.0083,0.0653,522896.0,0.0095,-0.0309,1137,-0.1237,-0.016,0.6521,-0.1194,-0.18,0.0
202601,10001,"kent, de",412450.0,0.0311,0.0248,432,-0.0281,-0.0609,73.0,-0.0068,0.1274,180,0.5254,0.2329,8,-0.7143,-0.4286,0.0095,-0.0249,-0.0075,116.0,0.2083,0.0545,0.1401,0.0212,0.0094,224.0,-0.0366,0.0443,200.0,0.0008,-0.0419,2013.0,0.0154,0.0102,431894.0,0.0177,-0.0024,655,-0.0375,-0.0246,0.5185,-0.0045,0.0522,0.0
202601,10005,"sussex, de",550000.0,-0.009,0.0196,1419,-0.0344,0.1056,92.0,0.0636,0.0888,460,0.84,0.122,24,-0.2,0.0909,0.0094,-0.0026,0.0003,256.0,0.641,0.1963,0.1002,0.0356,0.0105,605.0,-0.132,-0.1632,260.0,-0.0049,0.0107,2100.0,-0.0187,-0.0126,700173.0,-0.0337,0.0418,2028,-0.0626,0.0037,0.4264,-0.048,-0.1369,0.0
202512,10005,"sussex, de",554995.0,0.0002,0.0175,1470,-0.1294,0.0913,87.0,0.109,0.109,250,-0.349,-0.2038,30,0.875,0.25,0.012,0.0065,0.0024,156.0,-0.61,-0.1702,0.0645,-0.0734,-0.0111,697.0,-0.1121,-0.1249,262.0,0.0114,0.0107,2140.0,-0.0074,0.0043,724605.0,0.0149,0.0648,2164,-0.1287,0.011,0.4743,0.0093,-0.1172,0.0
202512,10001,"kent, de",399997.0,-0.0086,0.0002,445,-0.1318,-0.0532,74.0,0.1484,0.3486,118,-0.3295,-0.2133,28,0.0,0.4,0.0344,0.0055,0.012,96.0,-0.3846,-0.04,0.1189,-0.0462,0.002,233.0,-0.1357,-0.0064,199.0,-0.0018,-0.0343,1983.0,-0.0112,-0.0094,424395.0,0.004,-0.0299,681,-0.1287,-0.0327,0.5231,-0.0023,0.0247,0.0
202512,10003,"new castle, de",414925.0,0.0121,0.0375,733,-0.1039,0.0677,47.0,0.1071,-0.0053,268,-0.4962,-0.2071,36,0.2857,1.0,0.0203,0.0043,0.0098,192.0,-0.4217,0.0105,0.1205,-0.0391,0.0039,566.0,-0.1967,-0.0342,211.0,-0.0045,-0.0045,1959.0,0.0123,0.0498,517997.0,0.0153,-0.018,1298,-0.1509,0.02,0.7715,-0.0891,-0.0814,0.0
202511,10003,"new castle, de",409950.0,0.007,0.0002,818,-0.025,0.1129,42.0,0.1507,0.0769,532,-0.0362,0.0726,28,-0.125,0.0,0.016,0.0009,0.0,332.0,-0.1309,0.2769,0.1596,-0.0247,0.0263,704.0,0.0036,0.01,212.0,-0.0024,-0.0016,1935.0,0.0052,0.0149,510172.0,0.0587,-0.0456,1528,-0.0116,0.0626,0.8606,0.0245,-0.0877,0.0
202511,10005,"sussex, de",554900.0,0.0089,0.0178,1688,-0.0648,0.1367,78.0,0.1304,0.1642,384,-0.2587,-0.1028,16,-0.5,-0.6364,0.0055,-0.0048,-0.0105,400.0,-0.2857,0.0753,0.138,-0.0404,0.0106,785.0,-0.0255,-0.1374,259.0,0.0071,-0.009,2156.0,-0.0078,0.0267,713931.0,-0.0072,0.0319,2483,-0.0463,0.045,0.465,0.0188,-0.1477,0.0
202511,10001,"kent, de",403450.0,0.0086,0.0089,512,-0.0248,0.0535,64.0,0.1532,0.3061,176,0.0602,-0.0435,28,0.1667,0.4,0.0289,0.0047,0.0074,156.0,-0.2642,-0.1333,0.1651,-0.0415,-0.0238,269.0,-0.1378,0.0037,200.0,-0.0047,-0.0215,2005.0,0.0293,0.024,422701.0,0.0068,-0.031,781,-0.0658,0.0358,0.5254,-0.0689,-0.026,0.0
202510,10001,"kent, de",400000.0,0.0001,-0.0183,525,-0.0278,0.1425,56.0,-0.0089,0.2759,166,-0.1942,-0.2019,24,-0.1429,0.5,0.0242,-0.0017,0.0073,212.0,-0.094,0.1158,0.2066,-0.0078,0.0064,312.0,0.0777,0.1044,201.0,-0.008,-0.0186,1948.0,0.001,-0.001,419834.0,0.0027,-0.0472,836,0.0097,0.1282,0.5943,0.0582,-0.0205,0.0
202510,10005,"sussex, de",550000.0,0.0,0.0009,1805,0.0178,0.2001,69.0,-0.0417,0.0781,518,-0.122,-0.125,32,0.6,-0.4839,0.0104,0.0042,-0.01,560.0,0.0219,0.3084,0.1783,0.0071,0.0379,806.0,-0.0219,-0.1565,257.0,0.0008,-0.0203,2173.0,0.0014,0.0323,719082.0,0.0091,0.0209,2604,0.0025,0.0609,0.4463,-0.0181,-0.1887,0.0
