month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,13205,"mitchell, ga",160000.0,-0.1024,-0.096,55,0.1828,0.0185,70.0,-0.0759,0.1475,16,0.0,0.3333,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.75,0.0513,-0.0291,-0.1592,8.0,0.0,-0.4667,101.0,0.0193,-0.0769,1456.0,-0.0375,-0.0968,190826.0,-0.0311,-0.2362,62,0.1071,-0.1014,0.1455,-0.0266,-0.1323,0.0
202608,13223,"paulding, ga",390990.0,-0.0069,0.0028,1006,0.0172,0.0841,53.0,0.0392,0.0392,300,-0.1228,-0.0741,20,-0.1667,-0.1667,0.0124,-0.0018,-0.0026,468.0,0.0174,0.1143,0.2914,0.0131,0.0292,302.0,-0.0793,-0.1445,175.0,-0.0014,-0.0279,2350.0,0.0022,0.0398,462499.0,0.0037,0.0245,1297,-0.0088,0.0189,0.3002,-0.0314,-0.0802,0.0
202608,13089,"dekalb, ga",332500.0,-0.0292,0.0886,3082,0.0131,-0.1572,58.0,0.1048,-0.0333,932,-0.0271,-0.0934,32,0.4545,-0.2,0.0065,0.002,-0.0006,1144.0,-0.053,-0.2704,0.2354,-0.0072,-0.0407,821.0,-0.1139,-0.134,195.0,-0.0217,0.0691,1808.0,-0.0115,0.0469,468293.0,-0.035,0.1147,3904,-0.0057,-0.1457,0.2664,-0.0382,0.0072,0.0
202608,13229,"pierce, ga",279950.0,-0.0155,-0.0288,86,0.0617,0.4098,89.0,0.0259,0.3906,24,0.5,0.0,0,,,0.0,0.0,0.0,28.0,0.5556,0.75,0.2188,0.0613,0.082,16.0,-0.1795,0.1429,166.0,0.0015,0.0763,1855.0,-0.0012,-0.0237,346968.0,-0.015,0.085,100,-0.0099,0.4286,0.186,-0.0547,-0.0435,0.0
202608,13009,"baldwin, ga",365000.0,-0.0122,0.0583,212,0.0047,0.2471,84.0,0.1208,0.1761,44,-0.2667,0.0,0,,,0.0,0.0,0.0,80.0,0.3333,0.5385,0.2395,0.0631,0.0115,69.0,0.0781,1.3,176.0,0.0313,0.0196,2112.0,-0.0379,0.0292,539064.0,0.0159,0.0261,279,0.009,0.395,0.3255,0.0222,0.149,0.0
202608,13069,"coffee, ga",265000.0,-0.0149,-0.1396,109,0.014,0.2247,105.0,0.0396,0.4583,24,0.0909,0.5,0,,,0.0,0.0,0.0,32.0,-0.2,0.6,0.2424,-0.037,0.0404,5.0,0.4286,0.6667,132.0,-0.0346,-0.1096,2018.0,-0.0062,0.0062,348334.0,-0.0211,0.0495,114,0.027,0.2667,0.0459,0.0133,0.0122,1.0
202608,13027,"brooks, ga",279900.0,0.0309,0.1424,43,0.075,0.2647,71.0,-0.1041,-0.0897,8,0.0,1.0,0,,,0.0,0.0,0.0,12.0,2.0,0.0,0.2353,0.1626,-0.0147,4.0,-0.2727,-0.5556,157.0,-0.0043,0.0794,2040.0,0.0026,0.0282,412471.0,0.1582,-0.1717,45,-0.0217,0.0465,0.093,-0.0445,-0.1717,1.0
202608,13071,"colquitt, ga",284900.0,0.0131,0.0962,86,-0.0058,0.2113,68.0,0.1525,0.4468,24,0.2,-0.4,0,,,0.0,0.0,0.0,20.0,-0.0909,-0.1667,0.1471,-0.0179,-0.0002,27.0,0.0385,-0.069,160.0,-0.0202,0.1083,1899.0,0.0004,0.1402,313260.0,-0.0112,0.0591,113,0.0,0.1078,0.314,0.0134,-0.0945,0.0
202608,13267,"tattnall, ga",220000.0,0.0141,-0.0833,80,0.0667,0.6327,82.0,-0.1044,0.8315,16,-0.2727,0.0,0,,,0.0,0.0,0.0,24.0,-0.25,1.0,0.2124,-0.0698,0.066,16.0,0.1034,1.2857,144.0,0.0237,-0.0495,1599.0,0.0198,-0.0577,256463.0,0.0348,-0.0162,96,0.0787,0.6552,0.2,0.0067,0.0571,0.0
202608,13253,"seminole, ga",268250.0,-0.0137,0.0777,49,-0.0101,0.1951,112.0,0.0769,0.2655,12,0.2,0.5,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.127,0.0173,-0.0212,11.0,-0.1538,0.8333,150.0,0.0,0.0125,1718.0,-0.0003,0.0971,255851.0,-0.0379,-0.1101,61,-0.0317,0.2979,0.2245,-0.0381,0.0781,0.0
202608,13081,"crisp, ga",244500.0,0.019,-0.1391,96,0.0378,0.1163,115.0,0.2446,0.0178,16,0.0,0.0,0,,,0.0,0.0,0.0,16.0,-0.2727,0.0,0.127,-0.048,-0.0042,15.0,-0.1429,-0.25,126.0,0.0101,-0.153,1780.0,-0.005,-0.1192,345969.0,0.016,-0.178,110,0.0,0.0476,0.1563,-0.0329,-0.0763,1.0
202608,13249,"schley, ga",212500.0,-0.0717,-0.4686,10,0.1765,0.1111,40.0,-0.3471,-0.307,4,1.0,,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.069,-0.4,3.0,0.2,0.5,113.0,0.0195,-0.4437,1876.0,-0.1067,-0.1201,274200.0,0.0486,-0.6083,12,0.0909,0.2,0.3,0.0059,0.0778,1.0
202608,13037,"calhoun, ga",189450.0,-0.1474,0.0531,11,0.375,0.5714,36.0,-0.7589,-0.6773,4,,,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.25,-0.1204,0.0147,1.0,0.0,-0.5,103.0,-0.0285,0.3838,1700.0,-0.0061,0.0167,246800.0,-0.1392,0.3333,12,0.3333,0.3333,0.0909,-0.0341,-0.1948,1.0
202608,13139,"hall, ga",498750.0,-0.0221,0.0199,1148,0.0039,0.1277,64.0,0.0492,0.0847,308,-0.0833,0.0,28,-0.2632,-0.2222,0.0147,-0.0059,-0.0083,428.0,0.0094,-0.0183,0.244,0.0078,-0.0269,303.0,-0.1022,0.1099,204.0,-0.0019,-0.0087,2500.0,-0.0148,0.0404,667600.0,-0.0256,-0.018,1456,-0.0115,0.1261,0.2639,-0.0312,-0.0042,0.0
202608,13047,"catoosa, ga",325000.0,0.0,-0.051,324,0.0519,0.2273,67.0,0.0551,0.2642,108,0.0385,0.08,4,-0.3333,0.0,0.008,-0.0035,-0.0007,144.0,0.1429,0.1613,0.2607,0.0241,-0.0071,111.0,-0.0711,0.1212,191.0,-0.0026,-0.0197,1757.0,0.0059,-0.0896,382193.0,0.0091,-0.073,425,0.0047,0.158,0.3426,-0.0454,-0.0324,0.0
202608,13319,"wilkinson, ga",198000.0,-0.078,0.1,26,0.0833,0.3684,111.0,0.0376,0.687,8,0.0,1.0,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.5,0.1379,-0.0218,-0.1584,4.0,-0.5,-0.5,117.0,0.0027,0.0323,2080.0,-0.0734,-0.0239,275504.0,-0.0835,0.1369,30,-0.0476,0.0345,0.1538,-0.1795,-0.2672,1.0
