month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,15009,"maui, hi",999000.0,-0.001,-0.1598,1400,-0.0257,0.0598,115.0,0.0245,0.0648,204,0.0099,0.02,4,0.0,0.0,0.0022,0.0001,-0.0001,240.0,0.0084,-0.2105,0.1323,0.0023,-0.0431,208.0,0.0024,0.3,900.0,-0.0083,-0.0916,1038.0,-0.0057,-0.0133,1935664.0,0.0276,-0.0126,1616,-0.0146,0.0919,0.1486,0.0042,0.0275,1.0
202608,15007,"kauai, hi",1550000.0,0.0,0.1232,414,-0.0096,0.15,103.0,0.0957,-0.0419,68,-0.1905,-0.15,0,-1.0,-1.0,0.0,-0.0034,-0.0076,84.0,0.1053,0.1053,0.1519,0.0127,0.0069,66.0,0.0,-0.2143,1040.0,0.0488,0.0465,1495.0,-0.0043,0.1292,2878173.0,0.0144,0.1846,478,-0.0134,0.0864,0.1594,0.0015,-0.0739,0.0
202608,15003,"honolulu, hi",674000.0,-0.0015,0.0082,3494,-0.0034,0.0371,73.0,0.021,-0.0875,904,-0.0174,0.0561,24,0.0909,0.2,0.0042,0.0002,0.0005,784.0,0.0,0.0652,0.1432,0.0021,0.0066,1124.0,0.0317,-0.0344,708.0,-0.001,0.0999,896.0,-0.0039,-0.1085,1151315.0,-0.0052,0.012,4582,-0.0024,0.0048,0.3217,0.0109,-0.0238,0.0
202608,15001,"hawaii, hi",599925.0,-0.0164,-0.0477,1387,0.0278,0.2263,86.0,0.0178,-0.0601,316,-0.1124,0.1618,4,-0.5,-0.75,0.0021,-0.0018,-0.0071,352.0,0.0414,0.1,0.1772,0.0062,-0.0059,275.0,-0.0678,-0.0772,500.0,-0.0071,-0.0413,1317.0,0.0002,-0.0186,1153991.0,-0.0585,-0.1454,1662,0.0168,0.1688,0.1983,-0.0203,-0.0652,0.0
202607,15009,"maui, hi",1000000.0,0.001,-0.1632,1437,-0.009,0.0886,112.0,-0.0132,0.0898,202,-0.2109,-0.0288,4,0.0,0.0,0.0022,0.0001,-0.0002,238.0,0.0,0.0171,0.13,0.0046,-0.008,208.0,0.0147,0.2315,908.0,-0.0105,-0.0953,1044.0,0.0116,-0.0076,1883694.0,0.0146,-0.0473,1640,-0.0043,0.1022,0.1444,0.0034,0.0167,1.0
202607,15001,"hawaii, hi",609950.0,-0.011,-0.0536,1350,0.0365,0.15,85.0,-0.0259,-0.0287,356,0.0595,0.1484,8,0.0,0.3333,0.004,-0.0001,0.0007,338.0,0.0242,0.2612,0.171,-0.0007,0.0371,295.0,-0.0067,-0.0084,504.0,-0.0055,-0.0403,1317.0,-0.0055,-0.0286,1225640.0,-0.0176,-0.0848,1635,0.0228,0.1238,0.2186,-0.0095,-0.0349,0.0
202607,15003,"honolulu, hi",675000.0,-0.0035,0.0,3506,0.0168,-0.0051,72.0,0.0515,-0.0403,920,-0.0945,0.02,22,0.0,-0.1538,0.0041,0.0001,-0.0006,784.0,0.0799,0.0343,0.1411,0.0112,0.0043,1090.0,-0.0583,-0.0064,708.0,-0.0015,0.101,900.0,0.0006,-0.1087,1157346.0,0.0091,0.0324,4593,-0.0017,-0.0092,0.3108,-0.0248,-0.0004,0.0
202607,15007,"kauai, hi",1550000.0,0.0745,0.1083,418,0.0296,0.1421,94.0,-0.0157,-0.1111,84,-0.0667,0.2727,2,-0.6667,,0.0034,-0.007,0.0034,76.0,-0.1163,-0.05,0.1392,-0.017,-0.0197,66.0,-0.12,-0.1373,992.0,0.0105,-0.0042,1502.0,0.0493,0.0986,2837450.0,0.0981,0.1067,485,0.0083,0.0974,0.1579,-0.0268,-0.0511,0.0
202606,15007,"kauai, hi",1442500.0,0.0304,0.0141,406,0.1003,0.0437,96.0,-0.0255,0.0324,90,-0.1346,0.0227,6,,0.5,0.0104,0.0104,0.004,86.0,0.2647,-0.1042,0.1561,0.0228,-0.0087,75.0,-0.0854,-0.2308,982.0,0.0171,-0.0067,1431.0,-0.0083,0.0174,2584001.0,-0.0271,-0.016,481,0.0654,-0.0133,0.1847,-0.0375,-0.0659,0.0
202606,15009,"maui, hi",999000.0,0.0025,-0.1605,1450,0.0105,0.0993,114.0,0.0156,0.1727,256,0.1228,0.2075,4,0.0,0.0,0.0021,-0.0001,-0.0003,238.0,-0.1377,-0.2119,0.1254,-0.0228,-0.0521,205.0,-0.0073,0.2394,917.0,-0.0063,-0.095,1032.0,0.0088,-0.0157,1856602.0,0.012,-0.0511,1647,0.0037,0.1076,0.141,-0.0025,0.0159,1.0
