month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,24039,"somerset, md",250000.0,0.0,0.1136,124,0.0,0.0508,84.0,0.1313,0.2086,32,0.2308,-0.1111,0,,,0.0,0.0,0.0,48.0,0.7143,0.2,0.2652,0.11,0.059,40.0,0.1268,0.0,177.0,0.0189,0.2416,1469.0,0.0,-0.0007,331706.0,0.0042,0.2553,164,0.0314,0.038,0.3226,0.0363,-0.0164,0.0
202608,24031,"montgomery, md",590000.0,-0.015,-0.0853,2073,-0.0152,0.2173,43.0,0.1316,0.1316,920,-0.1529,0.0455,40,-0.1304,0.0,0.0101,-0.0012,-0.0007,708.0,-0.0535,0.1346,0.1869,0.0104,0.0184,913.0,-0.0879,-0.1179,302.0,-0.0087,-0.0232,1823.0,-0.0333,-0.0832,833376.0,-0.0349,-0.1224,2986,-0.0346,0.0831,0.4404,-0.0351,-0.1673,0.0
202608,24023,"garrett, md",679000.0,0.0787,0.006,241,-0.0604,-0.1423,87.0,0.2563,-0.0645,56,-0.0667,0.0769,0,,,0.0,0.0,0.0,56.0,-0.1515,-0.3,0.1471,-0.0216,-0.0657,107.0,0.3375,0.6984,282.0,-0.0418,-0.0889,2409.0,0.0543,0.0707,860450.0,0.0663,0.0246,349,0.0371,0.0087,0.444,0.1321,0.2198,0.0
202608,24009,"calvert, md",515000.0,-0.0634,-0.0679,324,0.0109,0.507,36.0,0.1163,-0.0769,148,-0.0864,0.1212,12,0.5,0.5,0.0191,0.0071,0.0024,116.0,-0.0333,0.381,0.2093,0.03,0.0396,164.0,0.025,0.2713,231.0,-0.0215,0.0013,2299.0,-0.0132,-0.0375,598306.0,-0.0279,-0.0622,489,0.0156,0.4257,0.5062,0.007,-0.0938,0.0
202608,24047,"worcester, md",459945.0,-0.0033,-0.029,740,0.0,0.085,82.0,0.0581,0.025,220,0.1702,-0.0179,4,,0.0,0.0035,0.0035,-0.0001,252.0,0.115,0.0678,0.2031,0.0036,-0.0029,213.0,0.0467,-0.1162,385.0,-0.0236,0.0198,1344.0,0.0273,0.0136,621443.0,-0.009,0.014,955,0.0143,0.028,0.2878,0.0128,-0.0655,0.0
202608,24045,"wicomico, md",304900.0,0.0166,0.0164,331,0.0248,0.0409,62.0,0.0464,0.181,144,0.3091,0.0909,0,-1.0,,0.0,-0.0035,0.0,128.0,0.2075,-0.0303,0.2149,0.0306,-0.0164,149.0,0.0347,-0.057,182.0,-0.0129,-0.0272,1716.0,0.0444,0.0645,356906.0,0.0076,0.0185,475,0.0204,0.0128,0.4502,0.0043,-0.0467,0.0
202608,24027,"howard, md",625500.0,-0.0486,-0.0629,515,-0.0542,0.0118,32.0,0.2115,0.26,288,-0.1676,-0.1724,16,0.0,0.0,0.0148,0.0021,0.0015,196.0,-0.1171,-0.0926,0.1627,-0.0059,-0.0143,353.0,-0.0637,-0.0807,260.0,-0.0018,-0.0068,2240.0,-0.044,-0.0887,721990.0,-0.0638,-0.072,867,-0.0627,-0.028,0.6854,-0.0069,-0.069,0.0
202608,24033,"prince george's, md",459000.0,-0.001,-0.0337,2101,0.0432,0.1595,46.0,0.0575,0.2105,984,0.0885,0.0041,76,-0.0732,-0.1364,0.0186,-0.0024,-0.0049,760.0,-0.0428,0.0674,0.1908,-0.0049,0.0009,1013.0,-0.0659,0.0465,240.0,-0.0072,-0.0411,1727.0,0.011,-0.0243,490279.0,0.002,-0.0448,3111,0.0097,0.1147,0.4822,-0.0563,-0.0521,0.0
202608,24037,"st. mary's, md",459950.0,-0.0316,-0.0368,275,0.1156,0.1458,36.0,0.0588,-0.0526,128,0.0323,0.1429,4,-0.6667,-0.75,0.0074,-0.014,-0.0237,92.0,0.0698,0.15,0.1611,-0.0006,0.0063,152.0,-0.1314,-0.0617,216.0,-0.0079,0.0157,2130.0,-0.0265,-0.0682,617426.0,-0.0646,-0.0462,424,0.0095,0.0521,0.5527,-0.1572,-0.1223,0.0
202608,24005,"baltimore, md",389900.0,-0.0239,-0.0003,1636,0.0477,0.1595,38.0,0.1515,0.0857,872,-0.046,-0.0224,48,0.2,0.2,0.014,0.0027,0.0019,680.0,0.0241,0.0559,0.1978,0.01,0.0036,958.0,-0.0695,0.0031,210.0,-0.0139,-0.0146,1842.0,-0.0231,0.0088,530131.0,-0.0359,-0.0574,2590,0.0041,0.1064,0.5856,-0.0737,-0.0913,0.0
