month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,29003,"andrew, mo",398000.0,-0.0291,0.1375,34,0.193,-0.1282,64.0,0.2075,0.1228,24,1.4,0.0,0,,,0.0,0.0,0.0,12.0,0.0,-0.25,0.1579,-0.018,-0.0613,19.0,-0.24,-0.1364,155.0,0.0301,0.1434,2365.0,0.0,0.0087,429559.0,-0.1222,0.1729,52,-0.0459,-0.1475,0.5588,-0.3184,-0.0053,0.0
202608,29045,"clark, mo",152450.0,-0.116,-0.2989,13,-0.0714,-0.1875,54.0,-0.0526,-0.3333,4,0.0,0.0,0,,,0.0,0.0,0.0,4.0,,,0.1905,0.1905,0.1905,4.0,-0.4667,0.0,103.0,-0.0295,-0.1704,1414.0,-0.0782,-0.2201,222773.0,-0.0217,-0.2175,17,-0.15,-0.1905,0.3077,-0.228,0.0577,1.0
202608,29077,"greene, mo",339900.0,0.0867,0.0623,927,-0.0521,-0.0674,50.0,-0.0826,0.0638,448,0.0927,-0.0427,12,0.0,2.0,0.0063,0.0,0.0044,332.0,0.0375,-0.1531,0.1754,0.0036,-0.0144,501.0,-0.052,-0.06,174.0,0.0276,0.0332,1902.0,0.0641,0.0253,447440.0,0.0564,0.0581,1418,-0.055,-0.0677,0.5405,0.0001,0.0042,0.0
202608,29173,"ralls, mo",364950.0,0.0043,0.3081,35,0.1864,0.25,62.0,0.1589,0.0877,20,2.3333,0.6667,0,,,0.0,0.0,0.0,8.0,-0.5,-0.3333,0.1159,-0.1446,-0.1194,12.0,-0.4,0.5,187.0,-0.0077,0.0501,1728.0,0.0703,0.031,426671.0,0.0036,0.1634,49,-0.0101,0.4,0.3429,-0.3351,0.0571,0.0
202608,29181,"ripley, mo",249950.0,-0.0282,0.0225,76,-0.0194,0.2459,78.0,0.0685,0.013,16,-0.2,-0.2,0,,,0.0,0.0,0.0,12.0,-0.5385,-0.4,0.1071,-0.1029,-0.0949,18.0,-0.1,0.2857,140.0,-0.0166,0.0565,1632.0,-0.0299,-0.0953,405990.0,0.1718,0.1912,94,-0.0259,0.2368,0.2368,-0.0212,0.0073,0.0
202608,29015,"benton, mo",249900.0,-0.0123,-0.0385,192,0.0079,0.28,79.0,0.197,-0.0125,48,-0.1724,0.2,0,,,0.0,0.0,0.0,68.0,-0.1053,0.1333,0.2092,-0.0446,-0.0138,54.0,-0.0526,-0.069,177.0,-0.031,0.0777,1472.0,0.0166,0.0222,341496.0,0.107,0.0289,247,0.0228,0.1932,0.2813,-0.018,-0.1054,0.0
202608,29089,"howard, mo",220950.0,0.0521,-0.1662,24,0.0435,0.0909,67.0,0.0992,-0.0075,8,-0.2,-0.3333,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.1569,-0.0945,0.0752,4.0,0.0,-0.4286,114.0,0.0026,-0.1469,2072.0,0.0301,-0.0423,348481.0,0.021,-0.0357,27,-0.0182,-0.069,0.1667,-0.0072,-0.1515,1.0
202608,29199,"scotland, mo",158250.0,0.0642,-0.2185,9,0.3846,0.8,33.0,-0.3158,-0.7292,4,0.0,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1333,0.0,2.0,-0.5,1.0,106.0,0.0826,-0.3748,1582.0,-0.021,-0.0112,329420.0,1.4323,0.1713,12,0.1429,0.7143,0.2222,-0.3932,0.0222,1.0
202608,29135,"moniteau, mo",250000.0,0.1126,0.0004,26,0.2093,0.04,36.0,0.007,-0.3271,16,-0.1111,1.0,0,,,0.0,0.0,0.0,12.0,5.0,0.5,0.25,0.2136,0.0761,11.0,-0.3125,0.0,149.0,0.0278,0.118,1575.0,-0.0159,-0.0082,305588.0,0.062,0.0755,37,0.0423,-0.0263,0.4231,-0.3211,-0.0169,1.0
202608,29109,"lawrence, mo",267000.0,0.0473,0.1739,169,0.0868,0.0497,58.0,0.0175,0.1373,60,-0.0909,0.0,0,-1.0,,0.0,-0.0069,0.0,56.0,0.0,0.0,0.1879,-0.0186,-0.0032,66.0,0.1282,0.0154,165.0,0.0522,0.1401,1715.0,-0.0054,0.081,322958.0,-0.0138,0.0879,232,0.0816,0.0131,0.3905,0.0143,-0.0132,0.0
202608,29186,"ste. genevieve, mo",297000.0,0.2352,0.226,33,-0.0704,0.0645,73.0,0.0896,0.9467,8,-0.5556,-0.3333,0,,,0.0,0.0,0.0,12.0,-0.3333,-0.4,0.2069,-0.0616,-0.1321,20.0,0.2903,0.5385,132.0,-0.0604,-0.1244,2200.0,0.0539,0.2222,319491.0,0.0209,0.0566,54,0.0693,0.2558,0.6061,0.1694,0.1867,0.0
202608,29009,"barry, mo",318950.0,0.0635,-0.0246,224,-0.0448,0.1852,89.0,0.1447,0.3088,52,-0.0714,0.0833,0,,,0.0,0.0,0.0,44.0,-0.4054,-0.2143,0.1366,-0.0776,-0.055,57.0,0.14,-0.05,173.0,0.0048,-0.0095,1783.0,-0.0056,0.033,409917.0,0.0177,-0.136,280,-0.0053,0.1245,0.2545,0.0412,-0.063,0.0
202608,29081,"harrison, mo",129999.0,-0.0718,-0.2567,15,-0.1667,0.6667,92.0,0.7103,0.5508,0,-1.0,,0,,,0.0,0.0,0.0,4.0,-0.5,0.0,0.1739,-0.0793,-0.0928,4.0,-0.4286,0.0,71.0,0.0521,-0.4429,1792.0,0.0093,0.1705,266212.0,0.0392,0.111,19,-0.24,0.7273,0.2667,-0.1222,-0.1778,1.0
