month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,28027,"coahoma, ms",160000.0,-0.0303,0.5238,42,0.0769,0.2,73.0,-0.0994,0.0069,12,0.5,2.0,0,,,0.0,0.0,0.0,12.0,2.0,0.5,0.1364,0.0674,-0.0303,14.0,0.12,0.75,73.0,-0.0307,0.2764,2069.0,-0.0102,0.0135,186945.0,-0.0656,-0.0138,57,0.1176,0.3571,0.3333,0.0128,0.1048,1.0
202608,28117,"prentiss, ms",162450.0,0.0107,-0.1669,38,0.1875,-0.2083,70.0,-0.2432,-0.085,12,-0.3333,-0.4,0,,,0.0,0.0,0.0,12.0,0.2,0.0,0.1379,-0.0111,0.0031,19.0,-0.1364,0.0,108.0,-0.0027,-0.0332,1524.0,0.0746,-0.1979,193200.0,0.017,-0.1907,56,0.037,-0.1642,0.5,-0.1875,0.1042,1.0
202608,28151,"washington, ms",167000.0,-0.0126,0.0121,101,0.0919,0.1477,99.0,0.0824,0.1193,28,0.75,0.0,0,,,0.0,0.0,0.0,16.0,-0.2,0.0,0.1067,-0.0462,-0.0093,20.0,-0.1304,-0.2308,81.0,-0.0115,-0.0015,2081.0,-0.002,0.0572,199961.0,0.0485,0.0314,120,0.0435,0.0435,0.198,-0.0506,-0.0974,0.0
202608,28081,"lee, ms",310000.0,-0.0282,-0.0072,274,0.0018,0.4574,78.0,-0.0189,0.0685,72,-0.122,-0.1,0,,,0.0,0.0,0.0,72.0,-0.027,0.2857,0.1651,0.0124,0.0104,97.0,-0.1565,0.0,150.0,-0.0189,0.0355,2100.0,0.0036,-0.0773,360595.0,-0.0134,-0.0393,368,-0.0515,0.2646,0.354,-0.0665,-0.1619,0.0
202608,28005,"amite, ms",207450.0,0.1638,-0.044,24,0.0435,0.5,117.0,0.1969,0.8,4,-0.3333,-0.5,0,,,0.0,0.0,0.0,4.0,-0.5,0.0,0.1111,-0.1084,-0.0101,7.0,0.0,-0.125,90.0,-0.0162,-0.3173,1777.0,0.0328,0.124,306606.0,0.2209,-0.0426,30,-0.0164,0.25,0.2917,-0.0127,-0.2083,0.0
202608,28057,"itawamba, ms",219900.0,-0.0048,-0.1373,55,0.028,-0.0833,92.0,0.305,0.3939,16,0.0,0.0,0,,,0.0,0.0,0.0,16.0,1.0,0.0,0.1649,0.0749,-0.009,20.0,0.0256,0.25,127.0,0.0211,0.001,1861.0,-0.0222,-0.1188,267414.0,0.0249,-0.1519,74,0.0137,-0.039,0.3636,-0.0008,0.097,1.0
202608,28023,"clarke, ms",149500.0,-0.0269,-0.1321,33,0.0476,-0.1081,66.0,-0.1229,-0.0075,4,-0.5,-0.5,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.2105,0.0489,0.0677,5.0,-0.375,-0.2857,108.0,-0.0041,0.0142,1869.0,0.0342,0.0105,228323.0,0.0082,0.0788,39,-0.025,-0.1136,0.1515,-0.1025,-0.0377,1.0
202608,28109,"pearl river, ms",310992.0,0.0289,0.0726,232,0.0816,-0.0043,61.0,-0.2,-0.1586,72,-0.1,0.2,0,,,0.0,0.0,0.0,88.0,0.2571,-0.0435,0.2141,0.0415,-0.0188,102.0,0.0355,0.1591,161.0,0.0101,0.0432,2003.0,0.0416,0.072,396507.0,0.0295,0.0314,329,0.0511,0.0411,0.4397,-0.0196,0.062,0.0
202608,28019,"choctaw, ms",235000.0,0.217,0.3436,13,-0.1034,-0.1875,112.0,-0.024,1.3333,0,-1.0,,0,,,0.0,0.0,0.0,4.0,1.0,,0.25,0.15,0.25,4.0,0.6,0.3333,120.0,0.1397,0.1338,1667.0,-0.0322,-0.0474,225977.0,0.0099,0.3367,16,-0.1111,0.0,0.3077,0.1353,0.1202,1.0
202608,28017,"chickasaw, ms",162250.0,-0.0246,-0.0981,21,0.1351,-0.1923,91.0,0.1235,0.3094,4,-0.5,0.0,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.16,0.0261,0.0547,4.0,-0.3846,-0.5,99.0,0.0016,0.0498,1824.0,0.0098,-0.1019,276190.0,0.0476,0.165,25,0.0,-0.2424,0.1905,-0.1609,-0.1172,0.0
