month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,33005,"cheshire, nh",499900.0,-0.0898,-0.055,170,-0.0116,0.0429,52.0,0.2381,0.1818,88,0.0732,-0.0435,0,-1.0,,0.0,-0.0107,0.0,64.0,-0.1111,0.2308,0.1934,-0.0011,0.0579,102.0,-0.1741,-0.2273,263.0,-0.0074,0.0245,1956.0,-0.0365,-0.0281,639475.0,-0.0734,-0.0172,268,-0.0961,-0.0884,0.6,-0.118,-0.2098,0.0
202608,33015,"rockingham, nh",739000.0,0.0065,0.0559,645,-0.0739,-0.0031,50.0,0.1494,0.1364,340,-0.2704,-0.2056,12,1.0,0.0,0.0069,0.0036,-0.0003,224.0,-0.0508,-0.0345,0.1447,0.0154,0.0142,633.0,-0.0445,0.0193,367.0,0.0028,-0.0156,2056.0,0.0057,0.0342,985081.0,0.024,0.0202,1278,-0.0579,0.0095,0.9814,0.0302,0.0216,0.0
202608,33019,"sullivan, nh",499900.0,0.0192,0.0099,153,0.0851,0.1679,59.0,0.3765,0.17,76,0.3571,0.1875,0,,,0.0,0.0,0.0,64.0,0.28,0.0667,0.1939,0.0079,-0.0283,80.0,-0.0184,0.0667,258.0,-0.044,0.029,1889.0,0.0266,-0.0555,641638.0,-0.0592,-0.142,226,0.0089,0.0762,0.5229,-0.0551,-0.0496,0.0
202608,33011,"hillsborough, nh",580000.0,-0.0085,0.0004,552,-0.0838,0.0415,44.0,0.2308,0.2394,332,-0.3615,-0.2845,12,-0.4545,0.5,0.0083,-0.0041,0.0033,256.0,0.024,0.2549,0.1689,0.0286,0.0405,610.0,-0.0737,0.0235,293.0,-0.0048,0.0142,2062.0,0.0029,0.0133,735295.0,0.0131,0.0601,1162,-0.0759,0.0329,1.1051,0.0121,-0.0195,0.0
202608,33003,"carroll, nh",642500.0,0.013,0.0726,405,0.0176,0.0829,61.0,0.1619,0.1961,92,-0.4831,-0.439,0,-1.0,,0.0,-0.0028,0.0,140.0,-0.0278,0.0,0.1835,-0.0147,-0.0245,166.0,0.0091,-0.046,328.0,0.0086,-0.0448,1947.0,0.0057,0.018,988327.0,0.0092,0.0171,562,-0.0035,0.0237,0.4099,-0.0034,-0.0554,0.0
202608,33013,"merrimack, nh",575000.0,-0.0476,-0.0035,285,-0.024,0.0556,42.0,0.0633,-0.0667,156,-0.2571,-0.0488,0,-1.0,,0.0,-0.0028,0.0,124.0,0.1698,0.1481,0.1689,0.0194,0.0193,243.0,-0.0433,-0.1227,289.0,0.014,0.016,1973.0,-0.0407,-0.0404,732579.0,-0.0624,-0.0143,531,-0.0248,-0.038,0.8526,-0.0172,-0.1733,0.0
202608,33017,"strafford, nh",599000.0,-0.0016,0.0931,246,0.0424,0.288,47.0,0.1899,0.2051,140,-0.0411,-0.0541,0,,-1.0,0.0,0.0,-0.0063,92.0,0.0952,0.3529,0.1704,0.0298,0.05,184.0,-0.1402,-0.1362,323.0,0.022,0.0256,1908.0,-0.0104,0.0774,734012.0,-0.0236,-0.0212,430,-0.0434,0.0777,0.748,-0.1588,-0.3672,0.0
202608,33001,"belknap, nh",639950.0,-0.0155,-0.0819,357,-0.087,0.0378,63.0,0.1905,0.1792,108,-0.2174,-0.3077,0,-1.0,-1.0,0.0,-0.0026,-0.0062,152.0,0.1176,0.2258,0.2219,0.036,0.0263,172.0,0.0585,0.1097,351.0,0.0022,-0.0464,1904.0,0.0041,-0.016,881014.0,0.018,-0.1385,530,-0.0442,0.0643,0.4818,0.0662,0.0312,0.0
202608,33007,"coos, nh",297900.0,-0.0037,-0.0806,238,0.0106,0.1841,70.0,0.4141,0.1024,36,-0.5263,-0.4375,0,-1.0,,0.0,-0.0051,0.0,80.0,-0.0476,0.1765,0.2286,0.0151,0.0244,67.0,-0.141,-0.0429,188.0,-0.0509,-0.0162,1624.0,0.006,-0.0794,395111.0,-0.0205,-0.0418,299,-0.0417,0.0993,0.2815,-0.0497,-0.0667,0.0
202608,33009,"grafton, nh",499000.0,-0.0007,-0.0495,482,-0.0021,0.1504,65.0,0.1111,0.0833,152,-0.1163,0.027,0,-1.0,,0.0,-0.0044,0.0,124.0,0.0164,0.3478,0.1476,0.0103,0.0236,201.0,-0.1447,0.0691,297.0,-0.0207,-0.028,1800.0,0.0283,-0.0349,668994.0,-0.013,-0.0682,683,-0.056,0.1289,0.417,-0.0695,-0.0317,0.0
