month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,36117,"wayne, ny",249950.0,-0.0671,0.0002,134,-0.0074,0.301,38.0,-0.0788,0.2881,96,0.0213,0.2632,4,1.0,0.0,0.0085,0.004,-0.0019,32.0,0.3333,1.0,0.0693,0.0185,0.0282,233.0,0.0448,0.0837,170.0,-0.0143,0.0645,1676.0,-0.0096,-0.0187,309482.0,-0.0517,0.0533,366,0.0223,0.1656,1.7388,0.087,-0.3486,0.0
202608,36113,"warren, ny",512500.0,-0.0539,0.0907,284,0.0161,0.1736,65.0,0.1927,0.0156,104,-0.1613,0.1304,0,,,0.0,0.0,0.0,104.0,0.04,0.5294,0.1728,0.0017,0.0343,181.0,0.0647,0.1104,284.0,0.0272,-0.027,1662.0,-0.0079,0.0109,1023533.0,0.04,0.2318,464,0.0334,0.1485,0.6373,0.0291,-0.0362,0.0
202608,36055,"monroe, ny",289900.0,-0.017,0.1154,678,0.0119,0.0383,29.0,0.2083,-0.0333,720,-0.207,-0.011,24,-0.0769,-0.1429,0.0077,-0.0003,-0.0019,156.0,0.0685,0.2581,0.0497,0.0055,0.0062,1634.0,-0.0262,0.0181,172.0,-0.0393,0.0496,1710.0,-0.0012,0.0354,370286.0,-0.0409,0.0675,2319,-0.009,0.0293,2.41,-0.0944,-0.0479,0.0
202608,36035,"fulton, ny",240000.0,-0.0378,-0.0766,174,0.0741,0.16,51.0,0.0625,-0.0893,72,-0.0526,0.0,0,-1.0,,0.0,-0.0055,0.0,80.0,0.2121,0.8182,0.1975,0.0141,0.0561,139.0,0.1535,0.1393,160.0,-0.1109,-0.0665,1568.0,0.0426,-0.0151,338902.0,-0.0047,0.0158,313,0.1279,0.1679,0.7989,0.055,-0.0145,0.0
202608,36001,"albany, ny",374950.0,-0.0067,-0.0508,339,0.0989,-0.0202,42.0,0.05,-0.0455,276,0.0615,0.0615,0,,-1.0,0.0,0.0,-0.0109,120.0,0.1111,-0.0625,0.1077,0.0117,-0.0034,518.0,-0.046,-0.0263,235.0,-0.0012,0.0557,1669.0,-0.0121,-0.0676,443118.0,-0.0314,-0.0096,854,-0.0047,-0.0284,1.528,-0.2321,-0.0095,0.0
202608,36015,"chemung, ny",176000.0,0.0046,0.1777,218,0.1038,-0.0136,58.0,0.11,-0.2927,88,0.1,-0.0435,0,,,0.0,0.0,0.0,84.0,0.1667,0.75,0.1576,0.0166,0.0649,228.0,-0.0256,0.0,108.0,-0.0057,0.0737,1668.0,-0.0046,-0.0027,230665.0,-0.023,0.1328,448,0.0455,0.0136,1.0459,-0.1389,0.0142,0.0
202608,36013,"chautauqua, ny",245000.0,0.0004,0.0208,388,0.063,0.2201,52.0,0.0,0.1304,140,0.0,0.0,0,,,0.0,0.0,0.0,132.0,0.2692,0.5714,0.1379,0.0186,0.0317,378.0,0.0785,0.03,146.0,-0.0185,0.0696,1645.0,0.004,0.0089,354863.0,-0.0199,-0.0725,765,0.0655,0.1469,0.9742,0.014,-0.1799,0.0
202608,36081,"queens, ny",650000.0,0.0,0.0015,4340,-0.0054,0.0084,73.0,0.021,0.0139,1036,-0.0783,-0.119,48,0.1429,0.3333,0.007,0.0012,0.0026,616.0,-0.0914,0.1324,0.0905,-0.0047,0.0274,1655.0,0.0036,-0.4201,603.0,-0.0087,0.0346,950.0,0.0106,-0.0176,806875.0,-0.0087,0.005,5938,-0.0076,-0.1594,0.3813,0.0034,-0.2818,0.0
202608,36061,"new york, ny",1395000.0,-0.0292,-0.0211,4631,-0.1993,-0.2234,88.0,0.0932,-0.0538,672,-0.5102,-0.1923,8,-0.6,-0.5,0.0011,-0.0006,-0.0007,400.0,-0.3691,-0.2126,0.0548,0.0015,0.0137,2089.0,-0.0913,-0.0071,1499.0,0.0007,0.0206,1210.0,-0.02,-0.032,3414751.0,0.0608,0.0595,6705,-0.1691,-0.1655,0.4511,0.0536,0.0982,0.0
202608,36025,"delaware, ny",372500.0,0.0007,0.0493,349,0.031,0.1009,73.0,0.1362,0.168,80,-0.0244,0.1765,0,-1.0,,0.0,-0.0034,0.0,64.0,0.0323,0.0667,0.1079,0.0002,0.0021,171.0,0.0927,0.1104,215.0,-0.0108,-0.0378,1720.0,-0.0126,-0.0238,563392.0,0.0227,0.1032,519,0.056,0.1258,0.49,0.0276,0.0042,0.0
