month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,40133,"seminole, ok",154900.0,0.0,-0.1194,102,-0.0332,-0.1774,62.0,-0.2115,-0.4459,16,-0.4667,-0.2,0,,,0.0,0.0,0.0,24.0,0.0,-0.3333,0.1644,0.0089,-0.0437,31.0,0.1481,-0.0313,125.0,0.0071,0.087,1369.0,0.0576,-0.0055,216995.0,0.088,0.0583,135,0.0075,-0.1346,0.3039,0.048,0.0459,1.0
202608,40147,"washington, ok",245000.0,-0.0099,-0.0196,167,0.0603,-0.0511,51.0,-0.0893,0.1591,68,-0.15,-0.0556,0,,,0.0,0.0,0.0,80.0,0.25,0.3333,0.2516,0.0554,0.0725,70.0,-0.1358,-0.1139,120.0,-0.0096,0.0505,2062.0,-0.0188,0.0553,320920.0,-0.0183,0.1418,238,-0.0083,-0.0739,0.4192,-0.0951,-0.0297,0.0
202608,40061,"haskell, ok",255000.0,0.0202,0.0874,61,-0.0615,0.0702,91.0,0.1667,0.2053,4,-0.75,-0.6667,0,,,0.0,0.0,0.0,12.0,-0.1429,-0.5,0.169,-0.0082,-0.0947,8.0,-0.0588,-0.4667,144.0,0.0412,0.1096,1716.0,0.0196,0.0065,345873.0,0.0152,0.1795,69,-0.0548,-0.0282,0.1311,0.0004,-0.132,0.0
202608,40005,"atoka, ok",225000.0,0.0125,-0.1667,32,-0.1233,0.0,113.0,0.159,0.527,4,-0.3333,-0.5,0,,,0.0,0.0,0.0,16.0,0.6,1.0,0.4,0.2007,0.2431,3.0,-0.5,-0.5714,149.0,-0.0108,-0.0266,1896.0,0.0042,0.1547,369445.0,0.1206,-0.1483,36,-0.1529,-0.0526,0.0938,-0.0706,-0.125,1.0
202608,40051,"grady, ok",326750.0,-0.0224,-0.0068,319,0.0095,0.0095,61.0,0.0427,0.1619,104,0.0612,-0.0714,4,1.0,0.0,0.0075,0.0037,0.0004,80.0,-0.2453,-0.2,0.1468,-0.0565,-0.0308,109.0,-0.0522,-0.1926,173.0,-0.0139,0.0026,1957.0,-0.0225,-0.0056,367881.0,-0.0318,-0.0043,430,-0.0058,-0.0423,0.3417,-0.0222,-0.0855,0.0
202608,40017,"canadian, ok",315000.0,0.0003,-0.0156,1141,0.0604,0.1353,52.0,0.0196,0.0612,428,0.0142,0.019,56,0.2174,0.75,0.0276,0.0044,0.0112,472.0,0.0129,0.1569,0.2403,0.0098,0.0116,412.0,-0.1326,-0.0214,174.0,0.0004,-0.0028,1875.0,-0.0013,-0.0183,357964.0,-0.0033,-0.0463,1553,-0.0048,0.103,0.3611,-0.0804,-0.0578,0.0
202608,40143,"tulsa, ok",347490.0,0.0007,0.022,2264,0.0409,0.0366,53.0,0.0,0.0,908,-0.0884,0.0,40,0.1111,0.4286,0.0096,0.001,0.0029,980.0,-0.0041,0.0381,0.2314,-0.001,-0.0024,1000.0,0.0065,-0.0079,169.0,-0.002,0.0085,2068.0,0.0005,0.0019,426384.0,-0.0073,0.0031,3260,0.0289,0.0213,0.4417,-0.0151,-0.0198,0.0
202608,40127,"pushmataha, ok",279000.0,0.0032,-0.0542,66,0.0076,-0.2143,109.0,0.0634,0.1596,8,-0.5,-0.5,0,,,0.0,0.0,0.0,8.0,-0.5,-0.3333,0.0988,-0.0975,-0.0113,7.0,-0.0667,-0.2222,196.0,-0.0184,-0.0884,1419.0,-0.012,-0.0014,382670.0,0.0023,-0.0825,73,0.0,-0.2151,0.1061,-0.0084,-0.0011,0.0
202608,40041,"delaware, ok",330000.0,-0.0351,-0.1646,500,-0.0263,0.3298,100.0,0.1268,0.2048,88,-0.1852,0.0,4,1.0,0.0,0.0056,0.0027,-0.0015,144.0,-0.0526,0.44,0.2179,0.009,0.034,107.0,0.2299,0.1505,197.0,-0.0143,-0.087,1716.0,-0.0301,-0.0485,532557.0,-0.0052,0.0152,605,0.0025,0.3011,0.214,0.0446,-0.0333,1.0
202608,40103,"noble, ok",215000.0,0.3034,0.2286,18,0.0588,-0.1818,50.0,0.3699,-0.4118,8,-0.2,1.0,0,,,0.0,0.0,0.0,4.0,-0.3333,0.0,0.1333,-0.0164,0.0403,12.0,-0.0769,-0.3684,105.0,-0.0015,-0.0803,1728.0,0.1489,0.0307,217957.0,0.0244,-0.3032,30,0.0169,-0.25,0.6667,-0.098,-0.197,1.0
