month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,47039,"decatur, tn",322475.0,0.0079,0.2904,79,0.0676,-0.0247,91.0,0.2174,0.046,16,0.1429,0.0,0,,,0.0,0.0,0.0,28.0,0.4,0.4,0.2718,0.0823,0.0884,11.0,-0.2667,-0.1538,174.0,0.0191,0.0768,1735.0,0.009,0.0978,453558.0,0.2197,0.4068,89,0.0,-0.043,0.1392,-0.0635,-0.0213,0.0
202608,47009,"blount, tn",499000.0,0.0243,0.0428,544,0.0553,0.0858,55.0,0.0476,-0.127,216,-0.0609,0.102,4,1.0,0.0,0.004,0.0019,-0.0002,244.0,-0.0758,0.0339,0.2455,-0.0049,-0.0061,244.0,-0.1111,-0.1127,252.0,-0.003,0.0523,2034.0,-0.004,-0.0221,678983.0,0.0054,-0.0598,789,0.0057,0.0168,0.4485,-0.084,-0.1004,0.0
202608,47143,"rhea, tn",350000.0,-0.0411,-0.1026,123,-0.0391,0.0696,86.0,0.0617,0.4828,36,-0.0526,-0.1,0,-1.0,,0.0,-0.0092,0.0,32.0,-0.4286,-0.3846,0.1546,-0.1227,-0.0594,51.0,0.0515,-0.0727,210.0,0.0088,0.0289,1680.0,-0.046,-0.1446,470048.0,-0.0064,-0.1362,172,-0.0143,0.0238,0.4146,0.0357,-0.0636,1.0
202608,47021,"cheatham, tn",439000.0,-0.0502,-0.0242,246,0.0314,0.0424,74.0,0.1793,-0.0513,64,0.0323,-0.2727,0,,,0.0,0.0,0.0,112.0,0.1915,0.75,0.2963,0.0661,0.1394,80.0,-0.0184,-0.1489,244.0,0.0126,0.0754,1981.0,-0.0059,-0.0186,631121.0,-0.0339,-0.0035,323,0.0141,-0.0242,0.3252,-0.0165,-0.0731,0.0
202608,47117,"marshall, tn",389900.0,0.0114,0.114,217,0.014,0.1923,63.0,-0.0234,0.1161,104,0.4054,0.625,4,1.0,0.0,0.0092,0.004,-0.0033,84.0,-0.125,0.0,0.1931,-0.0717,-0.0764,105.0,0.1111,0.3636,225.0,0.0158,0.0267,1789.0,0.0085,0.0713,557111.0,0.0416,0.0724,323,0.0608,0.2568,0.4839,0.0423,0.0608,0.0
202608,47099,"lawrence, tn",335500.0,0.0365,0.017,209,-0.0024,-0.0234,79.0,0.0897,0.0395,52,0.5294,-0.2353,0,,,0.0,0.0,0.0,76.0,-0.1364,0.1176,0.263,-0.0198,0.0647,49.0,-0.0392,-0.125,195.0,0.023,0.0144,1706.0,0.0035,0.0,403645.0,0.0186,0.0636,253,-0.0288,-0.063,0.2344,-0.009,-0.0272,0.0
202608,47029,"cocke, tn",395000.0,-0.0117,0.0397,196,0.12,0.1879,76.0,-0.0617,-0.0952,48,0.0909,0.0909,4,1.0,,0.0123,0.0047,0.0123,84.0,0.0769,0.1667,0.2963,-0.0009,-0.0195,43.0,0.1944,0.2286,238.0,-0.0182,0.0048,1668.0,0.008,0.0425,516916.0,-0.0609,0.1177,237,0.1179,0.185,0.2194,0.0137,0.0073,0.0
202608,47011,"bradley, tn",379000.0,-0.0102,0.0,608,0.0176,0.4107,64.0,-0.0154,0.3061,188,0.0,0.0682,0,-1.0,-1.0,0.0,-0.0042,-0.0051,264.0,-0.0504,0.1186,0.2592,-0.0244,-0.0255,234.0,0.1169,0.1196,206.0,0.0018,0.0223,1853.0,-0.0161,-0.0451,443956.0,-0.0006,-0.0453,830,0.0336,0.3071,0.3849,0.0342,-0.1001,0.0
202608,47189,"wilson, tn",569900.0,-0.0044,0.0195,946,-0.0021,0.1929,50.0,0.0,-0.0196,340,-0.1005,0.0,32,0.2308,1.0,0.0178,0.0037,0.0077,400.0,0.087,0.3333,0.2254,0.0231,0.0361,504.0,-0.0261,0.098,232.0,-0.0027,-0.0208,2480.0,-0.0096,0.0333,749347.0,-0.0081,0.0346,1442,-0.0106,0.1508,0.5328,-0.0131,-0.046,0.0
202608,47001,"anderson, tn",389900.0,-0.0196,0.033,236,0.0631,0.1401,54.0,0.0,0.08,100,0.087,-0.1071,0,,-1.0,0.0,0.0,-0.0094,124.0,0.1698,0.1923,0.2851,0.0566,0.0454,116.0,-0.1311,0.0741,217.0,0.0064,0.0262,1793.0,-0.0065,0.0544,472575.0,-0.0012,0.0089,350,-0.0071,0.1182,0.4915,-0.1098,-0.0302,0.0
