month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,51137,"orange, va",450000.0,-0.0132,-0.0206,253,0.052,0.4882,50.0,0.0811,0.0638,84,0.0769,0.0,4,0.0,0.0,0.0096,-0.0005,-0.0015,84.0,-0.0455,0.1053,0.2154,-0.0081,-0.0095,73.0,-0.0458,-0.1705,226.0,-0.0058,-0.0085,2032.0,-0.0135,-0.0122,560373.0,0.0088,-0.0068,324,0.0237,0.2558,0.2885,-0.0295,-0.2291,0.0
202608,51077,"grayson, va",299900.0,0.0524,0.0106,72,-0.0336,0.1613,78.0,0.1818,0.0541,16,-0.2,-0.2,0,,,0.0,0.0,0.0,32.0,0.2308,0.6,0.2936,0.0647,0.1166,21.0,0.0769,-0.16,181.0,-0.0327,0.0054,1707.0,-0.0087,0.0682,467344.0,-0.0008,0.2466,93,-0.0106,0.0941,0.2917,0.0299,-0.1116,0.0
202608,51107,"loudoun, va",779990.0,-0.0249,-0.025,906,0.064,0.1736,35.0,0.1864,-0.0278,504,0.0161,0.1667,16,0.1429,0.0,0.0082,0.0007,-0.0008,400.0,0.2121,0.1628,0.213,0.0418,0.0191,469.0,-0.1587,-0.1488,305.0,-0.0003,0.0265,2652.0,-0.0071,-0.0104,1038957.0,-0.0095,0.0518,1374,-0.0235,0.0393,0.5177,-0.1371,-0.1961,0.0
202608,51680,"lynchburg, va",275000.0,-0.0384,0.0204,283,0.0053,0.2304,52.0,0.0833,0.1556,128,0.3913,0.0667,12,2.0,,0.0202,0.0126,0.0202,116.0,0.0175,0.2083,0.2053,0.0025,0.0198,146.0,-0.0581,-0.1098,164.0,0.0078,-0.0225,1710.0,-0.0086,0.0301,312782.0,-0.0216,-0.0714,431,-0.0069,0.1137,0.5159,-0.0347,-0.1971,0.0
202608,51079,"greene, va",425000.0,-0.0261,-0.1905,91,0.0833,0.3582,68.0,0.0672,0.4674,56,0.4737,1.3333,0,,,0.0,0.0,0.0,32.0,0.4545,1.6667,0.1481,0.0341,0.0847,71.0,-0.0719,-0.3173,252.0,0.0398,0.0246,1904.0,0.0017,-0.1775,608478.0,0.0291,-0.0069,161,0.0,-0.0747,0.7802,-0.1305,-0.772,1.0
202608,51197,"wythe, va",265000.0,-0.0207,-0.1297,115,0.0314,0.3068,72.0,0.0286,0.3211,32,-0.1111,0.0,0,,,0.0,0.0,0.0,48.0,0.4118,0.5,0.2637,0.0779,0.0744,33.0,-0.0959,0.1786,166.0,-0.0283,-0.0467,1650.0,-0.0176,-0.1052,331533.0,-0.0242,-0.2111,148,0.0,0.265,0.287,-0.0404,-0.0312,1.0
202608,51111,"lunenburg, va",312400.0,-0.0079,0.0483,32,0.3333,0.3333,60.0,-0.2453,-0.0164,12,1.0,0.5,0,,,0.0,0.0,0.0,8.0,-0.2,1.0,0.1569,-0.0608,0.0814,11.0,-0.0435,-0.3529,165.0,-0.0049,-0.0479,1620.0,-0.0658,0.1247,326141.0,0.0122,-0.0018,43,0.2113,0.075,0.3438,-0.1354,-0.3646,0.0
202608,51093,"isle of wight, va",539000.0,0.0194,0.1493,175,0.0116,0.3672,57.0,0.2459,0.2955,68,0.2593,0.2143,0,,,0.0,0.0,0.0,52.0,-0.037,0.4444,0.2031,-0.0161,0.0064,7.0,-0.0667,0.4,211.0,0.0129,0.0194,2463.0,-0.0009,0.1195,555681.0,0.0098,0.1013,181,0.014,0.3507,0.04,-0.0034,0.0009,0.0
202608,51113,"madison, va",478900.0,-0.0207,0.0666,36,-0.1529,-0.2174,44.0,0.3858,-0.5165,16,-0.1111,0.3333,0,-1.0,,0.0,-0.0263,0.0,12.0,0.0,0.0,0.15,0.0102,-0.0144,20.0,0.1111,0.1765,254.0,-0.1883,-0.083,1812.0,0.0174,-0.055,754705.0,-0.0691,0.1192,57,-0.0579,-0.0806,0.5556,0.132,0.186,0.0
202608,51015,"augusta, va",394995.0,-0.0482,-0.1002,178,0.1195,0.2993,44.0,0.0116,-0.2368,100,0.0204,0.3158,0,,,0.0,0.0,0.0,52.0,-0.0714,0.8571,0.1278,-0.0258,0.0377,110.0,-0.0222,0.134,209.0,-0.0338,-0.0161,2000.0,-0.0442,-0.0566,461691.0,-0.0622,-0.0931,290,0.0681,0.234,0.618,-0.0896,-0.0901,1.0
