month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,54053,"mason, wv",194000.0,-0.0956,-0.251,33,0.1786,0.2222,44.0,0.375,-0.3178,16,-0.4667,0.3333,0,,,0.0,0.0,0.0,16.0,1.6667,1.0,0.2424,0.1724,0.0996,19.0,-0.2245,0.1875,124.0,0.0181,-0.0182,1554.0,0.0308,-0.0229,209140.0,-0.0556,-0.2578,52,-0.0095,0.1818,0.5758,-0.2992,-0.0168,1.0
202608,54097,"upshur, wv",195000.0,-0.1256,-0.2038,46,0.3529,0.122,47.0,-0.0784,-0.4051,24,1.4,0.0,0,,,0.0,0.0,0.0,12.0,0.5,-0.4,0.1791,0.0393,-0.0508,10.0,-0.2857,-0.5833,132.0,-0.0055,0.0281,1636.0,-0.106,-0.1251,262564.0,-0.0218,-0.0582,55,0.134,-0.127,0.2174,-0.1944,-0.368,1.0
202608,54005,"boone, wv",114450.0,-0.1676,-0.3675,19,0.1176,-0.24,55.0,-0.1805,0.0583,4,-0.3333,-0.75,0,,,0.0,0.0,0.0,8.0,0.3333,1.0,0.2105,0.0338,0.113,10.0,-0.1667,-0.2857,83.0,0.0939,-0.2004,1337.0,-0.1185,-0.2089,146224.0,-0.1289,-0.2103,30,0.0345,-0.2308,0.5263,-0.1796,-0.0337,1.0
202608,54031,"hardy, wv",379000.0,-0.0079,0.0829,49,0.1264,-0.1552,64.0,0.1532,-0.0448,16,-0.1111,-0.2,0,,,0.0,0.0,0.0,8.0,0.3333,-0.3333,0.1026,0.0286,-0.0224,13.0,-0.1034,0.0833,269.0,0.0757,0.2159,1350.0,-0.106,-0.2467,384165.0,-0.0467,0.0132,62,0.0508,-0.1014,0.2653,-0.068,0.0584,0.0
202608,54043,"lincoln, wv",129000.0,0.0,-0.3006,11,-0.2414,-0.4211,57.0,-0.413,0.0089,8,1.0,,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1111,-0.3636,6.0,0.2,-0.25,67.0,-0.1961,-0.3115,1498.0,-0.1003,-0.0235,173415.0,0.0201,-0.323,19,-0.0256,-0.2963,0.5455,0.2006,0.1244,1.0
202608,54041,"lewis, wv",179000.0,-0.2027,0.0848,38,0.0857,0.2258,40.0,-0.6364,0.0959,24,3.0,0.2,0,,,0.0,0.0,0.0,8.0,0.3333,1.0,0.1111,0.0067,0.0486,19.0,0.2258,0.2667,125.0,0.1055,0.1972,1716.0,0.0239,0.0725,287782.0,-0.1123,0.3346,58,0.16,0.2609,0.5,0.0571,0.0161,0.0
202608,54061,"monongalia, wv",372450.0,-0.0094,0.0349,202,0.0176,0.086,62.0,-0.0081,0.2551,96,0.1707,0.1429,0,-1.0,,0.0,-0.0044,0.0,76.0,-0.0732,-0.1739,0.1751,-0.0063,-0.0456,136.0,-0.2444,-0.0993,177.0,0.0067,-0.0035,2100.0,-0.0219,-0.0237,520119.0,0.0145,0.1201,338,-0.1105,0.0,0.6733,-0.2335,-0.1386,0.0
202608,54037,"jefferson, wv",429450.0,-0.0126,-0.0238,270,0.0345,-0.0074,43.0,-0.0115,-0.14,140,-0.1139,-0.0541,8,0.0,-0.3333,0.0109,0.0,-0.0078,88.0,0.1282,-0.1538,0.1202,0.0158,-0.0221,310.0,-0.0447,0.1698,197.0,0.0322,0.0237,2188.0,-0.0188,-0.0193,496661.0,-0.0153,0.0212,578,-0.0145,0.0704,1.1481,-0.0951,0.1739,0.0
202608,54067,"nicholas, wv",279450.0,0.0771,0.3648,68,-0.0073,0.193,75.0,-0.054,-0.057,24,0.3333,0.2,0,,,0.0,0.0,0.0,16.0,0.1429,0.3333,0.1702,0.0149,0.0426,4.0,0.1429,-0.5556,147.0,0.1184,0.1419,1920.0,-0.0117,0.1415,318887.0,0.0956,0.2863,72,0.007,0.0909,0.0588,0.0077,-0.0991,0.0
202608,54055,"mercer, wv",199000.0,-0.0098,0.1371,131,0.0356,0.1696,62.0,0.0164,0.0081,56,0.4737,0.0,0,,,0.0,0.0,0.0,52.0,0.0,0.1818,0.2203,-0.0291,0.0265,46.0,-0.1154,-0.1154,124.0,0.0029,0.1329,1665.0,-0.0599,-0.0872,273757.0,-0.0055,0.1251,176,-0.0085,0.0798,0.3511,-0.0599,-0.1131,0.0
