RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
1127,Juneau Borough,AK,202603,2457.18,,,"Juneau, AK"
1127,Juneau Borough,AK,202604,2599.14,0.0578,,"Juneau, AK"
1127,Juneau Borough,AK,202605,2546.87,-0.0201,,"Juneau, AK"
1127,Juneau Borough,AK,202606,2513.98,-0.0129,,"Juneau, AK"
1127,Juneau Borough,AK,202607,2472.79,-0.0164,,"Juneau, AK"
1127,Juneau Borough,AK,202608,2492.11,0.0078,,"Juneau, AK"
2616,Anchorage Borough,AK,201501,1284.79,,,"Anchorage, AK"
2616,Anchorage Borough,AK,201502,1284.13,-0.0005,,"Anchorage, AK"
2616,Anchorage Borough,AK,201503,1285.91,0.0014,,"Anchorage, AK"
2616,Anchorage Borough,AK,201504,1280.61,-0.0041,,"Anchorage, AK"
2616,Anchorage Borough,AK,201505,1284.68,0.0032,,"Anchorage, AK"
2616,Anchorage Borough,AK,201506,1291.07,0.005,,"Anchorage, AK"
2616,Anchorage Borough,AK,201507,1291.94,0.0007,,"Anchorage, AK"
2616,Anchorage Borough,AK,201508,1287.1,-0.0037,,"Anchorage, AK"
2616,Anchorage Borough,AK,201509,1287.93,0.0006,,"Anchorage, AK"
2616,Anchorage Borough,AK,201510,1285.47,-0.0019,,"Anchorage, AK"
2616,Anchorage Borough,AK,201511,1286.51,0.0008,,"Anchorage, AK"
2616,Anchorage Borough,AK,201512,1285.78,-0.0006,,"Anchorage, AK"
2616,Anchorage Borough,AK,201601,1284.69,-0.0009,-0.0001,"Anchorage, AK"
2616,Anchorage Borough,AK,201602,1286.2,0.0012,0.0016,"Anchorage, AK"
2616,Anchorage Borough,AK,201603,1278.63,-0.0059,-0.0057,"Anchorage, AK"
2616,Anchorage Borough,AK,201604,1283.47,0.0038,0.0022,"Anchorage, AK"
2616,Anchorage Borough,AK,201605,1281.3,-0.0017,-0.0026,"Anchorage, AK"
2616,Anchorage Borough,AK,201606,1278.84,-0.0019,-0.0095,"Anchorage, AK"
2616,Anchorage Borough,AK,201607,1267.59,-0.0088,-0.0189,"Anchorage, AK"
2616,Anchorage Borough,AK,201608,1264.41,-0.0025,-0.0176,"Anchorage, AK"
2616,Anchorage Borough,AK,201609,1264.25,-0.0001,-0.0184,"Anchorage, AK"
2616,Anchorage Borough,AK,201610,1262.2,-0.0016,-0.0181,"Anchorage, AK"
2616,Anchorage Borough,AK,201611,1257.04,-0.0041,-0.0229,"Anchorage, AK"
2616,Anchorage Borough,AK,201612,1246.32,-0.0085,-0.0307,"Anchorage, AK"
2616,Anchorage Borough,AK,201701,1244.95,-0.0011,-0.0309,"Anchorage, AK"
2616,Anchorage Borough,AK,201702,1241.51,-0.0028,-0.0347,"Anchorage, AK"
