RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
78,Lee County,AL,201504,681.34,,,"Auburn-Opelika, AL"
78,Lee County,AL,201505,739.34,0.0851,,"Auburn-Opelika, AL"
78,Lee County,AL,201506,800.72,0.083,,"Auburn-Opelika, AL"
78,Lee County,AL,201507,978.36,0.2219,,"Auburn-Opelika, AL"
78,Lee County,AL,201508,970.18,-0.0084,,"Auburn-Opelika, AL"
78,Lee County,AL,201510,983.56,0.0138,,"Auburn-Opelika, AL"
78,Lee County,AL,201511,983.89,0.0003,,"Auburn-Opelika, AL"
78,Lee County,AL,201512,987.93,0.0041,,"Auburn-Opelika, AL"
78,Lee County,AL,201601,983.41,-0.0046,,"Auburn-Opelika, AL"
78,Lee County,AL,201603,997.48,0.0143,,"Auburn-Opelika, AL"
78,Lee County,AL,201604,1004.31,0.0068,,"Auburn-Opelika, AL"
78,Lee County,AL,201605,1005.56,0.0012,,"Auburn-Opelika, AL"
78,Lee County,AL,201606,1016.29,0.0107,0.4916,"Auburn-Opelika, AL"
78,Lee County,AL,201607,1011.48,-0.0047,0.3681,"Auburn-Opelika, AL"
78,Lee County,AL,201608,1000.48,-0.0109,0.2495,"Auburn-Opelika, AL"
78,Lee County,AL,201609,1007.85,0.0074,0.0301,"Auburn-Opelika, AL"
78,Lee County,AL,201610,1002.93,-0.0049,0.0338,"Auburn-Opelika, AL"
78,Lee County,AL,201611,998.4,-0.0045,0.0151,"Auburn-Opelika, AL"
78,Lee County,AL,201612,984.51,-0.0139,0.0006,"Auburn-Opelika, AL"
78,Lee County,AL,201701,991.27,0.0069,0.0034,"Auburn-Opelika, AL"
78,Lee County,AL,201702,1009.45,0.0183,0.0265,"Auburn-Opelika, AL"
78,Lee County,AL,201703,1021.34,0.0118,0.0239,"Auburn-Opelika, AL"
78,Lee County,AL,201704,1023.52,0.0021,0.0191,"Auburn-Opelika, AL"
78,Lee County,AL,201705,1034.63,0.0109,0.0289,"Auburn-Opelika, AL"
78,Lee County,AL,201706,1040.34,0.0055,0.0237,"Auburn-Opelika, AL"
78,Lee County,AL,201707,1044.61,0.0041,0.0328,"Auburn-Opelika, AL"
78,Lee County,AL,201708,1045.33,0.0007,0.0448,"Auburn-Opelika, AL"
78,Lee County,AL,201709,1043.79,-0.0015,0.0357,"Auburn-Opelika, AL"
78,Lee County,AL,201710,1050.62,0.0065,0.0476,"Auburn-Opelika, AL"
78,Lee County,AL,201711,1057.21,0.0063,0.0589,"Auburn-Opelika, AL"
78,Lee County,AL,201712,1055.0,-0.0021,0.0716,"Auburn-Opelika, AL"
78,Lee County,AL,201801,1068.66,0.013,0.0781,"Auburn-Opelika, AL"
78,Lee County,AL,201802,1070.45,0.0017,0.0604,"Auburn-Opelika, AL"
78,Lee County,AL,201803,1090.17,0.0184,0.0674,"Auburn-Opelika, AL"
78,Lee County,AL,201804,1090.85,0.0006,0.0658,"Auburn-Opelika, AL"
78,Lee County,AL,201805,1106.01,0.0139,0.069,"Auburn-Opelika, AL"
78,Lee County,AL,201806,1104.7,-0.0012,0.0619,"Auburn-Opelika, AL"
78,Lee County,AL,201807,1105.27,0.0005,0.0581,"Auburn-Opelika, AL"
78,Lee County,AL,201808,1100.76,-0.0041,0.053,"Auburn-Opelika, AL"
78,Lee County,AL,201809,1098.21,-0.0023,0.0521,"Auburn-Opelika, AL"
78,Lee County,AL,201810,1111.06,0.0117,0.0575,"Auburn-Opelika, AL"
