RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
296,Pope County,AR,202312,794.76,,,"Russellville, AR"
296,Pope County,AR,202401,778.0,-0.0211,,"Russellville, AR"
296,Pope County,AR,202402,783.92,0.0076,,"Russellville, AR"
296,Pope County,AR,202403,796.53,0.0161,,"Russellville, AR"
296,Pope County,AR,202404,801.86,0.0067,,"Russellville, AR"
296,Pope County,AR,202405,793.31,-0.0107,,"Russellville, AR"
296,Pope County,AR,202406,791.27,-0.0026,,"Russellville, AR"
296,Pope County,AR,202407,807.17,0.0201,,"Russellville, AR"
296,Pope County,AR,202408,819.66,0.0155,,"Russellville, AR"
296,Pope County,AR,202409,822.27,0.0032,,"Russellville, AR"
296,Pope County,AR,202410,819.43,-0.0035,,"Russellville, AR"
296,Pope County,AR,202411,816.29,-0.0038,,"Russellville, AR"
296,Pope County,AR,202412,839.29,0.0282,0.056,"Russellville, AR"
296,Pope County,AR,202501,835.23,-0.0048,0.0736,"Russellville, AR"
296,Pope County,AR,202502,811.88,-0.028,0.0357,"Russellville, AR"
296,Pope County,AR,202503,796.99,-0.0183,0.0006,"Russellville, AR"
296,Pope County,AR,202504,804.87,0.0099,0.0038,"Russellville, AR"
296,Pope County,AR,202505,831.93,0.0336,0.0487,"Russellville, AR"
296,Pope County,AR,202506,853.39,0.0258,0.0785,"Russellville, AR"
296,Pope County,AR,202507,864.49,0.013,0.071,"Russellville, AR"
296,Pope County,AR,202508,865.74,0.0014,0.0562,"Russellville, AR"
296,Pope County,AR,202509,836.94,-0.0333,0.0178,"Russellville, AR"
296,Pope County,AR,202510,838.97,0.0024,0.0238,"Russellville, AR"
296,Pope County,AR,202511,847.19,0.0098,0.0379,"Russellville, AR"
296,Pope County,AR,202512,878.99,0.0375,0.0473,"Russellville, AR"
296,Pope County,AR,202601,874.89,-0.0047,0.0475,"Russellville, AR"
805,White County,AR,202402,1097.15,,,"Searcy, AR"
805,White County,AR,202403,1129.99,0.0299,,"Searcy, AR"
805,White County,AR,202404,1143.59,0.012,,"Searcy, AR"
805,White County,AR,202405,1152.41,0.0077,,"Searcy, AR"
805,White County,AR,202406,1131.57,-0.0181,,"Searcy, AR"
805,White County,AR,202407,1127.49,-0.0036,,"Searcy, AR"
805,White County,AR,202408,1123.08,-0.0039,,"Searcy, AR"
805,White County,AR,202409,1125.63,0.0023,,"Searcy, AR"
805,White County,AR,202410,1142.37,0.0149,,"Searcy, AR"
805,White County,AR,202411,1151.12,0.0077,,"Searcy, AR"
805,White County,AR,202412,1145.47,-0.0049,,"Searcy, AR"
805,White County,AR,202501,1147.45,0.0017,,"Searcy, AR"
805,White County,AR,202502,1163.98,0.0144,0.0609,"Searcy, AR"
805,White County,AR,202503,1219.78,0.0479,0.0795,"Searcy, AR"
805,White County,AR,202504,1224.52,0.0039,0.0708,"Searcy, AR"
805,White County,AR,202505,1220.12,-0.0036,0.0588,"Searcy, AR"
805,White County,AR,202506,1193.76,-0.0216,0.055,"Searcy, AR"
805,White County,AR,202507,1198.07,0.0036,0.0626,"Searcy, AR"
805,White County,AR,202508,1204.25,0.0052,0.0723,"Searcy, AR"
805,White County,AR,202509,1198.13,-0.0051,0.0644,"Searcy, AR"
805,White County,AR,202510,1215.46,0.0145,0.064,"Searcy, AR"
805,White County,AR,202511,1223.13,0.0063,0.0626,"Searcy, AR"
805,White County,AR,202512,1242.66,0.016,0.0849,"Searcy, AR"
805,White County,AR,202601,1236.43,-0.005,0.0775,"Searcy, AR"
856,Baxter County,AR,202510,1091.05,,,"Mountain Home, AR"
856,Baxter County,AR,202511,1127.62,0.0335,,"Mountain Home, AR"
856,Baxter County,AR,202512,1103.05,-0.0218,,"Mountain Home, AR"
856,Baxter County,AR,202601,1083.33,-0.0179,,"Mountain Home, AR"
864,Benton County,AR,201501,837.86,,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201502,843.94,0.0073,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201503,849.71,0.0068,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201504,857.69,0.0094,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201505,863.9,0.0072,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201506,876.7,0.0148,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201507,878.09,0.0016,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201508,878.0,-0.0001,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201509,872.02,-0.0068,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201510,870.91,-0.0013,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201511,875.11,0.0048,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201512,879.33,0.0048,,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201601,886.08,0.0077,0.0576,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201602,885.66,-0.0005,0.0494,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201603,889.99,0.0049,0.0474,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201604,897.08,0.008,0.0459,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201605,902.1,0.0056,0.0442,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201606,907.9,0.0064,0.0356,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201607,913.61,0.0063,0.0405,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201608,920.63,0.0077,0.0485,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201609,919.13,-0.0016,0.054,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201610,917.98,-0.0012,0.0541,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201611,916.65,-0.0015,0.0475,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201612,919.21,0.0028,0.0454,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201701,920.06,0.0009,0.0383,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201702,929.3,0.01,0.0493,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201703,937.68,0.009,0.0536,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201704,944.72,0.0075,0.0531,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201705,943.24,-0.0016,0.0456,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201706,949.35,0.0065,0.0457,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201707,950.96,0.0017,0.0409,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201708,959.98,0.0095,0.0427,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201709,958.77,-0.0013,0.0431,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201710,962.13,0.0035,0.0481,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201711,954.76,-0.0077,0.0416,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201712,953.38,-0.0014,0.0372,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201801,954.37,0.001,0.0373,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201802,963.05,0.0091,0.0363,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201803,971.87,0.0092,0.0365,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201804,972.21,0.0004,0.0291,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201805,973.01,0.0008,0.0316,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201806,975.74,0.0028,0.0278,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201807,985.12,0.0096,0.0359,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201808,987.34,0.0023,0.0285,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201809,989.77,0.0025,0.0323,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201810,986.35,-0.0035,0.0252,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201811,985.12,-0.0013,0.0318,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201812,989.54,0.0045,0.0379,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201901,993.31,0.0038,0.0408,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201902,997.6,0.0043,0.0359,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201903,996.55,-0.001,0.0254,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201904,1000.88,0.0043,0.0295,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201905,1010.41,0.0095,0.0384,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201906,1015.52,0.0051,0.0408,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201907,1018.94,0.0034,0.0343,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201908,1020.9,0.0019,0.034,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201909,1023.93,0.003,0.0345,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201910,1027.56,0.0035,0.0418,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201911,1025.01,-0.0025,0.0405,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,201912,1022.43,-0.0025,0.0332,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202001,1026.12,0.0036,0.033,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202002,1037.27,0.0109,0.0398,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202003,1049.92,0.0122,0.0536,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202004,1052.69,0.0026,0.0518,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202005,1052.84,0.0001,0.042,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202006,1054.38,0.0015,0.0383,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202007,1061.81,0.007,0.0421,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202008,1065.05,0.0031,0.0432,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202009,1072.63,0.0071,0.0476,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202010,1076.85,0.0039,0.048,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202011,1084.58,0.0072,0.0581,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202012,1092.75,0.0075,0.0688,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202101,1101.69,0.0082,0.0736,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202102,1111.12,0.0086,0.0712,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202103,1120.9,0.0088,0.0676,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202104,1135.93,0.0134,0.0791,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202105,1145.14,0.0081,0.0877,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202106,1154.14,0.0079,0.0946,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202107,1170.5,0.0142,0.1024,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202108,1199.79,0.025,0.1265,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202109,1224.31,0.0204,0.1414,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202110,1229.87,0.0045,0.1421,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202111,1234.92,0.0041,0.1386,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202112,1239.67,0.0038,0.1344,"Fayetteville-Springdale-Rogers, AR"
864,Benton County,AR,202201,1249.44,0.0079,0.1341,"Fayetteville-Springdale-Rogers, AR"
