RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
281,Pima County,AZ,201501,809.7,,,"Tucson, AZ"
281,Pima County,AZ,201502,812.11,0.003,,"Tucson, AZ"
281,Pima County,AZ,201503,815.13,0.0037,,"Tucson, AZ"
281,Pima County,AZ,201504,816.94,0.0022,,"Tucson, AZ"
281,Pima County,AZ,201505,819.74,0.0034,,"Tucson, AZ"
281,Pima County,AZ,201506,821.11,0.0017,,"Tucson, AZ"
281,Pima County,AZ,201507,825.36,0.0052,,"Tucson, AZ"
281,Pima County,AZ,201508,824.78,-0.0007,,"Tucson, AZ"
281,Pima County,AZ,201509,824.92,0.0002,,"Tucson, AZ"
281,Pima County,AZ,201510,822.95,-0.0024,,"Tucson, AZ"
281,Pima County,AZ,201511,826.25,0.004,,"Tucson, AZ"
281,Pima County,AZ,201512,828.66,0.0029,,"Tucson, AZ"
281,Pima County,AZ,201601,834.36,0.0069,0.0304,"Tucson, AZ"
281,Pima County,AZ,201602,836.6,0.0027,0.0302,"Tucson, AZ"
281,Pima County,AZ,201603,838.95,0.0028,0.0292,"Tucson, AZ"
281,Pima County,AZ,201604,839.76,0.001,0.0279,"Tucson, AZ"
281,Pima County,AZ,201605,844.68,0.0059,0.0304,"Tucson, AZ"
281,Pima County,AZ,201606,847.97,0.0039,0.0327,"Tucson, AZ"
281,Pima County,AZ,201607,849.17,0.0014,0.0288,"Tucson, AZ"
281,Pima County,AZ,201608,849.08,-0.0001,0.0295,"Tucson, AZ"
281,Pima County,AZ,201609,848.15,-0.0011,0.0282,"Tucson, AZ"
281,Pima County,AZ,201610,847.79,-0.0004,0.0302,"Tucson, AZ"
281,Pima County,AZ,201611,846.99,-0.0009,0.0251,"Tucson, AZ"
281,Pima County,AZ,201612,851.75,0.0056,0.0279,"Tucson, AZ"
281,Pima County,AZ,201701,857.87,0.0072,0.0282,"Tucson, AZ"
281,Pima County,AZ,201702,869.35,0.0134,0.0391,"Tucson, AZ"
281,Pima County,AZ,201703,879.6,0.0118,0.0485,"Tucson, AZ"
281,Pima County,AZ,201704,887.13,0.0086,0.0564,"Tucson, AZ"
281,Pima County,AZ,201705,891.58,0.005,0.0555,"Tucson, AZ"
281,Pima County,AZ,201706,891.94,0.0004,0.0518,"Tucson, AZ"
281,Pima County,AZ,201707,891.96,0.0,0.0504,"Tucson, AZ"
281,Pima County,AZ,201708,890.79,-0.0013,0.0491,"Tucson, AZ"
281,Pima County,AZ,201709,890.78,-0.0,0.0503,"Tucson, AZ"
281,Pima County,AZ,201710,895.08,0.0048,0.0558,"Tucson, AZ"
281,Pima County,AZ,201711,899.91,0.0054,0.0625,"Tucson, AZ"
281,Pima County,AZ,201712,901.67,0.002,0.0586,"Tucson, AZ"
281,Pima County,AZ,201801,905.19,0.0039,0.0552,"Tucson, AZ"
281,Pima County,AZ,201802,911.11,0.0065,0.048,"Tucson, AZ"
281,Pima County,AZ,201803,922.31,0.0123,0.0486,"Tucson, AZ"
281,Pima County,AZ,201804,932.18,0.0107,0.0508,"Tucson, AZ"
281,Pima County,AZ,201805,936.93,0.0051,0.0509,"Tucson, AZ"
281,Pima County,AZ,201806,942.14,0.0056,0.0563,"Tucson, AZ"
281,Pima County,AZ,201807,943.83,0.0018,0.0581,"Tucson, AZ"
281,Pima County,AZ,201808,946.8,0.0031,0.0629,"Tucson, AZ"
281,Pima County,AZ,201809,948.45,0.0017,0.0648,"Tucson, AZ"
281,Pima County,AZ,201810,951.68,0.0034,0.0632,"Tucson, AZ"
281,Pima County,AZ,201811,958.59,0.0073,0.0652,"Tucson, AZ"
281,Pima County,AZ,201812,965.74,0.0075,0.0711,"Tucson, AZ"
281,Pima County,AZ,201901,972.81,0.0073,0.0747,"Tucson, AZ"
281,Pima County,AZ,201902,978.44,0.0058,0.0739,"Tucson, AZ"
281,Pima County,AZ,201903,986.25,0.008,0.0693,"Tucson, AZ"
281,Pima County,AZ,201904,991.83,0.0057,0.064,"Tucson, AZ"
281,Pima County,AZ,201905,998.05,0.0063,0.0652,"Tucson, AZ"
281,Pima County,AZ,201906,1004.3,0.0063,0.066,"Tucson, AZ"
281,Pima County,AZ,201907,1009.6,0.0053,0.0697,"Tucson, AZ"
281,Pima County,AZ,201908,1011.83,0.0022,0.0687,"Tucson, AZ"
281,Pima County,AZ,201909,1010.19,-0.0016,0.0651,"Tucson, AZ"
281,Pima County,AZ,201910,1013.08,0.0029,0.0645,"Tucson, AZ"
281,Pima County,AZ,201911,1022.14,0.0089,0.0663,"Tucson, AZ"
281,Pima County,AZ,201912,1027.43,0.0052,0.0639,"Tucson, AZ"
281,Pima County,AZ,202001,1035.15,0.0075,0.0641,"Tucson, AZ"
281,Pima County,AZ,202002,1037.67,0.0024,0.0605,"Tucson, AZ"
281,Pima County,AZ,202003,1045.85,0.0079,0.0604,"Tucson, AZ"
281,Pima County,AZ,202004,1045.98,0.0001,0.0546,"Tucson, AZ"
281,Pima County,AZ,202005,1046.33,0.0003,0.0484,"Tucson, AZ"
281,Pima County,AZ,202006,1048.65,0.0022,0.0442,"Tucson, AZ"
281,Pima County,AZ,202007,1058.68,0.0096,0.0486,"Tucson, AZ"
281,Pima County,AZ,202008,1069.87,0.0106,0.0574,"Tucson, AZ"
281,Pima County,AZ,202009,1084.78,0.0139,0.0738,"Tucson, AZ"
281,Pima County,AZ,202010,1103.09,0.0169,0.0888,"Tucson, AZ"
281,Pima County,AZ,202011,1112.31,0.0084,0.0882,"Tucson, AZ"
281,Pima County,AZ,202012,1120.06,0.007,0.0902,"Tucson, AZ"
281,Pima County,AZ,202101,1120.85,0.0007,0.0828,"Tucson, AZ"
281,Pima County,AZ,202102,1135.44,0.013,0.0942,"Tucson, AZ"
281,Pima County,AZ,202103,1148.58,0.0116,0.0982,"Tucson, AZ"
281,Pima County,AZ,202104,1171.59,0.02,0.1201,"Tucson, AZ"
281,Pima County,AZ,202105,1189.1,0.015,0.1365,"Tucson, AZ"
281,Pima County,AZ,202106,1210.56,0.018,0.1544,"Tucson, AZ"
281,Pima County,AZ,202107,1229.02,0.0153,0.1609,"Tucson, AZ"
281,Pima County,AZ,202108,1258.69,0.0241,0.1765,"Tucson, AZ"
281,Pima County,AZ,202109,1285.99,0.0217,0.1855,"Tucson, AZ"
281,Pima County,AZ,202110,1305.96,0.0155,0.1839,"Tucson, AZ"
281,Pima County,AZ,202111,1319.08,0.01,0.1859,"Tucson, AZ"
281,Pima County,AZ,202112,1326.06,0.0053,0.1839,"Tucson, AZ"
281,Pima County,AZ,202201,1334.85,0.0066,0.1909,"Tucson, AZ"
281,Pima County,AZ,202202,1342.87,0.006,0.1827,"Tucson, AZ"
281,Pima County,AZ,202203,1354.82,0.0089,0.1796,"Tucson, AZ"
281,Pima County,AZ,202204,1364.86,0.0074,0.165,"Tucson, AZ"
281,Pima County,AZ,202205,1371.36,0.0048,0.1533,"Tucson, AZ"
281,Pima County,AZ,202206,1379.04,0.0056,0.1392,"Tucson, AZ"
281,Pima County,AZ,202207,1387.61,0.0062,0.129,"Tucson, AZ"
281,Pima County,AZ,202208,1395.4,0.0056,0.1086,"Tucson, AZ"
281,Pima County,AZ,202209,1396.85,0.001,0.0862,"Tucson, AZ"
281,Pima County,AZ,202210,1389.02,-0.0056,0.0636,"Tucson, AZ"
281,Pima County,AZ,202211,1386.55,-0.0018,0.0511,"Tucson, AZ"
281,Pima County,AZ,202212,1385.65,-0.0006,0.0449,"Tucson, AZ"
281,Pima County,AZ,202301,1390.91,0.0038,0.042,"Tucson, AZ"
281,Pima County,AZ,202302,1394.21,0.0024,0.0382,"Tucson, AZ"
281,Pima County,AZ,202303,1401.92,0.0055,0.0348,"Tucson, AZ"
281,Pima County,AZ,202304,1409.67,0.0055,0.0328,"Tucson, AZ"
281,Pima County,AZ,202305,1421.11,0.0081,0.0363,"Tucson, AZ"
281,Pima County,AZ,202306,1427.69,0.0046,0.0353,"Tucson, AZ"
281,Pima County,AZ,202307,1436.21,0.006,0.035,"Tucson, AZ"
281,Pima County,AZ,202308,1436.33,0.0001,0.0293,"Tucson, AZ"
281,Pima County,AZ,202309,1436.05,-0.0002,0.0281,"Tucson, AZ"
281,Pima County,AZ,202310,1435.5,-0.0004,0.0335,"Tucson, AZ"
281,Pima County,AZ,202311,1431.84,-0.0026,0.0327,"Tucson, AZ"
281,Pima County,AZ,202312,1434.36,0.0018,0.0351,"Tucson, AZ"
281,Pima County,AZ,202401,1434.88,0.0004,0.0316,"Tucson, AZ"
281,Pima County,AZ,202402,1440.05,0.0036,0.0329,"Tucson, AZ"
281,Pima County,AZ,202403,1441.3,0.0009,0.0281,"Tucson, AZ"
281,Pima County,AZ,202404,1444.85,0.0025,0.025,"Tucson, AZ"
281,Pima County,AZ,202405,1449.36,0.0031,0.0199,"Tucson, AZ"
281,Pima County,AZ,202406,1453.58,0.0029,0.0181,"Tucson, AZ"
281,Pima County,AZ,202407,1456.31,0.0019,0.014,"Tucson, AZ"
281,Pima County,AZ,202408,1456.1,-0.0001,0.0138,"Tucson, AZ"
281,Pima County,AZ,202409,1458.96,0.002,0.016,"Tucson, AZ"
281,Pima County,AZ,202410,1459.82,0.0006,0.0169,"Tucson, AZ"
281,Pima County,AZ,202411,1459.13,-0.0005,0.0191,"Tucson, AZ"
281,Pima County,AZ,202412,1455.68,-0.0024,0.0149,"Tucson, AZ"
281,Pima County,AZ,202501,1453.29,-0.0016,0.0128,"Tucson, AZ"
281,Pima County,AZ,202502,1453.89,0.0004,0.0096,"Tucson, AZ"
281,Pima County,AZ,202503,1456.5,0.0018,0.0105,"Tucson, AZ"
281,Pima County,AZ,202504,1457.8,0.0009,0.009,"Tucson, AZ"
281,Pima County,AZ,202505,1462.1,0.0029,0.0088,"Tucson, AZ"
281,Pima County,AZ,202506,1462.1,0.0,0.0059,"Tucson, AZ"
281,Pima County,AZ,202507,1463.68,0.0011,0.0051,"Tucson, AZ"
281,Pima County,AZ,202508,1459.84,-0.0026,0.0026,"Tucson, AZ"
281,Pima County,AZ,202509,1458.59,-0.0009,-0.0003,"Tucson, AZ"
281,Pima County,AZ,202510,1452.52,-0.0042,-0.005,"Tucson, AZ"
281,Pima County,AZ,202511,1449.64,-0.002,-0.0065,"Tucson, AZ"
281,Pima County,AZ,202512,1444.56,-0.0035,-0.0076,"Tucson, AZ"
281,Pima County,AZ,202601,1451.59,0.0049,-0.0012,"Tucson, AZ"
281,Pima County,AZ,202602,1458.71,0.0049,0.0033,"Tucson, AZ"
281,Pima County,AZ,202603,1468.0,0.0064,0.0079,"Tucson, AZ"
281,Pima County,AZ,202604,1470.08,0.0014,0.0084,"Tucson, AZ"
281,Pima County,AZ,202605,1473.28,0.0022,0.0076,"Tucson, AZ"
