RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
204,Kern County,CA,201501,948.36,,,"Bakersfield, CA"
204,Kern County,CA,201502,951.7,0.0035,,"Bakersfield, CA"
204,Kern County,CA,201503,961.8,0.0106,,"Bakersfield, CA"
204,Kern County,CA,201504,966.61,0.005,,"Bakersfield, CA"
204,Kern County,CA,201505,972.12,0.0057,,"Bakersfield, CA"
204,Kern County,CA,201506,969.27,-0.0029,,"Bakersfield, CA"
204,Kern County,CA,201507,971.91,0.0027,,"Bakersfield, CA"
204,Kern County,CA,201508,968.28,-0.0037,,"Bakersfield, CA"
204,Kern County,CA,201509,968.29,0.0,,"Bakersfield, CA"
204,Kern County,CA,201510,968.24,-0.0,,"Bakersfield, CA"
204,Kern County,CA,201511,970.42,0.0023,,"Bakersfield, CA"
204,Kern County,CA,201512,969.28,-0.0012,,"Bakersfield, CA"
204,Kern County,CA,201601,971.93,0.0027,0.0248,"Bakersfield, CA"
204,Kern County,CA,201602,973.11,0.0012,0.0225,"Bakersfield, CA"
204,Kern County,CA,201603,980.28,0.0074,0.0192,"Bakersfield, CA"
204,Kern County,CA,201604,984.45,0.0042,0.0185,"Bakersfield, CA"
204,Kern County,CA,201605,981.43,-0.0031,0.0096,"Bakersfield, CA"
204,Kern County,CA,201606,984.02,0.0026,0.0152,"Bakersfield, CA"
204,Kern County,CA,201607,987.7,0.0037,0.0162,"Bakersfield, CA"
204,Kern County,CA,201608,994.12,0.0065,0.0267,"Bakersfield, CA"
204,Kern County,CA,201609,993.39,-0.0007,0.0259,"Bakersfield, CA"
204,Kern County,CA,201610,988.13,-0.0053,0.0205,"Bakersfield, CA"
204,Kern County,CA,201611,988.5,0.0004,0.0186,"Bakersfield, CA"
204,Kern County,CA,201612,991.75,0.0033,0.0232,"Bakersfield, CA"
204,Kern County,CA,201701,998.2,0.0065,0.027,"Bakersfield, CA"
204,Kern County,CA,201702,1003.95,0.0058,0.0317,"Bakersfield, CA"
204,Kern County,CA,201703,1008.07,0.0041,0.0283,"Bakersfield, CA"
204,Kern County,CA,201704,1014.61,0.0065,0.0306,"Bakersfield, CA"
204,Kern County,CA,201705,1019.59,0.0049,0.0389,"Bakersfield, CA"
204,Kern County,CA,201706,1022.05,0.0024,0.0387,"Bakersfield, CA"
204,Kern County,CA,201707,1023.88,0.0018,0.0366,"Bakersfield, CA"
204,Kern County,CA,201708,1024.65,0.0007,0.0307,"Bakersfield, CA"
204,Kern County,CA,201709,1029.88,0.0051,0.0367,"Bakersfield, CA"
204,Kern County,CA,201710,1027.48,-0.0023,0.0398,"Bakersfield, CA"
