RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
218,Lake County,CO,202606,2412.59,,,
218,Lake County,CO,202607,2535.72,0.051,,
218,Lake County,CO,202608,2555.56,0.0078,,
251,Mesa County,CO,201501,860.28,,,"Grand Junction, CO"
251,Mesa County,CO,201502,858.14,-0.0025,,"Grand Junction, CO"
251,Mesa County,CO,201503,862.64,0.0052,,"Grand Junction, CO"
251,Mesa County,CO,201504,870.1,0.0086,,"Grand Junction, CO"
251,Mesa County,CO,201505,882.74,0.0145,,"Grand Junction, CO"
251,Mesa County,CO,201506,888.66,0.0067,,"Grand Junction, CO"
251,Mesa County,CO,201507,887.36,-0.0015,,"Grand Junction, CO"
251,Mesa County,CO,201508,882.81,-0.0051,,"Grand Junction, CO"
251,Mesa County,CO,201509,883.43,0.0007,,"Grand Junction, CO"
251,Mesa County,CO,201510,885.01,0.0018,,"Grand Junction, CO"
251,Mesa County,CO,201511,887.55,0.0029,,"Grand Junction, CO"
251,Mesa County,CO,201512,880.26,-0.0082,,"Grand Junction, CO"
251,Mesa County,CO,201601,879.58,-0.0008,0.0224,"Grand Junction, CO"
251,Mesa County,CO,201602,876.59,-0.0034,0.0215,"Grand Junction, CO"
251,Mesa County,CO,201603,888.91,0.0141,0.0305,"Grand Junction, CO"
251,Mesa County,CO,201604,896.81,0.0089,0.0307,"Grand Junction, CO"
251,Mesa County,CO,201605,908.18,0.0127,0.0288,"Grand Junction, CO"
251,Mesa County,CO,201606,912.21,0.0044,0.0265,"Grand Junction, CO"
251,Mesa County,CO,201607,918.43,0.0068,0.035,"Grand Junction, CO"
251,Mesa County,CO,201608,918.08,-0.0004,0.04,"Grand Junction, CO"
251,Mesa County,CO,201609,918.3,0.0002,0.0395,"Grand Junction, CO"
251,Mesa County,CO,201610,913.69,-0.005,0.0324,"Grand Junction, CO"
251,Mesa County,CO,201611,907.68,-0.0066,0.0227,"Grand Junction, CO"
251,Mesa County,CO,201612,897.75,-0.0109,0.0199,"Grand Junction, CO"
251,Mesa County,CO,201701,902.15,0.0049,0.0257,"Grand Junction, CO"
251,Mesa County,CO,201702,908.77,0.0073,0.0367,"Grand Junction, CO"
251,Mesa County,CO,201703,924.8,0.0176,0.0404,"Grand Junction, CO"
251,Mesa County,CO,201704,931.19,0.0069,0.0383,"Grand Junction, CO"
251,Mesa County,CO,201705,947.26,0.0173,0.043,"Grand Junction, CO"
251,Mesa County,CO,201706,956.2,0.0094,0.0482,"Grand Junction, CO"
251,Mesa County,CO,201707,958.55,0.0025,0.0437,"Grand Junction, CO"
251,Mesa County,CO,201708,958.19,-0.0004,0.0437,"Grand Junction, CO"
251,Mesa County,CO,201709,953.29,-0.0051,0.0381,"Grand Junction, CO"
251,Mesa County,CO,201710,959.11,0.0061,0.0497,"Grand Junction, CO"
251,Mesa County,CO,201711,962.62,0.0037,0.0605,"Grand Junction, CO"
251,Mesa County,CO,201712,965.35,0.0028,0.0753,"Grand Junction, CO"
251,Mesa County,CO,201801,967.51,0.0022,0.0725,"Grand Junction, CO"
251,Mesa County,CO,201802,968.68,0.0012,0.0659,"Grand Junction, CO"
251,Mesa County,CO,201803,986.37,0.0183,0.0666,"Grand Junction, CO"
251,Mesa County,CO,201804,995.54,0.0093,0.0691,"Grand Junction, CO"
251,Mesa County,CO,201805,1006.52,0.011,0.0626,"Grand Junction, CO"
251,Mesa County,CO,201806,1011.18,0.0046,0.0575,"Grand Junction, CO"
251,Mesa County,CO,201807,1017.5,0.0062,0.0615,"Grand Junction, CO"
251,Mesa County,CO,201808,1028.36,0.0107,0.0732,"Grand Junction, CO"
251,Mesa County,CO,201809,1026.86,-0.0015,0.0772,"Grand Junction, CO"
251,Mesa County,CO,201810,1031.15,0.0042,0.0751,"Grand Junction, CO"
251,Mesa County,CO,201811,1028.61,-0.0025,0.0686,"Grand Junction, CO"
251,Mesa County,CO,201812,1037.92,0.0091,0.0752,"Grand Junction, CO"
251,Mesa County,CO,201901,1043.71,0.0056,0.0788,"Grand Junction, CO"
251,Mesa County,CO,201902,1052.25,0.0082,0.0863,"Grand Junction, CO"
251,Mesa County,CO,201903,1060.23,0.0076,0.0749,"Grand Junction, CO"
251,Mesa County,CO,201904,1071.19,0.0103,0.076,"Grand Junction, CO"
251,Mesa County,CO,201905,1079.05,0.0073,0.0721,"Grand Junction, CO"
251,Mesa County,CO,201906,1083.73,0.0043,0.0718,"Grand Junction, CO"
251,Mesa County,CO,201907,1083.97,0.0002,0.0653,"Grand Junction, CO"
251,Mesa County,CO,201908,1098.84,0.0137,0.0685,"Grand Junction, CO"
251,Mesa County,CO,201909,1106.59,0.0071,0.0776,"Grand Junction, CO"
251,Mesa County,CO,201910,1104.97,-0.0015,0.0716,"Grand Junction, CO"
251,Mesa County,CO,201911,1097.76,-0.0065,0.0672,"Grand Junction, CO"
251,Mesa County,CO,201912,1091.89,-0.0053,0.052,"Grand Junction, CO"
251,Mesa County,CO,202001,1105.23,0.0122,0.0589,"Grand Junction, CO"
251,Mesa County,CO,202002,1110.84,0.0051,0.0557,"Grand Junction, CO"
251,Mesa County,CO,202003,1102.11,-0.0079,0.0395,"Grand Junction, CO"
251,Mesa County,CO,202004,1098.38,-0.0034,0.0254,"Grand Junction, CO"
251,Mesa County,CO,202005,1101.83,0.0031,0.0211,"Grand Junction, CO"
251,Mesa County,CO,202006,1128.88,0.0245,0.0417,"Grand Junction, CO"
251,Mesa County,CO,202007,1139.96,0.0098,0.0517,"Grand Junction, CO"
251,Mesa County,CO,202008,1152.46,0.011,0.0488,"Grand Junction, CO"
251,Mesa County,CO,202009,1160.02,0.0066,0.0483,"Grand Junction, CO"
251,Mesa County,CO,202010,1173.83,0.0119,0.0623,"Grand Junction, CO"
251,Mesa County,CO,202011,1181.97,0.0069,0.0767,"Grand Junction, CO"
251,Mesa County,CO,202012,1185.48,0.003,0.0857,"Grand Junction, CO"
251,Mesa County,CO,202101,1198.8,0.0112,0.0847,"Grand Junction, CO"
251,Mesa County,CO,202102,1212.22,0.0112,0.0913,"Grand Junction, CO"
251,Mesa County,CO,202103,1228.66,0.0136,0.1148,"Grand Junction, CO"
251,Mesa County,CO,202104,1225.14,-0.0029,0.1154,"Grand Junction, CO"
251,Mesa County,CO,202105,1230.51,0.0044,0.1168,"Grand Junction, CO"
251,Mesa County,CO,202106,1248.49,0.0146,0.106,"Grand Junction, CO"
251,Mesa County,CO,202107,1281.49,0.0264,0.1241,"Grand Junction, CO"
251,Mesa County,CO,202108,1305.88,0.019,0.1331,"Grand Junction, CO"
251,Mesa County,CO,202109,1327.2,0.0163,0.1441,"Grand Junction, CO"
