RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
3289,District of Columbia,DC,201501,1848.34,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201502,1858.62,0.0056,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201503,1873.28,0.0079,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201504,1890.88,0.0094,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201505,1903.36,0.0066,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201506,1917.18,0.0073,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201507,1924.93,0.004,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201508,1922.45,-0.0013,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201509,1929.5,0.0037,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201510,1923.46,-0.0031,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201511,1916.79,-0.0035,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201512,1903.69,-0.0068,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201601,1913.47,0.0051,0.0352,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201602,1931.8,0.0096,0.0394,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201603,1938.1,0.0033,0.0346,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201604,1944.66,0.0034,0.0284,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201605,1944.21,-0.0002,0.0215,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201606,1956.53,0.0063,0.0205,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201607,1967.02,0.0054,0.0219,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201608,1977.85,0.0055,0.0288,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201609,1979.85,0.001,0.0261,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201610,1963.03,-0.0085,0.0206,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201611,1956.91,-0.0031,0.0209,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201612,1950.82,-0.0031,0.0248,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201701,1963.21,0.0064,0.026,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201702,1979.45,0.0083,0.0247,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201703,2001.64,0.0112,0.0328,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201704,2016.99,0.0077,0.0372,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201705,2017.11,0.0001,0.0375,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201706,2025.04,0.0039,0.035,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201707,2023.96,-0.0005,0.0289,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201708,2027.95,0.002,0.0253,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201709,2028.48,0.0003,0.0246,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201710,2023.4,-0.0025,0.0308,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201711,2018.21,-0.0026,0.0313,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201712,2016.36,-0.0009,0.0336,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201801,2017.1,0.0004,0.0274,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201802,2018.76,0.0008,0.0199,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201803,2022.41,0.0018,0.0104,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201804,2038.02,0.0077,0.0104,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201805,2051.5,0.0066,0.017,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201806,2066.65,0.0074,0.0205,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201807,2075.01,0.004,0.0252,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201808,2084.18,0.0044,0.0277,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201809,2079.43,-0.0023,0.0251,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201810,2073.49,-0.0029,0.0248,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201811,2071.47,-0.001,0.0264,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201812,2075.57,0.002,0.0294,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201901,2084.1,0.0041,0.0332,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201902,2089.19,0.0024,0.0349,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201903,2097.86,0.0041,0.0373,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201904,2105.57,0.0037,0.0331,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201905,2119.41,0.0066,0.0331,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201906,2131.32,0.0056,0.0313,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201907,2136.89,0.0026,0.0298,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201908,2139.29,0.0011,0.0264,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201909,2143.08,0.0018,0.0306,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201910,2140.7,-0.0011,0.0324,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201911,2132.09,-0.004,0.0293,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201912,2127.75,-0.002,0.0251,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202001,2134.58,0.0032,0.0242,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202002,2148.56,0.0065,0.0284,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202003,2160.22,0.0054,0.0297,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202004,2160.2,-0.0,0.0259,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202005,2150.7,-0.0044,0.0148,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202006,2140.3,-0.0048,0.0042,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202007,2132.18,-0.0038,-0.0022,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202008,2119.21,-0.0061,-0.0094,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202011,2027.69,-0.0432,-0.0538,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202012,2006.94,-0.0102,-0.0625,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202101,2008.24,0.0006,-0.0581,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202102,2015.07,0.0034,-0.053,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202103,2027.26,0.0061,-0.0503,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202104,2036.38,0.0045,-0.0522,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202105,2058.79,0.011,-0.047,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202106,2098.96,0.0195,-0.0283,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202107,2139.62,0.0194,-0.0052,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202108,2171.9,0.0151,0.0148,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202109,2189.37,0.008,0.0268,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,202110,2202.1,0.0058,0.0391,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
