RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
67,Bay County,FL,201501,929.75,,,"Panama City, FL"
67,Bay County,FL,201502,929.59,-0.0002,,"Panama City, FL"
67,Bay County,FL,201503,934.18,0.0049,,"Panama City, FL"
67,Bay County,FL,201504,942.17,0.0086,,"Panama City, FL"
67,Bay County,FL,201505,944.51,0.0025,,"Panama City, FL"
67,Bay County,FL,201506,942.83,-0.0018,,"Panama City, FL"
67,Bay County,FL,201507,944.76,0.0021,,"Panama City, FL"
67,Bay County,FL,201508,952.08,0.0077,,"Panama City, FL"
67,Bay County,FL,201509,953.8,0.0018,,"Panama City, FL"
67,Bay County,FL,201510,950.11,-0.0039,,"Panama City, FL"
67,Bay County,FL,201511,948.83,-0.0013,,"Panama City, FL"
67,Bay County,FL,201512,957.84,0.0095,,"Panama City, FL"
67,Bay County,FL,201601,961.84,0.0042,0.0345,"Panama City, FL"
67,Bay County,FL,201602,964.86,0.0031,0.0379,"Panama City, FL"
67,Bay County,FL,201603,973.13,0.0086,0.0417,"Panama City, FL"
67,Bay County,FL,201604,978.6,0.0056,0.0387,"Panama City, FL"
67,Bay County,FL,201605,989.43,0.0111,0.0476,"Panama City, FL"
67,Bay County,FL,201606,983.66,-0.0058,0.0433,"Panama City, FL"
67,Bay County,FL,201607,986.53,0.0029,0.0442,"Panama City, FL"
67,Bay County,FL,201608,984.02,-0.0025,0.0336,"Panama City, FL"
67,Bay County,FL,201609,986.13,0.0021,0.0339,"Panama City, FL"
67,Bay County,FL,201610,979.25,-0.007,0.0307,"Panama City, FL"
67,Bay County,FL,201611,965.19,-0.0144,0.0172,"Panama City, FL"
67,Bay County,FL,201612,965.45,0.0003,0.0079,"Panama City, FL"
67,Bay County,FL,201701,973.68,0.0085,0.0123,"Panama City, FL"
67,Bay County,FL,201702,987.6,0.0143,0.0236,"Panama City, FL"
67,Bay County,FL,201703,990.13,0.0026,0.0175,"Panama City, FL"
67,Bay County,FL,201704,999.34,0.0093,0.0212,"Panama City, FL"
67,Bay County,FL,201705,1006.91,0.0076,0.0177,"Panama City, FL"
67,Bay County,FL,201706,1022.57,0.0156,0.0396,"Panama City, FL"
67,Bay County,FL,201707,1024.69,0.0021,0.0387,"Panama City, FL"
67,Bay County,FL,201708,1029.63,0.0048,0.0464,"Panama City, FL"
67,Bay County,FL,201709,1024.49,-0.005,0.0389,"Panama City, FL"
67,Bay County,FL,201710,1025.65,0.0011,0.0474,"Panama City, FL"
67,Bay County,FL,201711,1026.16,0.0005,0.0632,"Panama City, FL"
67,Bay County,FL,201712,1029.55,0.0033,0.0664,"Panama City, FL"
67,Bay County,FL,201801,1034.64,0.0049,0.0626,"Panama City, FL"
67,Bay County,FL,201802,1039.25,0.0045,0.0523,"Panama City, FL"
67,Bay County,FL,201803,1049.95,0.0103,0.0604,"Panama City, FL"
67,Bay County,FL,201804,1055.14,0.005,0.0558,"Panama City, FL"
67,Bay County,FL,201805,1063.91,0.0083,0.0566,"Panama City, FL"
67,Bay County,FL,201806,1067.49,0.0034,0.0439,"Panama City, FL"
67,Bay County,FL,201807,1084.27,0.0157,0.0581,"Panama City, FL"
67,Bay County,FL,201808,1089.12,0.0045,0.0578,"Panama City, FL"
67,Bay County,FL,201809,1088.84,-0.0003,0.0628,"Panama City, FL"
67,Bay County,FL,201810,1114.09,0.0232,0.0862,"Panama City, FL"
67,Bay County,FL,201901,1300.93,0.1677,0.2678,"Panama City, FL"
