RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
81,Lee County,GA,202401,1416.64,,,"Albany, GA"
81,Lee County,GA,202402,1421.23,0.0032,,"Albany, GA"
81,Lee County,GA,202403,1405.48,-0.0111,,"Albany, GA"
81,Lee County,GA,202404,1475.18,0.0496,,"Albany, GA"
81,Lee County,GA,202405,1502.97,0.0188,,"Albany, GA"
81,Lee County,GA,202406,1525.64,0.0151,,"Albany, GA"
81,Lee County,GA,202407,1458.26,-0.0442,,"Albany, GA"
81,Lee County,GA,202408,1461.59,0.0023,,"Albany, GA"
81,Lee County,GA,202409,1474.16,0.0086,,"Albany, GA"
81,Lee County,GA,202410,1495.08,0.0142,,"Albany, GA"
81,Lee County,GA,202411,1474.07,-0.0141,,"Albany, GA"
81,Lee County,GA,202412,1442.05,-0.0217,,"Albany, GA"
81,Lee County,GA,202501,1433.49,-0.0059,0.0119,"Albany, GA"
81,Lee County,GA,202502,1454.2,0.0144,0.0232,"Albany, GA"
81,Lee County,GA,202503,1480.5,0.0181,0.0534,"Albany, GA"
81,Lee County,GA,202504,1509.01,0.0193,0.0229,"Albany, GA"
81,Lee County,GA,202505,1510.04,0.0007,0.0047,"Albany, GA"
81,Lee County,GA,202506,1506.42,-0.0024,-0.0126,"Albany, GA"
81,Lee County,GA,202507,1482.51,-0.0159,0.0166,"Albany, GA"
81,Lee County,GA,202508,1493.78,0.0076,0.022,"Albany, GA"
81,Lee County,GA,202509,1497.13,0.0022,0.0156,"Albany, GA"
81,Lee County,GA,202510,1515.83,0.0125,0.0139,"Albany, GA"
81,Lee County,GA,202511,1505.37,-0.0069,0.0212,"Albany, GA"
81,Lee County,GA,202512,1505.26,-0.0001,0.0438,"Albany, GA"
81,Lee County,GA,202601,1494.37,-0.0072,0.0425,"Albany, GA"
81,Lee County,GA,202602,1492.64,-0.0012,0.0264,"Albany, GA"
81,Lee County,GA,202603,1505.17,0.0084,0.0167,"Albany, GA"
81,Lee County,GA,202604,1512.32,0.0047,0.0022,"Albany, GA"
81,Lee County,GA,202605,1521.15,0.0058,0.0074,"Albany, GA"
81,Lee County,GA,202606,1515.69,-0.0036,0.0062,"Albany, GA"
81,Lee County,GA,202607,1520.33,0.0031,0.0255,"Albany, GA"
101,Bibb County,GA,201605,758.91,,,"Macon-Bibb County, GA"
101,Bibb County,GA,201606,752.48,-0.0085,,"Macon-Bibb County, GA"
101,Bibb County,GA,201607,755.71,0.0043,,"Macon-Bibb County, GA"
101,Bibb County,GA,201608,755.89,0.0002,,"Macon-Bibb County, GA"
101,Bibb County,GA,201609,747.66,-0.0109,,"Macon-Bibb County, GA"
101,Bibb County,GA,201610,727.93,-0.0264,,"Macon-Bibb County, GA"
