RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
250,Maui County,HI,202012,2102.53,,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202101,2110.62,0.0038,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202102,2288.52,0.0843,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202103,2405.85,0.0513,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202104,2509.17,0.0429,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202105,2496.96,-0.0049,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202106,2618.83,0.0488,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202107,2623.38,0.0017,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202108,2674.37,0.0194,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202109,2617.22,-0.0214,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202110,2627.55,0.0039,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202111,2661.51,0.0129,,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202112,2747.38,0.0323,0.3067,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202201,2799.76,0.0191,0.3265,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202202,2845.81,0.0164,0.2435,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202203,2866.46,0.0073,0.1915,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202204,2933.7,0.0235,0.1692,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202205,2881.51,-0.0178,0.154,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202206,2885.26,0.0013,0.1017,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202207,2850.09,-0.0122,0.0864,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202208,2888.2,0.0134,0.08,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202209,2864.96,-0.008,0.0947,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202210,2866.39,0.0005,0.0909,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202211,2976.93,0.0386,0.1185,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202212,3080.18,0.0347,0.1211,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202301,3109.64,0.0096,0.1107,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202302,3056.64,-0.017,0.0741,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202303,2992.2,-0.0211,0.0439,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202304,3014.83,0.0076,0.0277,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202305,3009.58,-0.0017,0.0444,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202306,3036.58,0.009,0.0524,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202307,3076.98,0.0133,0.0796,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202308,3094.26,0.0056,0.0713,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202309,3121.52,0.0088,0.0895,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202310,3166.48,0.0144,0.1047,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202311,3184.93,0.0058,0.0699,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202312,3171.23,-0.0043,0.0296,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202401,3234.07,0.0198,0.04,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202402,3377.29,0.0443,0.1049,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202403,3476.63,0.0294,0.1619,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202404,3468.01,-0.0025,0.1503,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202405,3387.34,-0.0233,0.1255,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202406,3385.64,-0.0005,0.115,"Kahului-Wailuku-Lahaina, HI"
250,Maui County,HI,202407,3362.08,-0.007,0.0927,"Kahului-Wailuku-Lahaina, HI"
