RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
66,Ada County,ID,201501,923.62,,,"Boise City, ID"
66,Ada County,ID,201502,927.58,0.0043,,"Boise City, ID"
66,Ada County,ID,201503,934.23,0.0072,,"Boise City, ID"
66,Ada County,ID,201504,941.3,0.0076,,"Boise City, ID"
66,Ada County,ID,201505,956.32,0.016,,"Boise City, ID"
66,Ada County,ID,201506,963.41,0.0074,,"Boise City, ID"
66,Ada County,ID,201507,972.02,0.0089,,"Boise City, ID"
66,Ada County,ID,201508,970.54,-0.0015,,"Boise City, ID"
66,Ada County,ID,201509,972.31,0.0018,,"Boise City, ID"
66,Ada County,ID,201510,967.46,-0.005,,"Boise City, ID"
66,Ada County,ID,201511,965.91,-0.0016,,"Boise City, ID"
66,Ada County,ID,201512,965.96,0.0001,,"Boise City, ID"
66,Ada County,ID,201601,971.07,0.0053,0.0514,"Boise City, ID"
66,Ada County,ID,201602,980.74,0.01,0.0573,"Boise City, ID"
66,Ada County,ID,201603,989.47,0.0089,0.0591,"Boise City, ID"
66,Ada County,ID,201604,1002.87,0.0136,0.0654,"Boise City, ID"
66,Ada County,ID,201605,1008.15,0.0053,0.0542,"Boise City, ID"
66,Ada County,ID,201606,1020.05,0.0118,0.0588,"Boise City, ID"
66,Ada County,ID,201607,1026.85,0.0067,0.0564,"Boise City, ID"
66,Ada County,ID,201608,1037.12,0.01,0.0686,"Boise City, ID"
66,Ada County,ID,201609,1038.73,0.0016,0.0683,"Boise City, ID"
66,Ada County,ID,201610,1039.55,0.0008,0.0745,"Boise City, ID"
66,Ada County,ID,201611,1030.38,-0.0088,0.0667,"Boise City, ID"
66,Ada County,ID,201612,1026.25,-0.004,0.0624,"Boise City, ID"
66,Ada County,ID,201701,1027.82,0.0015,0.0584,"Boise City, ID"
66,Ada County,ID,201702,1039.22,0.0111,0.0596,"Boise City, ID"
66,Ada County,ID,201703,1058.76,0.0188,0.07,"Boise City, ID"
66,Ada County,ID,201704,1073.92,0.0143,0.0708,"Boise City, ID"
