RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
83,Lee County,IL,202605,1132.09,,,"Dixon, IL"
83,Lee County,IL,202606,1127.27,-0.0043,,"Dixon, IL"
83,Lee County,IL,202607,1112.22,-0.0133,,"Dixon, IL"
139,Cook County,IL,201501,1442.78,,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201502,1452.45,0.0067,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201503,1464.1,0.008,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201504,1474.05,0.0068,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201505,1484.89,0.0074,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201506,1495.44,0.0071,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201507,1500.68,0.0035,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201508,1503.51,0.0019,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201509,1498.08,-0.0036,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201510,1489.8,-0.0055,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201511,1479.65,-0.0068,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201512,1478.78,-0.0006,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201601,1488.41,0.0065,0.0316,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201602,1501.84,0.009,0.034,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201603,1514.98,0.0088,0.0348,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201604,1523.36,0.0055,0.0335,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201605,1531.42,0.0053,0.0313,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201606,1539.63,0.0054,0.0295,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201607,1546.45,0.0044,0.0305,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201608,1551.1,0.003,0.0317,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201609,1544.33,-0.0044,0.0309,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201610,1533.52,-0.007,0.0293,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201611,1519.43,-0.0092,0.0269,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201612,1512.28,-0.0047,0.0227,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201701,1518.33,0.004,0.0201,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201702,1533.8,0.0102,0.0213,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201703,1554.4,0.0134,0.026,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201704,1568.76,0.0092,0.0298,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201705,1580.23,0.0073,0.0319,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201706,1586.99,0.0043,0.0308,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201707,1588.63,0.001,0.0273,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201708,1583.74,-0.0031,0.021,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201709,1576.18,-0.0048,0.0206,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201710,1563.33,-0.0082,0.0194,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201711,1553.11,-0.0065,0.0222,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201712,1550.43,-0.0017,0.0252,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201801,1560.06,0.0062,0.0275,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201802,1575.32,0.0098,0.0271,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201803,1588.66,0.0085,0.022,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201804,1599.42,0.0068,0.0195,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201805,1609.82,0.0065,0.0187,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201806,1619.87,0.0062,0.0207,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201807,1625.42,0.0034,0.0232,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201808,1622.14,-0.002,0.0242,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201809,1608.58,-0.0084,0.0206,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201810,1594.98,-0.0085,0.0202,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201811,1586.37,-0.0054,0.0214,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201812,1587.42,0.0007,0.0239,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201901,1596.69,0.0058,0.0235,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201902,1608.75,0.0076,0.0212,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201903,1626.69,0.0111,0.0239,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201904,1641.36,0.009,0.0262,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201905,1654.41,0.0079,0.0277,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201906,1661.45,0.0043,0.0257,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201907,1664.23,0.0017,0.0239,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201908,1664.45,0.0001,0.0261,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201909,1658.8,-0.0034,0.0312,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201910,1650.88,-0.0048,0.035,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201911,1641.58,-0.0056,0.0348,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201912,1636.08,-0.0033,0.0307,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,202001,1645.46,0.0057,0.0305,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,202002,1658.54,0.0079,0.0309,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,202003,1674.4,0.0096,0.0293,"Chicago-Naperville-Elgin, IL-IN-WI"
