RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
109,Cass County,IN,202601,974.5,,,"Logansport, IN"
221,Lake County,IN,201501,803.87,,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201502,803.37,-0.0006,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201503,800.78,-0.0032,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201504,803.89,0.0039,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201505,810.13,0.0078,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201506,803.22,-0.0085,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201508,800.77,-0.0031,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201509,795.57,-0.0065,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201510,793.22,-0.003,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201511,797.15,0.005,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201512,805.76,0.0108,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201601,811.45,0.0071,,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201602,817.4,0.0073,0.0168,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201603,822.35,0.0061,0.0236,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201604,832.93,0.0129,0.0401,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201605,833.57,0.0008,0.0369,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201606,836.08,0.003,0.032,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201607,831.13,-0.0059,0.0347,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201608,829.15,-0.0024,0.0354,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201609,829.13,-0.0,0.0422,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201610,824.72,-0.0053,0.0397,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201611,827.17,0.003,0.0377,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201612,829.9,0.0033,0.03,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201701,831.61,0.0021,0.0249,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201702,835.42,0.0046,0.022,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201703,835.78,0.0004,0.0163,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201704,851.27,0.0185,0.022,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201705,857.65,0.0075,0.0289,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201706,857.78,0.0001,0.026,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201707,850.98,-0.0079,0.0239,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201708,846.05,-0.0058,0.0204,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201709,853.58,0.0089,0.0295,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201710,853.71,0.0001,0.0352,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201711,865.32,0.0136,0.0461,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201712,861.16,-0.0048,0.0377,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201801,860.89,-0.0003,0.0352,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201802,855.66,-0.0061,0.0242,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201803,862.57,0.0081,0.0321,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201804,876.01,0.0156,0.0291,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201805,887.21,0.0128,0.0345,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201806,885.57,-0.0018,0.0324,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201807,888.97,0.0038,0.0446,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201808,887.03,-0.0022,0.0484,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201809,897.15,0.0114,0.051,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201810,894.82,-0.0026,0.0482,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201811,899.69,0.0054,0.0397,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201812,899.03,-0.0007,0.044,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201901,904.46,0.006,0.0506,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201902,902.09,-0.0026,0.0543,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201903,906.36,0.0047,0.0508,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Lake County,IN,201904,909.24,0.0032,0.0379,"Chicago-Naperville-Elgin, IL-IN-WI"
