RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
246,Lyon County,KS,202310,685.46,,,"Emporia, KS"
246,Lyon County,KS,202311,682.5,-0.0043,,"Emporia, KS"
246,Lyon County,KS,202312,683.33,0.0012,,"Emporia, KS"
246,Lyon County,KS,202401,672.58,-0.0157,,"Emporia, KS"
246,Lyon County,KS,202402,678.47,0.0087,,"Emporia, KS"
246,Lyon County,KS,202403,677.32,-0.0017,,"Emporia, KS"
246,Lyon County,KS,202404,698.17,0.0308,,"Emporia, KS"
246,Lyon County,KS,202405,691.91,-0.009,,"Emporia, KS"
246,Lyon County,KS,202406,711.68,0.0286,,"Emporia, KS"
246,Lyon County,KS,202407,715.6,0.0055,,"Emporia, KS"
246,Lyon County,KS,202408,742.0,0.0369,,"Emporia, KS"
246,Lyon County,KS,202409,744.57,0.0035,,"Emporia, KS"
246,Lyon County,KS,202410,750.78,0.0083,0.0953,"Emporia, KS"
246,Lyon County,KS,202411,755.6,0.0064,0.1071,"Emporia, KS"
246,Lyon County,KS,202412,739.24,-0.0216,0.0818,"Emporia, KS"
246,Lyon County,KS,202501,720.52,-0.0253,0.0713,"Emporia, KS"
246,Lyon County,KS,202502,715.17,-0.0074,0.0541,"Emporia, KS"
246,Lyon County,KS,202503,732.52,0.0243,0.0815,"Emporia, KS"
246,Lyon County,KS,202504,741.31,0.012,0.0618,"Emporia, KS"
246,Lyon County,KS,202505,733.43,-0.0106,0.06,"Emporia, KS"
246,Lyon County,KS,202506,727.72,-0.0078,0.0225,"Emporia, KS"
246,Lyon County,KS,202507,744.52,0.0231,0.0404,"Emporia, KS"
246,Lyon County,KS,202508,757.44,0.0174,0.0208,"Emporia, KS"
246,Lyon County,KS,202509,793.59,0.0477,0.0658,"Emporia, KS"
246,Lyon County,KS,202510,790.96,-0.0033,0.0535,"Emporia, KS"
246,Lyon County,KS,202511,786.61,-0.0055,0.041,"Emporia, KS"
246,Lyon County,KS,202512,752.64,-0.0432,0.0181,"Emporia, KS"
246,Lyon County,KS,202601,741.67,-0.0146,0.0293,"Emporia, KS"
301,Reno County,KS,201705,562.0,,,"Hutchinson, KS"
301,Reno County,KS,201706,563.67,0.003,,"Hutchinson, KS"
301,Reno County,KS,201707,563.24,-0.0008,,"Hutchinson, KS"
301,Reno County,KS,201708,568.71,0.0097,,"Hutchinson, KS"
301,Reno County,KS,201709,568.38,-0.0006,,"Hutchinson, KS"
301,Reno County,KS,201710,568.32,-0.0001,,"Hutchinson, KS"
301,Reno County,KS,201711,568.89,0.001,,"Hutchinson, KS"
301,Reno County,KS,201712,578.76,0.0174,,"Hutchinson, KS"
301,Reno County,KS,201801,580.56,0.0031,,"Hutchinson, KS"
301,Reno County,KS,201802,581.64,0.0018,,"Hutchinson, KS"
301,Reno County,KS,201803,579.64,-0.0034,,"Hutchinson, KS"
301,Reno County,KS,201804,580.7,0.0018,,"Hutchinson, KS"
301,Reno County,KS,201805,578.78,-0.0033,0.0299,"Hutchinson, KS"
301,Reno County,KS,201806,569.95,-0.0153,0.0111,"Hutchinson, KS"
301,Reno County,KS,201807,573.31,0.0059,0.0179,"Hutchinson, KS"
301,Reno County,KS,201808,572.95,-0.0006,0.0075,"Hutchinson, KS"
301,Reno County,KS,201809,581.64,0.0152,0.0233,"Hutchinson, KS"
301,Reno County,KS,201810,575.63,-0.0103,0.0129,"Hutchinson, KS"
301,Reno County,KS,201811,579.25,0.0063,0.0182,"Hutchinson, KS"
301,Reno County,KS,201812,581.39,0.0037,0.0045,"Hutchinson, KS"
301,Reno County,KS,201901,590.03,0.0149,0.0163,"Hutchinson, KS"
301,Reno County,KS,201902,591.83,0.003,0.0175,"Hutchinson, KS"
301,Reno County,KS,201903,591.25,-0.001,0.02,"Hutchinson, KS"
301,Reno County,KS,201904,590.6,-0.0011,0.017,"Hutchinson, KS"
301,Reno County,KS,201905,592.09,0.0025,0.023,"Hutchinson, KS"
301,Reno County,KS,201906,588.45,-0.0061,0.0325,"Hutchinson, KS"
301,Reno County,KS,201907,592.04,0.0061,0.0327,"Hutchinson, KS"
301,Reno County,KS,201908,590.03,-0.0034,0.0298,"Hutchinson, KS"
301,Reno County,KS,201909,587.58,-0.0042,0.0102,"Hutchinson, KS"
301,Reno County,KS,201910,588.53,0.0016,0.0224,"Hutchinson, KS"
301,Reno County,KS,201911,592.2,0.0062,0.0224,"Hutchinson, KS"
301,Reno County,KS,201912,605.8,0.023,0.042,"Hutchinson, KS"
301,Reno County,KS,202001,604.4,-0.0023,0.0243,"Hutchinson, KS"
301,Reno County,KS,202002,613.67,0.0153,0.0369,"Hutchinson, KS"
301,Reno County,KS,202003,611.07,-0.0042,0.0335,"Hutchinson, KS"
301,Reno County,KS,202004,613.55,0.0041,0.0389,"Hutchinson, KS"
301,Reno County,KS,202005,611.38,-0.0035,0.0326,"Hutchinson, KS"
301,Reno County,KS,202006,613.49,0.0034,0.0425,"Hutchinson, KS"
301,Reno County,KS,202007,616.92,0.0056,0.042,"Hutchinson, KS"
301,Reno County,KS,202008,617.33,0.0007,0.0463,"Hutchinson, KS"
301,Reno County,KS,202009,618.6,0.0021,0.0528,"Hutchinson, KS"
301,Reno County,KS,202010,611.36,-0.0117,0.0388,"Hutchinson, KS"
301,Reno County,KS,202011,612.75,0.0023,0.0347,"Hutchinson, KS"
301,Reno County,KS,202012,614.98,0.0036,0.0151,"Hutchinson, KS"
301,Reno County,KS,202101,619.93,0.0081,0.0257,"Hutchinson, KS"
301,Reno County,KS,202102,616.77,-0.0051,0.0051,"Hutchinson, KS"
301,Reno County,KS,202103,617.95,0.0019,0.0113,"Hutchinson, KS"
301,Reno County,KS,202104,627.39,0.0153,0.0226,"Hutchinson, KS"
301,Reno County,KS,202105,637.76,0.0165,0.0431,"Hutchinson, KS"
301,Reno County,KS,202106,640.98,0.005,0.0448,"Hutchinson, KS"
301,Reno County,KS,202107,643.06,0.0032,0.0424,"Hutchinson, KS"
301,Reno County,KS,202108,641.46,-0.0025,0.0391,"Hutchinson, KS"
301,Reno County,KS,202109,637.6,-0.006,0.0307,"Hutchinson, KS"
301,Reno County,KS,202110,641.07,0.0054,0.0486,"Hutchinson, KS"
301,Reno County,KS,202111,633.81,-0.0113,0.0344,"Hutchinson, KS"
301,Reno County,KS,202112,659.32,0.0403,0.0721,"Hutchinson, KS"
301,Reno County,KS,202201,663.79,0.0068,0.0707,"Hutchinson, KS"
301,Reno County,KS,202202,686.47,0.0342,0.113,"Hutchinson, KS"
301,Reno County,KS,202203,672.76,-0.02,0.0887,"Hutchinson, KS"
301,Reno County,KS,202204,677.34,0.0068,0.0796,"Hutchinson, KS"
301,Reno County,KS,202205,680.94,0.0053,0.0677,"Hutchinson, KS"
301,Reno County,KS,202207,705.88,0.0366,0.1013,"Hutchinson, KS"
301,Reno County,KS,202208,713.61,0.0109,0.1097,"Hutchinson, KS"
301,Reno County,KS,202209,711.51,-0.0029,0.1092,"Hutchinson, KS"
301,Reno County,KS,202210,710.01,-0.0021,0.1136,"Hutchinson, KS"
301,Reno County,KS,202211,701.4,-0.0121,0.0941,"Hutchinson, KS"
301,Reno County,KS,202212,710.84,0.0135,0.1215,"Hutchinson, KS"
301,Reno County,KS,202301,709.55,-0.0018,0.0762,"Hutchinson, KS"
301,Reno County,KS,202302,727.24,0.0249,0.0956,"Hutchinson, KS"
301,Reno County,KS,202303,733.01,0.0079,0.0678,"Hutchinson, KS"
301,Reno County,KS,202304,737.84,0.0066,0.0967,"Hutchinson, KS"
301,Reno County,KS,202305,739.25,0.0019,0.0914,"Hutchinson, KS"
301,Reno County,KS,202306,746.84,0.0103,0.0968,"Hutchinson, KS"
301,Reno County,KS,202307,748.32,0.002,0.0601,"Hutchinson, KS"
301,Reno County,KS,202308,751.23,0.0039,0.0527,"Hutchinson, KS"
301,Reno County,KS,202309,754.64,0.0045,0.0606,"Hutchinson, KS"
301,Reno County,KS,202310,767.01,0.0164,0.0803,"Hutchinson, KS"
