RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
503,Essex County,MA,201501,1442.22,,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201502,1442.73,0.0004,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201503,1444.25,0.0011,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201504,1462.19,0.0124,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201505,1487.48,0.0173,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201506,1504.2,0.0112,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201507,1523.5,0.0128,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201508,1522.93,-0.0004,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201509,1542.39,0.0128,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201510,1536.53,-0.0038,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201511,1526.77,-0.0063,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201512,1496.01,-0.0202,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201601,1488.49,-0.005,0.0321,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201602,1500.96,0.0084,0.0404,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201603,1524.28,0.0155,0.0554,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201604,1543.22,0.0124,0.0554,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201605,1559.39,0.0105,0.0483,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201606,1576.74,0.0111,0.0482,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201607,1587.55,0.0069,0.042,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201608,1590.34,0.0018,0.0443,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201609,1595.78,0.0034,0.0346,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201610,1594.62,-0.0007,0.0378,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201611,1600.02,0.0034,0.048,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201612,1589.39,-0.0066,0.0624,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201701,1595.81,0.004,0.0721,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201702,1604.88,0.0057,0.0692,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201703,1628.33,0.0146,0.0683,"Boston-Cambridge-Newton, MA-NH"
