RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
429,Cecil County,MD,202008,1293.27,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202009,1308.31,0.0116,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202010,1306.27,-0.0016,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202011,1305.53,-0.0006,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202012,1295.4,-0.0078,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202101,1311.45,0.0124,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202102,1339.86,0.0217,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202103,1355.24,0.0115,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202104,1370.59,0.0113,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202105,1377.42,0.005,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202106,1398.75,0.0155,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202107,1411.6,0.0092,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202108,1422.58,0.0078,0.1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202109,1433.32,0.0076,0.0956,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202110,1444.59,0.0079,0.1059,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202111,1455.74,0.0077,0.1151,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202112,1468.85,0.009,0.1339,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202201,1488.48,0.0134,0.135,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202202,1503.72,0.0102,0.1223,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202203,1537.35,0.0224,0.1344,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202204,1554.54,0.0112,0.1342,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202205,1560.1,0.0036,0.1326,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202206,1564.03,0.0025,0.1182,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202207,1581.92,0.0114,0.1207,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202208,1622.66,0.0258,0.1406,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202209,1634.63,0.0074,0.1404,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202210,1623.03,-0.0071,0.1235,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202211,1600.37,-0.014,0.0994,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202212,1605.1,0.003,0.0928,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202301,1614.55,0.0059,0.0847,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202302,1624.76,0.0063,0.0805,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202303,1632.71,0.0049,0.062,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202304,1647.81,0.0093,0.06,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202305,1655.41,0.0046,0.0611,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202306,1653.61,-0.0011,0.0573,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202307,1644.18,-0.0057,0.0394,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202308,1680.0,0.0218,0.0353,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202309,1709.23,0.0174,0.0456,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202310,1746.76,0.022,0.0762,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202311,1734.11,-0.0072,0.0836,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202312,1727.09,-0.004,0.076,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
429,Cecil County,MD,202401,1706.7,-0.0118,0.0571,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
