RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
211,Knox County,ME,202504,1545.96,,,
211,Knox County,ME,202505,1614.15,0.0441,,
211,Knox County,ME,202506,1659.81,0.0283,,
211,Knox County,ME,202507,1691.66,0.0192,,
211,Knox County,ME,202508,1677.51,-0.0084,,
211,Knox County,ME,202509,1638.14,-0.0235,,
211,Knox County,ME,202510,1609.75,-0.0173,,
211,Knox County,ME,202511,1519.36,-0.0562,,
211,Knox County,ME,202512,1529.7,0.0068,,
211,Knox County,ME,202601,1549.96,0.0132,,
211,Knox County,ME,202602,1671.05,0.0781,,
211,Knox County,ME,202603,1715.94,0.0269,,
211,Knox County,ME,202604,1724.92,0.0052,0.1158,
211,Knox County,ME,202605,1739.78,0.0086,0.0778,
211,Knox County,ME,202606,1741.67,0.0011,0.0493,
341,York County,ME,201803,1185.78,,,"Portland-South Portland, ME"
341,York County,ME,201804,1192.87,0.006,,"Portland-South Portland, ME"
341,York County,ME,201805,1236.16,0.0363,,"Portland-South Portland, ME"
341,York County,ME,201806,1267.89,0.0257,,"Portland-South Portland, ME"
341,York County,ME,201807,1272.84,0.0039,,"Portland-South Portland, ME"
341,York County,ME,201808,1266.4,-0.0051,,"Portland-South Portland, ME"
341,York County,ME,201809,1262.91,-0.0028,,"Portland-South Portland, ME"
341,York County,ME,201810,1255.33,-0.006,,"Portland-South Portland, ME"
341,York County,ME,201811,1237.13,-0.0145,,"Portland-South Portland, ME"
341,York County,ME,201812,1213.03,-0.0195,,"Portland-South Portland, ME"
341,York County,ME,201901,1234.58,0.0178,,"Portland-South Portland, ME"
341,York County,ME,201902,1249.87,0.0124,,"Portland-South Portland, ME"
341,York County,ME,201903,1283.08,0.0266,0.0821,"Portland-South Portland, ME"
341,York County,ME,201904,1301.11,0.0141,0.0907,"Portland-South Portland, ME"
341,York County,ME,201905,1326.95,0.0199,0.0734,"Portland-South Portland, ME"
341,York County,ME,201906,1330.27,0.0025,0.0492,"Portland-South Portland, ME"
341,York County,ME,201907,1310.72,-0.0147,0.0298,"Portland-South Portland, ME"
341,York County,ME,201908,1307.57,-0.0024,0.0325,"Portland-South Portland, ME"
341,York County,ME,201909,1310.0,0.0019,0.0373,"Portland-South Portland, ME"
341,York County,ME,201910,1312.37,0.0018,0.0454,"Portland-South Portland, ME"
341,York County,ME,201911,1307.23,-0.0039,0.0567,"Portland-South Portland, ME"
341,York County,ME,201912,1306.44,-0.0006,0.077,"Portland-South Portland, ME"
341,York County,ME,202001,1314.2,0.0059,0.0645,"Portland-South Portland, ME"
341,York County,ME,202002,1333.53,0.0147,0.0669,"Portland-South Portland, ME"
341,York County,ME,202003,1359.95,0.0198,0.0599,"Portland-South Portland, ME"
341,York County,ME,202004,1364.29,0.0032,0.0486,"Portland-South Portland, ME"
341,York County,ME,202005,1385.12,0.0153,0.0438,"Portland-South Portland, ME"
341,York County,ME,202006,1393.68,0.0062,0.0477,"Portland-South Portland, ME"
341,York County,ME,202007,1429.54,0.0257,0.0906,"Portland-South Portland, ME"
341,York County,ME,202008,1430.7,0.0008,0.0942,"Portland-South Portland, ME"
341,York County,ME,202009,1438.03,0.0051,0.0977,"Portland-South Portland, ME"
341,York County,ME,202010,1450.88,0.0089,0.1055,"Portland-South Portland, ME"
341,York County,ME,202011,1439.81,-0.0076,0.1014,"Portland-South Portland, ME"
341,York County,ME,202012,1417.34,-0.0156,0.0849,"Portland-South Portland, ME"
341,York County,ME,202101,1419.29,0.0014,0.08,"Portland-South Portland, ME"
341,York County,ME,202102,1414.07,-0.0037,0.0604,"Portland-South Portland, ME"
341,York County,ME,202103,1436.93,0.0162,0.0566,"Portland-South Portland, ME"
341,York County,ME,202104,1429.14,-0.0054,0.0475,"Portland-South Portland, ME"
341,York County,ME,202105,1488.18,0.0413,0.0744,"Portland-South Portland, ME"
341,York County,ME,202106,1533.05,0.0302,0.1,"Portland-South Portland, ME"
341,York County,ME,202107,1580.35,0.0308,0.1055,"Portland-South Portland, ME"
341,York County,ME,202108,1604.4,0.0152,0.1214,"Portland-South Portland, ME"
341,York County,ME,202109,1621.03,0.0104,0.1273,"Portland-South Portland, ME"
341,York County,ME,202110,1643.11,0.0136,0.1325,"Portland-South Portland, ME"
341,York County,ME,202111,1665.42,0.0136,0.1567,"Portland-South Portland, ME"
341,York County,ME,202112,1670.25,0.0029,0.1784,"Portland-South Portland, ME"
341,York County,ME,202201,1676.75,0.0039,0.1814,"Portland-South Portland, ME"
341,York County,ME,202202,1666.84,-0.0059,0.1788,"Portland-South Portland, ME"
341,York County,ME,202203,1687.55,0.0124,0.1744,"Portland-South Portland, ME"
341,York County,ME,202204,1691.82,0.0025,0.1838,"Portland-South Portland, ME"
341,York County,ME,202205,1739.21,0.028,0.1687,"Portland-South Portland, ME"
341,York County,ME,202206,1771.19,0.0184,0.1553,"Portland-South Portland, ME"
341,York County,ME,202207,1820.16,0.0276,0.1517,"Portland-South Portland, ME"
341,York County,ME,202208,1834.05,0.0076,0.1431,"Portland-South Portland, ME"
341,York County,ME,202209,1831.73,-0.0013,0.13,"Portland-South Portland, ME"
341,York County,ME,202210,1823.01,-0.0048,0.1095,"Portland-South Portland, ME"
341,York County,ME,202211,1792.09,-0.017,0.0761,"Portland-South Portland, ME"
341,York County,ME,202212,1788.21,-0.0022,0.0706,"Portland-South Portland, ME"
341,York County,ME,202301,1779.57,-0.0048,0.0613,"Portland-South Portland, ME"
341,York County,ME,202302,1802.38,0.0128,0.0813,"Portland-South Portland, ME"
341,York County,ME,202303,1829.82,0.0152,0.0843,"Portland-South Portland, ME"
341,York County,ME,202304,1875.85,0.0252,0.1088,"Portland-South Portland, ME"
341,York County,ME,202305,1917.4,0.0222,0.1025,"Portland-South Portland, ME"
341,York County,ME,202306,1941.51,0.0126,0.0962,"Portland-South Portland, ME"
341,York County,ME,202307,1963.95,0.0116,0.079,"Portland-South Portland, ME"
341,York County,ME,202308,1959.7,-0.0022,0.0685,"Portland-South Portland, ME"
341,York County,ME,202309,1959.8,0.0001,0.0699,"Portland-South Portland, ME"
341,York County,ME,202310,1926.28,-0.0171,0.0566,"Portland-South Portland, ME"
341,York County,ME,202311,1905.42,-0.0108,0.0632,"Portland-South Portland, ME"
341,York County,ME,202312,1910.61,0.0027,0.0684,"Portland-South Portland, ME"
341,York County,ME,202401,1922.73,0.0063,0.0804,"Portland-South Portland, ME"
341,York County,ME,202402,1945.74,0.012,0.0795,"Portland-South Portland, ME"
341,York County,ME,202403,1974.9,0.015,0.0793,"Portland-South Portland, ME"
341,York County,ME,202404,2007.28,0.0164,0.0701,"Portland-South Portland, ME"
341,York County,ME,202405,2041.52,0.0171,0.0647,"Portland-South Portland, ME"
341,York County,ME,202406,2046.84,0.0026,0.0542,"Portland-South Portland, ME"
341,York County,ME,202407,2067.29,0.01,0.0526,"Portland-South Portland, ME"
341,York County,ME,202408,2059.51,-0.0038,0.0509,"Portland-South Portland, ME"
341,York County,ME,202409,2052.07,-0.0036,0.0471,"Portland-South Portland, ME"
341,York County,ME,202410,2013.92,-0.0186,0.0455,"Portland-South Portland, ME"
341,York County,ME,202411,2014.46,0.0003,0.0572,"Portland-South Portland, ME"
341,York County,ME,202412,1988.14,-0.0131,0.0406,"Portland-South Portland, ME"
341,York County,ME,202501,2007.54,0.0098,0.0441,"Portland-South Portland, ME"
341,York County,ME,202502,2014.87,0.0037,0.0355,"Portland-South Portland, ME"
341,York County,ME,202503,2060.0,0.0224,0.0431,"Portland-South Portland, ME"
341,York County,ME,202504,2083.89,0.0116,0.0382,"Portland-South Portland, ME"
341,York County,ME,202505,2102.62,0.009,0.0299,"Portland-South Portland, ME"
341,York County,ME,202506,2114.72,0.0058,0.0332,"Portland-South Portland, ME"
341,York County,ME,202507,2124.52,0.0046,0.0277,"Portland-South Portland, ME"
341,York County,ME,202508,2132.43,0.0037,0.0354,"Portland-South Portland, ME"
341,York County,ME,202509,2115.63,-0.0079,0.031,"Portland-South Portland, ME"
341,York County,ME,202510,2098.83,-0.0079,0.0422,"Portland-South Portland, ME"
341,York County,ME,202511,2083.32,-0.0074,0.0342,"Portland-South Portland, ME"
341,York County,ME,202512,2075.87,-0.0036,0.0441,"Portland-South Portland, ME"
341,York County,ME,202601,2076.96,0.0005,0.0346,"Portland-South Portland, ME"
341,York County,ME,202602,2086.83,0.0048,0.0357,"Portland-South Portland, ME"
341,York County,ME,202603,2113.07,0.0126,0.0258,"Portland-South Portland, ME"
