RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
112,Cass County,MO,201606,1049.18,,,"Kansas City, MO-KS"
112,Cass County,MO,201607,1057.56,0.008,,"Kansas City, MO-KS"
112,Cass County,MO,201608,1064.25,0.0063,,"Kansas City, MO-KS"
112,Cass County,MO,201609,1070.38,0.0058,,"Kansas City, MO-KS"
112,Cass County,MO,201610,1070.19,-0.0002,,"Kansas City, MO-KS"
112,Cass County,MO,201611,1066.93,-0.0031,,"Kansas City, MO-KS"
112,Cass County,MO,201612,1072.65,0.0054,,"Kansas City, MO-KS"
112,Cass County,MO,201701,1075.23,0.0024,,"Kansas City, MO-KS"
112,Cass County,MO,201702,1078.28,0.0028,,"Kansas City, MO-KS"
112,Cass County,MO,201703,1077.52,-0.0007,,"Kansas City, MO-KS"
112,Cass County,MO,201704,1080.69,0.0029,,"Kansas City, MO-KS"
112,Cass County,MO,201705,1084.61,0.0036,,"Kansas City, MO-KS"
112,Cass County,MO,201706,1090.95,0.0058,0.0398,"Kansas City, MO-KS"
112,Cass County,MO,201707,1094.63,0.0034,0.0351,"Kansas City, MO-KS"
112,Cass County,MO,201708,1088.99,-0.0051,0.0232,"Kansas City, MO-KS"
112,Cass County,MO,201709,1087.54,-0.0013,0.016,"Kansas City, MO-KS"
112,Cass County,MO,201710,1089.94,0.0022,0.0185,"Kansas City, MO-KS"
112,Cass County,MO,201711,1104.39,0.0133,0.0351,"Kansas City, MO-KS"
112,Cass County,MO,201712,1099.28,-0.0046,0.0248,"Kansas City, MO-KS"
112,Cass County,MO,201801,1090.27,-0.0082,0.014,"Kansas City, MO-KS"
112,Cass County,MO,201802,1087.28,-0.0027,0.0083,"Kansas City, MO-KS"
112,Cass County,MO,201803,1097.12,0.009,0.0182,"Kansas City, MO-KS"
112,Cass County,MO,201804,1111.22,0.0129,0.0283,"Kansas City, MO-KS"
112,Cass County,MO,201805,1120.25,0.0081,0.0329,"Kansas City, MO-KS"
112,Cass County,MO,201806,1116.86,-0.003,0.0238,"Kansas City, MO-KS"
112,Cass County,MO,201807,1117.51,0.0006,0.0209,"Kansas City, MO-KS"
112,Cass County,MO,201808,1122.22,0.0042,0.0305,"Kansas City, MO-KS"
112,Cass County,MO,201809,1127.14,0.0044,0.0364,"Kansas City, MO-KS"
112,Cass County,MO,201810,1131.11,0.0035,0.0378,"Kansas City, MO-KS"
112,Cass County,MO,201811,1128.44,-0.0024,0.0218,"Kansas City, MO-KS"
112,Cass County,MO,201812,1126.25,-0.0019,0.0245,"Kansas City, MO-KS"
112,Cass County,MO,201901,1131.44,0.0046,0.0378,"Kansas City, MO-KS"
112,Cass County,MO,201902,1135.52,0.0036,0.0444,"Kansas City, MO-KS"
112,Cass County,MO,201903,1146.37,0.0095,0.0449,"Kansas City, MO-KS"
112,Cass County,MO,201904,1146.33,-0.0,0.0316,"Kansas City, MO-KS"
112,Cass County,MO,201905,1156.3,0.0087,0.0322,"Kansas City, MO-KS"
112,Cass County,MO,201906,1162.85,0.0057,0.0412,"Kansas City, MO-KS"
112,Cass County,MO,201907,1174.19,0.0098,0.0507,"Kansas City, MO-KS"
112,Cass County,MO,201908,1168.31,-0.005,0.0411,"Kansas City, MO-KS"
112,Cass County,MO,201909,1177.88,0.0082,0.045,"Kansas City, MO-KS"
112,Cass County,MO,201910,1171.57,-0.0054,0.0358,"Kansas City, MO-KS"
112,Cass County,MO,201911,1180.14,0.0073,0.0458,"Kansas City, MO-KS"
112,Cass County,MO,201912,1175.34,-0.0041,0.0436,"Kansas City, MO-KS"
112,Cass County,MO,202001,1171.41,-0.0033,0.0353,"Kansas City, MO-KS"
112,Cass County,MO,202002,1171.81,0.0003,0.032,"Kansas City, MO-KS"
112,Cass County,MO,202003,1176.2,0.0038,0.026,"Kansas City, MO-KS"
112,Cass County,MO,202004,1192.93,0.0142,0.0407,"Kansas City, MO-KS"
112,Cass County,MO,202005,1196.53,0.003,0.0348,"Kansas City, MO-KS"
112,Cass County,MO,202006,1208.5,0.01,0.0393,"Kansas City, MO-KS"
112,Cass County,MO,202007,1223.35,0.0123,0.0419,"Kansas City, MO-KS"
112,Cass County,MO,202008,1240.45,0.014,0.0618,"Kansas City, MO-KS"
112,Cass County,MO,202009,1237.2,-0.0026,0.0504,"Kansas City, MO-KS"
