RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
86,Lee County,NC,202306,1651.01,,,"Sanford, NC"
86,Lee County,NC,202307,1625.19,-0.0156,,"Sanford, NC"
86,Lee County,NC,202308,1651.73,0.0163,,"Sanford, NC"
86,Lee County,NC,202309,1649.54,-0.0013,,"Sanford, NC"
86,Lee County,NC,202310,1674.86,0.0153,,"Sanford, NC"
86,Lee County,NC,202311,1648.99,-0.0154,,"Sanford, NC"
86,Lee County,NC,202312,1669.34,0.0123,,"Sanford, NC"
86,Lee County,NC,202401,1645.32,-0.0144,,"Sanford, NC"
86,Lee County,NC,202402,1669.33,0.0146,,"Sanford, NC"
86,Lee County,NC,202403,1676.23,0.0041,,"Sanford, NC"
86,Lee County,NC,202404,1692.01,0.0094,,"Sanford, NC"
86,Lee County,NC,202405,1713.25,0.0126,,"Sanford, NC"
86,Lee County,NC,202406,1722.78,0.0056,0.0435,"Sanford, NC"
86,Lee County,NC,202407,1762.42,0.023,0.0844,"Sanford, NC"
86,Lee County,NC,202408,1764.82,0.0014,0.0685,"Sanford, NC"
86,Lee County,NC,202409,1765.16,0.0002,0.0701,"Sanford, NC"
86,Lee County,NC,202410,1743.65,-0.0122,0.0411,"Sanford, NC"
86,Lee County,NC,202411,1734.04,-0.0055,0.0516,"Sanford, NC"
86,Lee County,NC,202412,1717.93,-0.0093,0.0291,"Sanford, NC"
86,Lee County,NC,202501,1698.85,-0.0111,0.0325,"Sanford, NC"
86,Lee County,NC,202502,1692.16,-0.0039,0.0137,"Sanford, NC"
86,Lee County,NC,202503,1697.5,0.0032,0.0127,"Sanford, NC"
86,Lee County,NC,202504,1715.15,0.0104,0.0137,"Sanford, NC"
86,Lee County,NC,202505,1733.32,0.0106,0.0117,"Sanford, NC"
86,Lee County,NC,202506,1746.95,0.0079,0.014,"Sanford, NC"
86,Lee County,NC,202507,1771.73,0.0142,0.0053,"Sanford, NC"
86,Lee County,NC,202508,1791.89,0.0114,0.0153,"Sanford, NC"
86,Lee County,NC,202509,1812.75,0.0116,0.027,"Sanford, NC"
86,Lee County,NC,202510,1813.9,0.0006,0.0403,"Sanford, NC"
86,Lee County,NC,202511,1793.62,-0.0112,0.0344,"Sanford, NC"
86,Lee County,NC,202512,1786.76,-0.0038,0.0401,"Sanford, NC"
86,Lee County,NC,202601,1772.49,-0.008,0.0433,"Sanford, NC"
86,Lee County,NC,202602,1776.7,0.0024,0.05,"Sanford, NC"
86,Lee County,NC,202603,1784.73,0.0045,0.0514,"Sanford, NC"
86,Lee County,NC,202604,1809.94,0.0141,0.0553,"Sanford, NC"
86,Lee County,NC,202605,1820.75,0.006,0.0504,"Sanford, NC"
86,Lee County,NC,202606,1815.75,-0.0027,0.0394,"Sanford, NC"
86,Lee County,NC,202607,1789.87,-0.0143,0.0102,"Sanford, NC"
147,Dare County,NC,202606,2485.7,,,"Kill Devil Hills, NC"
147,Dare County,NC,202607,2500.0,0.0058,,"Kill Devil Hills, NC"
181,Hoke County,NC,202112,1388.95,,,"Fayetteville, NC"
181,Hoke County,NC,202201,1425.93,0.0266,,"Fayetteville, NC"
181,Hoke County,NC,202202,1430.71,0.0034,,"Fayetteville, NC"
181,Hoke County,NC,202203,1438.46,0.0054,,"Fayetteville, NC"
181,Hoke County,NC,202204,1453.57,0.0105,,"Fayetteville, NC"
181,Hoke County,NC,202205,1505.39,0.0357,,"Fayetteville, NC"
181,Hoke County,NC,202206,1508.65,0.0022,,"Fayetteville, NC"
181,Hoke County,NC,202207,1519.48,0.0072,,"Fayetteville, NC"
181,Hoke County,NC,202208,1500.59,-0.0124,,"Fayetteville, NC"
181,Hoke County,NC,202209,1511.39,0.0072,,"Fayetteville, NC"
181,Hoke County,NC,202210,1531.61,0.0134,,"Fayetteville, NC"
181,Hoke County,NC,202211,1521.59,-0.0065,,"Fayetteville, NC"
181,Hoke County,NC,202212,1510.54,-0.0073,0.0875,"Fayetteville, NC"
181,Hoke County,NC,202301,1518.15,0.005,0.0647,"Fayetteville, NC"
181,Hoke County,NC,202302,1533.62,0.0102,0.0719,"Fayetteville, NC"
181,Hoke County,NC,202303,1544.71,0.0072,0.0739,"Fayetteville, NC"
181,Hoke County,NC,202304,1550.03,0.0034,0.0664,"Fayetteville, NC"
181,Hoke County,NC,202305,1572.87,0.0147,0.0448,"Fayetteville, NC"
181,Hoke County,NC,202306,1567.6,-0.0034,0.0391,"Fayetteville, NC"
181,Hoke County,NC,202307,1578.74,0.0071,0.039,"Fayetteville, NC"
181,Hoke County,NC,202308,1581.14,0.0015,0.0537,"Fayetteville, NC"
181,Hoke County,NC,202309,1590.06,0.0056,0.0521,"Fayetteville, NC"
181,Hoke County,NC,202310,1580.6,-0.006,0.032,"Fayetteville, NC"
181,Hoke County,NC,202311,1551.17,-0.0186,0.0194,"Fayetteville, NC"
181,Hoke County,NC,202312,1545.21,-0.0038,0.023,"Fayetteville, NC"
181,Hoke County,NC,202401,1555.59,0.0067,0.0247,"Fayetteville, NC"
181,Hoke County,NC,202402,1572.33,0.0108,0.0252,"Fayetteville, NC"
181,Hoke County,NC,202403,1598.72,0.0168,0.035,"Fayetteville, NC"
181,Hoke County,NC,202404,1605.05,0.004,0.0355,"Fayetteville, NC"
181,Hoke County,NC,202405,1622.84,0.0111,0.0318,"Fayetteville, NC"
181,Hoke County,NC,202406,1634.98,0.0075,0.043,"Fayetteville, NC"
181,Hoke County,NC,202407,1652.09,0.0105,0.0465,"Fayetteville, NC"
181,Hoke County,NC,202408,1667.57,0.0094,0.0547,"Fayetteville, NC"
181,Hoke County,NC,202409,1670.01,0.0015,0.0503,"Fayetteville, NC"
181,Hoke County,NC,202410,1672.66,0.0016,0.0582,"Fayetteville, NC"
181,Hoke County,NC,202411,1661.92,-0.0064,0.0714,"Fayetteville, NC"
181,Hoke County,NC,202412,1658.09,-0.0023,0.0731,"Fayetteville, NC"
181,Hoke County,NC,202501,1657.36,-0.0004,0.0654,"Fayetteville, NC"
181,Hoke County,NC,202502,1673.78,0.0099,0.0645,"Fayetteville, NC"
181,Hoke County,NC,202503,1692.89,0.0114,0.0589,"Fayetteville, NC"
181,Hoke County,NC,202504,1698.42,0.0033,0.0582,"Fayetteville, NC"
181,Hoke County,NC,202505,1709.39,0.0065,0.0533,"Fayetteville, NC"
181,Hoke County,NC,202506,1708.74,-0.0004,0.0451,"Fayetteville, NC"
181,Hoke County,NC,202507,1717.94,0.0054,0.0399,"Fayetteville, NC"
181,Hoke County,NC,202508,1707.7,-0.006,0.0241,"Fayetteville, NC"
181,Hoke County,NC,202509,1709.05,0.0008,0.0234,"Fayetteville, NC"
181,Hoke County,NC,202510,1719.01,0.0058,0.0277,"Fayetteville, NC"
181,Hoke County,NC,202511,1741.51,0.0131,0.0479,"Fayetteville, NC"
181,Hoke County,NC,202512,1741.83,0.0002,0.0505,"Fayetteville, NC"
181,Hoke County,NC,202601,1730.57,-0.0065,0.0442,"Fayetteville, NC"
181,Hoke County,NC,202602,1725.85,-0.0027,0.0311,"Fayetteville, NC"
181,Hoke County,NC,202603,1731.17,0.0031,0.0226,"Fayetteville, NC"
181,Hoke County,NC,202604,1734.29,0.0018,0.0211,"Fayetteville, NC"
181,Hoke County,NC,202605,1733.16,-0.0007,0.0139,"Fayetteville, NC"
181,Hoke County,NC,202606,1742.28,0.0053,0.0196,"Fayetteville, NC"
181,Hoke County,NC,202607,1762.17,0.0114,0.0257,"Fayetteville, NC"
256,Nash County,NC,202202,1083.21,,,"Rocky Mount, NC"
256,Nash County,NC,202203,1088.4,0.0048,,"Rocky Mount, NC"
256,Nash County,NC,202204,1122.45,0.0313,,"Rocky Mount, NC"
256,Nash County,NC,202205,1112.03,-0.0093,,"Rocky Mount, NC"
256,Nash County,NC,202206,1143.06,0.0279,,"Rocky Mount, NC"
256,Nash County,NC,202207,1155.05,0.0105,,"Rocky Mount, NC"
256,Nash County,NC,202208,1190.43,0.0306,,"Rocky Mount, NC"
256,Nash County,NC,202209,1187.47,-0.0025,,"Rocky Mount, NC"
256,Nash County,NC,202211,1210.17,0.0191,,"Rocky Mount, NC"
256,Nash County,NC,202212,1233.52,0.0193,,"Rocky Mount, NC"
256,Nash County,NC,202301,1218.52,-0.0122,,"Rocky Mount, NC"
256,Nash County,NC,202302,1245.6,0.0222,,"Rocky Mount, NC"
256,Nash County,NC,202303,1242.56,-0.0024,0.1471,"Rocky Mount, NC"
256,Nash County,NC,202304,1265.06,0.0181,0.1623,"Rocky Mount, NC"
256,Nash County,NC,202305,1269.83,0.0038,0.1313,"Rocky Mount, NC"
256,Nash County,NC,202306,1279.92,0.0079,0.151,"Rocky Mount, NC"
256,Nash County,NC,202307,1266.81,-0.0102,0.1083,"Rocky Mount, NC"
256,Nash County,NC,202308,1268.47,0.0013,0.0982,"Rocky Mount, NC"
256,Nash County,NC,202309,1268.18,-0.0002,0.0653,"Rocky Mount, NC"
256,Nash County,NC,202310,1284.6,0.013,0.0818,"Rocky Mount, NC"
256,Nash County,NC,202311,1277.42,-0.0056,0.0556,"Rocky Mount, NC"
256,Nash County,NC,202312,1251.31,-0.0204,0.0144,"Rocky Mount, NC"
256,Nash County,NC,202401,1259.58,0.0066,0.0337,"Rocky Mount, NC"
256,Nash County,NC,202402,1285.09,0.0202,0.0317,"Rocky Mount, NC"
256,Nash County,NC,202403,1324.99,0.031,0.0663,"Rocky Mount, NC"
256,Nash County,NC,202404,1309.17,-0.0119,0.0349,"Rocky Mount, NC"
256,Nash County,NC,202405,1313.98,0.0037,0.0348,"Rocky Mount, NC"
256,Nash County,NC,202406,1323.16,0.007,0.0338,"Rocky Mount, NC"
256,Nash County,NC,202407,1353.13,0.0227,0.0681,"Rocky Mount, NC"
256,Nash County,NC,202408,1344.17,-0.0066,0.0597,"Rocky Mount, NC"
256,Nash County,NC,202409,1340.84,-0.0025,0.0573,"Rocky Mount, NC"
256,Nash County,NC,202410,1344.99,0.0031,0.047,"Rocky Mount, NC"
256,Nash County,NC,202411,1324.5,-0.0152,0.0369,"Rocky Mount, NC"
256,Nash County,NC,202412,1344.26,0.0149,0.0743,"Rocky Mount, NC"
256,Nash County,NC,202501,1347.68,0.0025,0.0699,"Rocky Mount, NC"
256,Nash County,NC,202502,1386.23,0.0286,0.0787,"Rocky Mount, NC"
256,Nash County,NC,202503,1375.95,-0.0074,0.0385,"Rocky Mount, NC"
256,Nash County,NC,202504,1396.03,0.0146,0.0663,"Rocky Mount, NC"
256,Nash County,NC,202505,1418.16,0.0158,0.0793,"Rocky Mount, NC"
256,Nash County,NC,202506,1440.0,0.0154,0.0883,"Rocky Mount, NC"
256,Nash County,NC,202507,1426.53,-0.0094,0.0542,"Rocky Mount, NC"
256,Nash County,NC,202508,1409.72,-0.0118,0.0488,"Rocky Mount, NC"
256,Nash County,NC,202509,1400.53,-0.0065,0.0445,"Rocky Mount, NC"
256,Nash County,NC,202510,1401.46,0.0007,0.042,"Rocky Mount, NC"
256,Nash County,NC,202511,1410.71,0.0066,0.0651,"Rocky Mount, NC"
256,Nash County,NC,202512,1410.13,-0.0004,0.049,"Rocky Mount, NC"
256,Nash County,NC,202601,1401.35,-0.0062,0.0398,"Rocky Mount, NC"
256,Nash County,NC,202602,1373.79,-0.0197,-0.009,"Rocky Mount, NC"
256,Nash County,NC,202603,1366.84,-0.0051,-0.0066,"Rocky Mount, NC"
256,Nash County,NC,202604,1368.19,0.001,-0.0199,"Rocky Mount, NC"
256,Nash County,NC,202605,1384.3,0.0118,-0.0239,"Rocky Mount, NC"
256,Nash County,NC,202606,1400.91,0.012,-0.0271,"Rocky Mount, NC"
256,Nash County,NC,202607,1425.74,0.0177,-0.0006,"Rocky Mount, NC"
