RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
113,Cass County,ND,201612,828.36,,,"Fargo, ND-MN"
113,Cass County,ND,201701,840.06,0.0141,,"Fargo, ND-MN"
113,Cass County,ND,201702,845.61,0.0066,,"Fargo, ND-MN"
113,Cass County,ND,201703,854.68,0.0107,,"Fargo, ND-MN"
113,Cass County,ND,201704,853.17,-0.0018,,"Fargo, ND-MN"
113,Cass County,ND,201705,848.21,-0.0058,,"Fargo, ND-MN"
113,Cass County,ND,201706,845.67,-0.003,,"Fargo, ND-MN"
113,Cass County,ND,201707,839.04,-0.0078,,"Fargo, ND-MN"
113,Cass County,ND,201708,838.25,-0.0009,,"Fargo, ND-MN"
113,Cass County,ND,201709,841.09,0.0034,,"Fargo, ND-MN"
113,Cass County,ND,201710,850.23,0.0109,,"Fargo, ND-MN"
113,Cass County,ND,201711,848.83,-0.0016,,"Fargo, ND-MN"
113,Cass County,ND,201712,835.71,-0.0155,0.0089,"Fargo, ND-MN"
113,Cass County,ND,201801,834.52,-0.0014,-0.0066,"Fargo, ND-MN"
113,Cass County,ND,201802,833.05,-0.0018,-0.0149,"Fargo, ND-MN"
113,Cass County,ND,201803,847.52,0.0174,-0.0084,"Fargo, ND-MN"
113,Cass County,ND,201804,847.0,-0.0006,-0.0072,"Fargo, ND-MN"
113,Cass County,ND,201805,858.42,0.0135,0.012,"Fargo, ND-MN"
113,Cass County,ND,201806,856.46,-0.0023,0.0128,"Fargo, ND-MN"
113,Cass County,ND,201807,854.5,-0.0023,0.0184,"Fargo, ND-MN"
113,Cass County,ND,201808,845.41,-0.0106,0.0085,"Fargo, ND-MN"
113,Cass County,ND,201809,847.45,0.0024,0.0076,"Fargo, ND-MN"
113,Cass County,ND,201810,842.31,-0.0061,-0.0093,"Fargo, ND-MN"
113,Cass County,ND,201811,837.71,-0.0055,-0.0131,"Fargo, ND-MN"
113,Cass County,ND,201812,834.42,-0.0039,-0.0015,"Fargo, ND-MN"
113,Cass County,ND,201901,838.53,0.0049,0.0048,"Fargo, ND-MN"
113,Cass County,ND,201902,846.41,0.0094,0.016,"Fargo, ND-MN"
113,Cass County,ND,201903,851.93,0.0065,0.0052,"Fargo, ND-MN"
113,Cass County,ND,201904,862.53,0.0124,0.0183,"Fargo, ND-MN"
113,Cass County,ND,201905,866.19,0.0042,0.0091,"Fargo, ND-MN"
113,Cass County,ND,201906,864.57,-0.0019,0.0095,"Fargo, ND-MN"
113,Cass County,ND,201907,863.8,-0.0009,0.0109,"Fargo, ND-MN"
113,Cass County,ND,201908,862.6,-0.0014,0.0203,"Fargo, ND-MN"
113,Cass County,ND,201909,867.36,0.0055,0.0235,"Fargo, ND-MN"
113,Cass County,ND,201910,859.86,-0.0087,0.0208,"Fargo, ND-MN"
113,Cass County,ND,201911,863.74,0.0045,0.0311,"Fargo, ND-MN"
113,Cass County,ND,201912,869.95,0.0072,0.0426,"Fargo, ND-MN"
113,Cass County,ND,202001,874.9,0.0057,0.0434,"Fargo, ND-MN"
113,Cass County,ND,202002,878.7,0.0043,0.0382,"Fargo, ND-MN"
113,Cass County,ND,202003,878.56,-0.0002,0.0313,"Fargo, ND-MN"
113,Cass County,ND,202004,881.21,0.003,0.0217,"Fargo, ND-MN"
113,Cass County,ND,202005,883.73,0.0029,0.0203,"Fargo, ND-MN"
113,Cass County,ND,202006,881.38,-0.0027,0.0194,"Fargo, ND-MN"
113,Cass County,ND,202007,882.98,0.0018,0.0222,"Fargo, ND-MN"
113,Cass County,ND,202008,880.4,-0.0029,0.0206,"Fargo, ND-MN"
113,Cass County,ND,202009,888.38,0.0091,0.0242,"Fargo, ND-MN"
113,Cass County,ND,202010,892.11,0.0042,0.0375,"Fargo, ND-MN"
113,Cass County,ND,202011,888.01,-0.0046,0.0281,"Fargo, ND-MN"
113,Cass County,ND,202012,882.32,-0.0064,0.0142,"Fargo, ND-MN"
113,Cass County,ND,202101,888.49,0.007,0.0155,"Fargo, ND-MN"
113,Cass County,ND,202102,896.74,0.0093,0.0205,"Fargo, ND-MN"
113,Cass County,ND,202103,899.92,0.0035,0.0243,"Fargo, ND-MN"
113,Cass County,ND,202104,901.98,0.0023,0.0236,"Fargo, ND-MN"
113,Cass County,ND,202105,910.04,0.0089,0.0298,"Fargo, ND-MN"
113,Cass County,ND,202106,918.33,0.0091,0.0419,"Fargo, ND-MN"
113,Cass County,ND,202107,914.76,-0.0039,0.036,"Fargo, ND-MN"
113,Cass County,ND,202108,913.87,-0.001,0.038,"Fargo, ND-MN"
113,Cass County,ND,202109,917.53,0.004,0.0328,"Fargo, ND-MN"
113,Cass County,ND,202110,931.88,0.0156,0.0446,"Fargo, ND-MN"
113,Cass County,ND,202111,939.08,0.0077,0.0575,"Fargo, ND-MN"
113,Cass County,ND,202112,934.06,-0.0053,0.0586,"Fargo, ND-MN"
113,Cass County,ND,202201,928.33,-0.0061,0.0448,"Fargo, ND-MN"
113,Cass County,ND,202202,928.74,0.0004,0.0357,"Fargo, ND-MN"
113,Cass County,ND,202203,944.52,0.017,0.0496,"Fargo, ND-MN"
113,Cass County,ND,202204,958.31,0.0146,0.0624,"Fargo, ND-MN"
113,Cass County,ND,202205,973.24,0.0156,0.0694,"Fargo, ND-MN"
113,Cass County,ND,202206,974.2,0.001,0.0608,"Fargo, ND-MN"
113,Cass County,ND,202207,976.74,0.0026,0.0677,"Fargo, ND-MN"
113,Cass County,ND,202208,978.21,0.0015,0.0704,"Fargo, ND-MN"
113,Cass County,ND,202209,983.65,0.0056,0.0721,"Fargo, ND-MN"
113,Cass County,ND,202210,982.46,-0.0012,0.0543,"Fargo, ND-MN"
113,Cass County,ND,202211,987.74,0.0054,0.0518,"Fargo, ND-MN"
113,Cass County,ND,202212,994.36,0.0067,0.0646,"Fargo, ND-MN"
113,Cass County,ND,202301,1000.71,0.0064,0.078,"Fargo, ND-MN"
113,Cass County,ND,202302,1003.56,0.0028,0.0806,"Fargo, ND-MN"
113,Cass County,ND,202303,1003.66,0.0001,0.0626,"Fargo, ND-MN"
113,Cass County,ND,202304,1008.7,0.005,0.0526,"Fargo, ND-MN"
113,Cass County,ND,202305,1011.46,0.0027,0.0393,"Fargo, ND-MN"
113,Cass County,ND,202306,1018.64,0.0071,0.0456,"Fargo, ND-MN"
113,Cass County,ND,202307,1025.23,0.0065,0.0497,"Fargo, ND-MN"
113,Cass County,ND,202308,1033.6,0.0082,0.0566,"Fargo, ND-MN"
113,Cass County,ND,202309,1040.38,0.0066,0.0577,"Fargo, ND-MN"
113,Cass County,ND,202310,1045.57,0.005,0.0642,"Fargo, ND-MN"
113,Cass County,ND,202311,1051.9,0.006,0.065,"Fargo, ND-MN"
113,Cass County,ND,202312,1056.34,0.0042,0.0623,"Fargo, ND-MN"
113,Cass County,ND,202401,1060.76,0.0042,0.06,"Fargo, ND-MN"
113,Cass County,ND,202402,1059.6,-0.0011,0.0558,"Fargo, ND-MN"
113,Cass County,ND,202403,1066.07,0.0061,0.0622,"Fargo, ND-MN"
113,Cass County,ND,202404,1068.46,0.0022,0.0592,"Fargo, ND-MN"
113,Cass County,ND,202405,1076.05,0.0071,0.0639,"Fargo, ND-MN"
