RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
141,Coos County,NH,202606,1280.0,,,"Berlin, NH"
1539,Belknap County,NH,202303,1564.87,,,"Laconia, NH"
1539,Belknap County,NH,202304,1630.42,0.0419,,"Laconia, NH"
1539,Belknap County,NH,202305,1648.51,0.0111,,"Laconia, NH"
1539,Belknap County,NH,202306,1646.17,-0.0014,,"Laconia, NH"
1539,Belknap County,NH,202307,1672.9,0.0162,,"Laconia, NH"
1539,Belknap County,NH,202308,1688.02,0.009,,"Laconia, NH"
1539,Belknap County,NH,202309,1689.81,0.0011,,"Laconia, NH"
1539,Belknap County,NH,202310,1651.08,-0.0229,,"Laconia, NH"
1539,Belknap County,NH,202311,1651.02,-0.0,,"Laconia, NH"
1539,Belknap County,NH,202312,1673.15,0.0134,,"Laconia, NH"
1539,Belknap County,NH,202401,1689.16,0.0096,,"Laconia, NH"
1539,Belknap County,NH,202402,1754.34,0.0386,,"Laconia, NH"
1539,Belknap County,NH,202403,1780.37,0.0148,0.1377,"Laconia, NH"
1539,Belknap County,NH,202404,1811.5,0.0175,0.1111,"Laconia, NH"
1539,Belknap County,NH,202405,1788.81,-0.0125,0.0851,"Laconia, NH"
1539,Belknap County,NH,202406,1818.74,0.0167,0.1048,"Laconia, NH"
1539,Belknap County,NH,202407,1836.89,0.01,0.098,"Laconia, NH"
1539,Belknap County,NH,202408,1855.44,0.0101,0.0992,"Laconia, NH"
1539,Belknap County,NH,202409,1821.75,-0.0182,0.0781,"Laconia, NH"
1539,Belknap County,NH,202410,1779.74,-0.0231,0.0779,"Laconia, NH"
1539,Belknap County,NH,202411,1762.37,-0.0098,0.0674,"Laconia, NH"
1539,Belknap County,NH,202412,1778.74,0.0093,0.0631,"Laconia, NH"
1539,Belknap County,NH,202501,1799.39,0.0116,0.0653,"Laconia, NH"
1539,Belknap County,NH,202502,1817.03,0.0098,0.0357,"Laconia, NH"
1539,Belknap County,NH,202503,1841.87,0.0137,0.0345,"Laconia, NH"
1539,Belknap County,NH,202504,1875.93,0.0185,0.0356,"Laconia, NH"
1539,Belknap County,NH,202505,1876.11,0.0001,0.0488,"Laconia, NH"
1539,Belknap County,NH,202506,1813.37,-0.0334,-0.0029,"Laconia, NH"
1539,Belknap County,NH,202507,1818.66,0.0029,-0.0099,"Laconia, NH"
1539,Belknap County,NH,202508,1844.6,0.0143,-0.0058,"Laconia, NH"
1539,Belknap County,NH,202509,1903.13,0.0317,0.0447,"Laconia, NH"
1539,Belknap County,NH,202510,1853.55,-0.0261,0.0415,"Laconia, NH"
1539,Belknap County,NH,202511,1843.87,-0.0052,0.0462,"Laconia, NH"
1539,Belknap County,NH,202512,1851.63,0.0042,0.041,"Laconia, NH"
1539,Belknap County,NH,202601,1936.87,0.046,0.0764,"Laconia, NH"
1539,Belknap County,NH,202602,1965.21,0.0146,0.0816,"Laconia, NH"
1539,Belknap County,NH,202603,1967.11,0.001,0.068,"Laconia, NH"
1539,Belknap County,NH,202604,1935.14,-0.0163,0.0316,"Laconia, NH"
1539,Belknap County,NH,202605,1983.45,0.025,0.0572,"Laconia, NH"
1539,Belknap County,NH,202606,2003.02,0.0099,0.1046,"Laconia, NH"
1729,Grafton County,NH,202301,1867.6,,,"Lebanon, NH-VT"
1729,Grafton County,NH,202302,1870.88,0.0018,,"Lebanon, NH-VT"
1729,Grafton County,NH,202303,1900.65,0.0159,,"Lebanon, NH-VT"
1729,Grafton County,NH,202304,1909.02,0.0044,,"Lebanon, NH-VT"
1729,Grafton County,NH,202305,1903.95,-0.0027,,"Lebanon, NH-VT"
1729,Grafton County,NH,202306,1901.57,-0.0013,,"Lebanon, NH-VT"
1729,Grafton County,NH,202307,1925.25,0.0125,,"Lebanon, NH-VT"
1729,Grafton County,NH,202308,2010.7,0.0444,,"Lebanon, NH-VT"
1729,Grafton County,NH,202309,2025.74,0.0075,,"Lebanon, NH-VT"
1729,Grafton County,NH,202310,2042.93,0.0085,,"Lebanon, NH-VT"
1729,Grafton County,NH,202311,1984.59,-0.0286,,"Lebanon, NH-VT"
1729,Grafton County,NH,202312,1985.14,0.0003,,"Lebanon, NH-VT"
1729,Grafton County,NH,202401,1970.33,-0.0075,0.055,"Lebanon, NH-VT"
1729,Grafton County,NH,202402,1992.98,0.0115,0.0653,"Lebanon, NH-VT"
1729,Grafton County,NH,202403,2007.69,0.0074,0.0563,"Lebanon, NH-VT"
1729,Grafton County,NH,202404,2029.6,0.0109,0.0632,"Lebanon, NH-VT"
1729,Grafton County,NH,202405,2037.51,0.0039,0.0701,"Lebanon, NH-VT"
1729,Grafton County,NH,202406,2058.06,0.0101,0.0823,"Lebanon, NH-VT"
1729,Grafton County,NH,202407,2062.0,0.0019,0.071,"Lebanon, NH-VT"
1729,Grafton County,NH,202408,2062.11,0.0001,0.0256,"Lebanon, NH-VT"
1729,Grafton County,NH,202409,1982.37,-0.0387,-0.0214,"Lebanon, NH-VT"
1729,Grafton County,NH,202410,1997.44,0.0076,-0.0223,"Lebanon, NH-VT"
1729,Grafton County,NH,202411,2031.82,0.0172,0.0238,"Lebanon, NH-VT"
1729,Grafton County,NH,202412,2121.36,0.0441,0.0686,"Lebanon, NH-VT"
1729,Grafton County,NH,202501,2094.65,-0.0126,0.0631,"Lebanon, NH-VT"
1729,Grafton County,NH,202502,2083.85,-0.0052,0.0456,"Lebanon, NH-VT"
1729,Grafton County,NH,202503,2095.03,0.0054,0.0435,"Lebanon, NH-VT"
1729,Grafton County,NH,202504,2166.75,0.0342,0.0676,"Lebanon, NH-VT"
1729,Grafton County,NH,202505,2167.82,0.0005,0.064,"Lebanon, NH-VT"
1729,Grafton County,NH,202506,2182.64,0.0068,0.0605,"Lebanon, NH-VT"
1729,Grafton County,NH,202507,2171.04,-0.0053,0.0529,"Lebanon, NH-VT"
1729,Grafton County,NH,202508,2139.84,-0.0144,0.0377,"Lebanon, NH-VT"
1729,Grafton County,NH,202509,2138.91,-0.0004,0.079,"Lebanon, NH-VT"
1729,Grafton County,NH,202510,2144.45,0.0026,0.0736,"Lebanon, NH-VT"
1729,Grafton County,NH,202511,2232.01,0.0408,0.0985,"Lebanon, NH-VT"
1729,Grafton County,NH,202512,2171.58,-0.0271,0.0237,"Lebanon, NH-VT"
1729,Grafton County,NH,202601,2210.76,0.018,0.0554,"Lebanon, NH-VT"
1729,Grafton County,NH,202602,2165.1,-0.0207,0.039,"Lebanon, NH-VT"
1729,Grafton County,NH,202603,2298.12,0.0614,0.0969,"Lebanon, NH-VT"
1729,Grafton County,NH,202604,2312.24,0.0061,0.0671,"Lebanon, NH-VT"
1729,Grafton County,NH,202605,2367.36,0.0238,0.092,"Lebanon, NH-VT"
1729,Grafton County,NH,202606,2351.71,-0.0066,0.0775,"Lebanon, NH-VT"
2195,Cheshire County,NH,202201,1380.17,,,"Keene, NH"
2195,Cheshire County,NH,202202,1377.9,-0.0016,,"Keene, NH"
2195,Cheshire County,NH,202203,1361.04,-0.0122,,"Keene, NH"
2195,Cheshire County,NH,202204,1396.3,0.0259,,"Keene, NH"
2195,Cheshire County,NH,202205,1420.95,0.0177,,"Keene, NH"
2195,Cheshire County,NH,202206,1444.68,0.0167,,"Keene, NH"
2195,Cheshire County,NH,202207,1430.15,-0.0101,,"Keene, NH"
2195,Cheshire County,NH,202208,1428.42,-0.0012,,"Keene, NH"
2195,Cheshire County,NH,202209,1440.89,0.0087,,"Keene, NH"
2195,Cheshire County,NH,202210,1453.79,0.009,,"Keene, NH"
2195,Cheshire County,NH,202211,1445.54,-0.0057,,"Keene, NH"
2195,Cheshire County,NH,202212,1439.99,-0.0038,,"Keene, NH"
2195,Cheshire County,NH,202301,1455.97,0.0111,0.0549,"Keene, NH"
