RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
77,Lea County,NM,202304,1126.73,,,"Hobbs, NM"
77,Lea County,NM,202305,1123.33,-0.003,,"Hobbs, NM"
77,Lea County,NM,202306,1121.33,-0.0018,,"Hobbs, NM"
77,Lea County,NM,202307,1110.64,-0.0095,,"Hobbs, NM"
77,Lea County,NM,202308,1119.88,0.0083,,"Hobbs, NM"
77,Lea County,NM,202309,1132.4,0.0112,,"Hobbs, NM"
77,Lea County,NM,202310,1141.57,0.0081,,"Hobbs, NM"
77,Lea County,NM,202311,1141.63,0.0,,"Hobbs, NM"
77,Lea County,NM,202312,1161.45,0.0174,,"Hobbs, NM"
77,Lea County,NM,202401,1152.02,-0.0081,,"Hobbs, NM"
77,Lea County,NM,202402,1159.8,0.0068,,"Hobbs, NM"
77,Lea County,NM,202403,1137.29,-0.0194,,"Hobbs, NM"
77,Lea County,NM,202404,1174.45,0.0327,0.0424,"Hobbs, NM"
77,Lea County,NM,202405,1180.2,0.0049,0.0506,"Hobbs, NM"
77,Lea County,NM,202406,1183.65,0.0029,0.0556,"Hobbs, NM"
77,Lea County,NM,202407,1157.24,-0.0223,0.042,"Hobbs, NM"
77,Lea County,NM,202408,1154.21,-0.0026,0.0307,"Hobbs, NM"
77,Lea County,NM,202409,1166.79,0.0109,0.0304,"Hobbs, NM"
77,Lea County,NM,202410,1194.03,0.0233,0.0459,"Hobbs, NM"
77,Lea County,NM,202411,1220.69,0.0223,0.0693,"Hobbs, NM"
77,Lea County,NM,202412,1236.7,0.0131,0.0648,"Hobbs, NM"
77,Lea County,NM,202501,1234.39,-0.0019,0.0715,"Hobbs, NM"
77,Lea County,NM,202502,1239.3,0.004,0.0685,"Hobbs, NM"
77,Lea County,NM,202503,1210.82,-0.023,0.0647,"Hobbs, NM"
77,Lea County,NM,202504,1239.93,0.024,0.0558,"Hobbs, NM"
77,Lea County,NM,202505,1249.8,0.008,0.059,"Hobbs, NM"
77,Lea County,NM,202506,1275.2,0.0203,0.0773,"Hobbs, NM"
77,Lea County,NM,202507,1260.77,-0.0113,0.0895,"Hobbs, NM"
77,Lea County,NM,202508,1273.52,0.0101,0.1034,"Hobbs, NM"
77,Lea County,NM,202509,1266.29,-0.0057,0.0853,"Hobbs, NM"
77,Lea County,NM,202510,1277.92,0.0092,0.0703,"Hobbs, NM"
77,Lea County,NM,202511,1295.71,0.0139,0.0615,"Hobbs, NM"
77,Lea County,NM,202512,1332.42,0.0283,0.0774,"Hobbs, NM"
77,Lea County,NM,202601,1336.81,0.0033,0.083,"Hobbs, NM"
77,Lea County,NM,202602,1297.62,-0.0293,0.0471,"Hobbs, NM"
77,Lea County,NM,202603,1303.2,0.0043,0.0763,"Hobbs, NM"
77,Lea County,NM,202604,1299.49,-0.0029,0.048,"Hobbs, NM"
77,Lea County,NM,202605,1324.52,0.0193,0.0598,"Hobbs, NM"
77,Lea County,NM,202606,1311.89,-0.0095,0.0288,"Hobbs, NM"
77,Lea County,NM,202607,1337.01,0.0191,0.0605,"Hobbs, NM"
77,Lea County,NM,202608,1362.27,0.0189,0.0697,"Hobbs, NM"
155,Eddy County,NM,202402,1516.36,,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202403,1515.13,-0.0008,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202404,1552.19,0.0245,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202405,1579.81,0.0178,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202406,1579.25,-0.0004,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202407,1593.84,0.0092,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202408,1593.39,-0.0003,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202409,1574.5,-0.0119,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202410,1528.51,-0.0292,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202411,1544.63,0.0105,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202412,1575.0,0.0197,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202501,1581.92,0.0044,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202502,1543.24,-0.0245,0.0177,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202503,1523.58,-0.0127,0.0056,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202504,1545.09,0.0141,-0.0046,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202505,1558.09,0.0084,-0.0137,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202506,1563.27,0.0033,-0.0101,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202507,1528.63,-0.0222,-0.0409,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202508,1540.02,0.0075,-0.0335,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202510,1561.65,0.014,-0.0082,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202511,1616.66,0.0352,0.0577,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202512,1654.04,0.0231,0.0708,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202601,1665.3,0.0068,0.0573,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202602,1611.8,-0.0321,0.0189,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202603,1614.0,0.0014,0.0459,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202604,1640.48,0.0164,0.0767,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202605,1674.76,0.0209,0.0839,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202606,1668.56,-0.0037,0.0709,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202607,1688.35,0.0119,0.08,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202608,1684.77,-0.0021,0.1021,"Carlsbad-Artesia, NM"
316,Taos County,NM,202601,2017.46,,,"Taos, NM"
316,Taos County,NM,202602,2013.18,-0.0021,,"Taos, NM"
316,Taos County,NM,202603,1980.92,-0.016,,"Taos, NM"
316,Taos County,NM,202604,1999.06,0.0092,,"Taos, NM"
316,Taos County,NM,202605,2066.67,0.0338,,"Taos, NM"
316,Taos County,NM,202606,2004.96,-0.0299,,"Taos, NM"
316,Taos County,NM,202607,2042.22,0.0186,,"Taos, NM"
316,Taos County,NM,202608,1994.44,-0.0234,,"Taos, NM"
465,Curry County,NM,202201,1036.32,,,"Clovis, NM"
465,Curry County,NM,202202,1022.25,-0.0136,,"Clovis, NM"
465,Curry County,NM,202204,1032.62,0.0101,,"Clovis, NM"
465,Curry County,NM,202205,1032.06,-0.0005,,"Clovis, NM"
465,Curry County,NM,202206,1039.06,0.0068,,"Clovis, NM"
465,Curry County,NM,202207,1048.57,0.0092,,"Clovis, NM"
465,Curry County,NM,202208,1052.16,0.0034,,"Clovis, NM"
465,Curry County,NM,202209,1045.79,-0.0061,,"Clovis, NM"
465,Curry County,NM,202210,1051.08,0.0051,,"Clovis, NM"
465,Curry County,NM,202211,1066.23,0.0144,,"Clovis, NM"
465,Curry County,NM,202212,1092.12,0.0243,,"Clovis, NM"
465,Curry County,NM,202301,1086.16,-0.0055,,"Clovis, NM"
465,Curry County,NM,202302,1096.4,0.0094,0.058,"Clovis, NM"
465,Curry County,NM,202303,1097.72,0.0012,0.0738,"Clovis, NM"
465,Curry County,NM,202304,1116.57,0.0172,0.0813,"Clovis, NM"
465,Curry County,NM,202305,1110.88,-0.0051,0.0764,"Clovis, NM"
465,Curry County,NM,202306,1100.04,-0.0098,0.0587,"Clovis, NM"
465,Curry County,NM,202307,1095.14,-0.0044,0.0444,"Clovis, NM"
465,Curry County,NM,202308,1100.25,0.0047,0.0457,"Clovis, NM"
465,Curry County,NM,202309,1111.65,0.0104,0.063,"Clovis, NM"
465,Curry County,NM,202310,1123.29,0.0105,0.0687,"Clovis, NM"
465,Curry County,NM,202311,1135.09,0.0105,0.0646,"Clovis, NM"
465,Curry County,NM,202312,1138.02,0.0026,0.042,"Clovis, NM"
465,Curry County,NM,202401,1138.04,0.0,0.0478,"Clovis, NM"
465,Curry County,NM,202402,1139.86,0.0016,0.0396,"Clovis, NM"
465,Curry County,NM,202403,1145.53,0.005,0.0435,"Clovis, NM"
465,Curry County,NM,202404,1153.6,0.0071,0.0332,"Clovis, NM"
465,Curry County,NM,202405,1150.49,-0.0027,0.0357,"Clovis, NM"
465,Curry County,NM,202406,1159.5,0.0078,0.0541,"Clovis, NM"
465,Curry County,NM,202407,1160.28,0.0007,0.0595,"Clovis, NM"
465,Curry County,NM,202408,1164.65,0.0038,0.0585,"Clovis, NM"
465,Curry County,NM,202409,1157.28,-0.0063,0.041,"Clovis, NM"
465,Curry County,NM,202410,1163.38,0.0053,0.0357,"Clovis, NM"
465,Curry County,NM,202411,1161.42,-0.0017,0.0232,"Clovis, NM"
465,Curry County,NM,202412,1163.03,0.0014,0.022,"Clovis, NM"
465,Curry County,NM,202501,1162.44,-0.0005,0.0214,"Clovis, NM"
465,Curry County,NM,202502,1168.16,0.0049,0.0248,"Clovis, NM"
465,Curry County,NM,202503,1175.32,0.0061,0.026,"Clovis, NM"
465,Curry County,NM,202504,1181.4,0.0052,0.0241,"Clovis, NM"
465,Curry County,NM,202505,1187.18,0.0049,0.0319,"Clovis, NM"
465,Curry County,NM,202506,1188.38,0.001,0.0249,"Clovis, NM"
465,Curry County,NM,202507,1184.63,-0.0032,0.021,"Clovis, NM"
465,Curry County,NM,202508,1201.32,0.0141,0.0315,"Clovis, NM"
465,Curry County,NM,202509,1214.07,0.0106,0.0491,"Clovis, NM"
465,Curry County,NM,202510,1229.68,0.0129,0.057,"Clovis, NM"
465,Curry County,NM,202511,1232.46,0.0023,0.0612,"Clovis, NM"
465,Curry County,NM,202512,1222.68,-0.0079,0.0513,"Clovis, NM"
465,Curry County,NM,202601,1222.39,-0.0002,0.0516,"Clovis, NM"
465,Curry County,NM,202602,1216.94,-0.0045,0.0418,"Clovis, NM"
465,Curry County,NM,202603,1241.24,0.02,0.0561,"Clovis, NM"
465,Curry County,NM,202604,1259.3,0.0146,0.0659,"Clovis, NM"
465,Curry County,NM,202605,1261.72,0.0019,0.0628,"Clovis, NM"
465,Curry County,NM,202606,1250.29,-0.0091,0.0521,"Clovis, NM"
465,Curry County,NM,202607,1247.8,-0.002,0.0533,"Clovis, NM"
465,Curry County,NM,202608,1269.84,0.0177,0.057,"Clovis, NM"
538,Grant County,NM,202606,1326.79,,,"Silver City, NM"
538,Grant County,NM,202607,1367.1,0.0304,,"Silver City, NM"
538,Grant County,NM,202608,1329.17,-0.0277,,"Silver City, NM"
664,Otero County,NM,202205,1289.64,,,"Alamogordo, NM"
664,Otero County,NM,202206,1287.66,-0.0015,,"Alamogordo, NM"
664,Otero County,NM,202207,1276.84,-0.0084,,"Alamogordo, NM"
664,Otero County,NM,202208,1264.99,-0.0093,,"Alamogordo, NM"
664,Otero County,NM,202209,1284.45,0.0154,,"Alamogordo, NM"
664,Otero County,NM,202210,1286.74,0.0018,,"Alamogordo, NM"
664,Otero County,NM,202211,1297.19,0.0081,,"Alamogordo, NM"
664,Otero County,NM,202212,1313.19,0.0123,,"Alamogordo, NM"
664,Otero County,NM,202301,1306.45,-0.0051,,"Alamogordo, NM"
664,Otero County,NM,202302,1322.86,0.0126,,"Alamogordo, NM"
664,Otero County,NM,202303,1300.88,-0.0166,,"Alamogordo, NM"
664,Otero County,NM,202304,1300.67,-0.0002,,"Alamogordo, NM"
664,Otero County,NM,202305,1284.73,-0.0123,-0.0038,"Alamogordo, NM"
664,Otero County,NM,202306,1304.55,0.0154,0.0131,"Alamogordo, NM"
664,Otero County,NM,202307,1314.21,0.0074,0.0293,"Alamogordo, NM"
664,Otero County,NM,202308,1330.5,0.0124,0.0518,"Alamogordo, NM"
664,Otero County,NM,202309,1322.37,-0.0061,0.0295,"Alamogordo, NM"
664,Otero County,NM,202310,1343.13,0.0157,0.0438,"Alamogordo, NM"
664,Otero County,NM,202311,1340.3,-0.0021,0.0332,"Alamogordo, NM"
664,Otero County,NM,202312,1355.17,0.0111,0.032,"Alamogordo, NM"
664,Otero County,NM,202401,1327.48,-0.0204,0.0161,"Alamogordo, NM"
664,Otero County,NM,202402,1315.96,-0.0087,-0.0052,"Alamogordo, NM"
664,Otero County,NM,202403,1315.55,-0.0003,0.0113,"Alamogordo, NM"
664,Otero County,NM,202404,1343.1,0.0209,0.0326,"Alamogordo, NM"
664,Otero County,NM,202405,1377.29,0.0255,0.072,"Alamogordo, NM"
664,Otero County,NM,202406,1381.66,0.0032,0.0591,"Alamogordo, NM"
664,Otero County,NM,202407,1391.42,0.0071,0.0587,"Alamogordo, NM"
664,Otero County,NM,202408,1397.65,0.0045,0.0505,"Alamogordo, NM"
