RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
90,Nye County,NV,202212,1280.85,,,"Pahrump, NV"
90,Nye County,NV,202301,1245.39,-0.0277,,"Pahrump, NV"
90,Nye County,NV,202302,1245.37,-0.0,,"Pahrump, NV"
90,Nye County,NV,202303,1240.75,-0.0037,,"Pahrump, NV"
90,Nye County,NV,202304,1239.21,-0.0012,,"Pahrump, NV"
90,Nye County,NV,202305,1250.0,0.0087,,"Pahrump, NV"
90,Nye County,NV,202306,1252.66,0.0021,,"Pahrump, NV"
90,Nye County,NV,202307,1279.2,0.0212,,"Pahrump, NV"
90,Nye County,NV,202308,1272.44,-0.0053,,"Pahrump, NV"
90,Nye County,NV,202309,1262.06,-0.0082,,"Pahrump, NV"
90,Nye County,NV,202310,1251.74,-0.0082,,"Pahrump, NV"
90,Nye County,NV,202311,1261.67,0.0079,,"Pahrump, NV"
90,Nye County,NV,202312,1289.66,0.0222,0.0069,"Pahrump, NV"
90,Nye County,NV,202401,1279.03,-0.0082,0.027,"Pahrump, NV"
90,Nye County,NV,202402,1298.1,0.0149,0.0423,"Pahrump, NV"
90,Nye County,NV,202403,1302.13,0.0031,0.0495,"Pahrump, NV"
90,Nye County,NV,202404,1321.33,0.0147,0.0663,"Pahrump, NV"
90,Nye County,NV,202405,1319.28,-0.0015,0.0554,"Pahrump, NV"
90,Nye County,NV,202406,1334.14,0.0113,0.065,"Pahrump, NV"
90,Nye County,NV,202407,1345.35,0.0084,0.0517,"Pahrump, NV"
90,Nye County,NV,202408,1359.17,0.0103,0.0682,"Pahrump, NV"
90,Nye County,NV,202409,1354.2,-0.0037,0.073,"Pahrump, NV"
90,Nye County,NV,202410,1349.88,-0.0032,0.0784,"Pahrump, NV"
90,Nye County,NV,202411,1377.68,0.0206,0.0919,"Pahrump, NV"
90,Nye County,NV,202412,1388.9,0.0081,0.0769,"Pahrump, NV"
90,Nye County,NV,202501,1410.7,0.0157,0.1029,"Pahrump, NV"
90,Nye County,NV,202503,1378.34,-0.0229,0.0618,"Pahrump, NV"
90,Nye County,NV,202504,1372.41,-0.0043,0.054,"Pahrump, NV"
90,Nye County,NV,202505,1381.25,0.0064,0.0453,"Pahrump, NV"
90,Nye County,NV,202506,1379.66,-0.0011,0.0458,"Pahrump, NV"
90,Nye County,NV,202507,1368.31,-0.0082,0.0256,"Pahrump, NV"
90,Nye County,NV,202508,1374.62,0.0046,0.0218,"Pahrump, NV"
90,Nye County,NV,202509,1370.81,-0.0028,0.0086,"Pahrump, NV"
90,Nye County,NV,202510,1381.66,0.0079,0.0203,"Pahrump, NV"
90,Nye County,NV,202511,1385.15,0.0025,0.0261,"Pahrump, NV"
90,Nye County,NV,202512,1393.43,0.006,0.0114,"Pahrump, NV"
90,Nye County,NV,202601,1396.33,0.0021,0.0053,"Pahrump, NV"
90,Nye County,NV,202602,1409.39,0.0094,-0.0009,"Pahrump, NV"
90,Nye County,NV,202603,1397.9,-0.0081,0.0142,"Pahrump, NV"
90,Nye County,NV,202604,1396.89,-0.0007,0.0178,"Pahrump, NV"
90,Nye County,NV,202605,1379.67,-0.0123,-0.0011,"Pahrump, NV"
90,Nye County,NV,202606,1388.05,0.0061,0.0061,"Pahrump, NV"
90,Nye County,NV,202607,1391.66,0.0026,0.0171,"Pahrump, NV"
156,Elko County,NV,202407,1432.52,,,"Elko, NV"
156,Elko County,NV,202408,1465.48,0.023,,"Elko, NV"
156,Elko County,NV,202409,1447.8,-0.0121,,"Elko, NV"
156,Elko County,NV,202410,1451.53,0.0026,,"Elko, NV"
156,Elko County,NV,202411,1448.85,-0.0018,,"Elko, NV"
156,Elko County,NV,202412,1456.99,0.0056,,"Elko, NV"
156,Elko County,NV,202501,1416.28,-0.0279,,"Elko, NV"
156,Elko County,NV,202502,1398.98,-0.0122,,"Elko, NV"
156,Elko County,NV,202503,1419.14,0.0144,,"Elko, NV"
156,Elko County,NV,202504,1457.73,0.0272,,"Elko, NV"
156,Elko County,NV,202505,1474.03,0.0112,,"Elko, NV"
156,Elko County,NV,202506,1441.6,-0.022,,"Elko, NV"
156,Elko County,NV,202507,1423.37,-0.0126,-0.0064,"Elko, NV"
156,Elko County,NV,202508,1428.9,0.0039,-0.025,"Elko, NV"
156,Elko County,NV,202509,1463.26,0.024,0.0107,"Elko, NV"
156,Elko County,NV,202510,1516.13,0.0361,0.0445,"Elko, NV"
156,Elko County,NV,202511,1504.31,-0.0078,0.0383,"Elko, NV"
156,Elko County,NV,202512,1496.75,-0.005,0.0273,"Elko, NV"
156,Elko County,NV,202601,1490.49,-0.0042,0.0524,"Elko, NV"
156,Elko County,NV,202602,1537.26,0.0314,0.0988,"Elko, NV"
156,Elko County,NV,202603,1546.82,0.0062,0.09,"Elko, NV"
156,Elko County,NV,202604,1531.92,-0.0096,0.0509,"Elko, NV"
156,Elko County,NV,202605,1527.76,-0.0027,0.0365,"Elko, NV"
156,Elko County,NV,202606,1544.05,0.0107,0.0711,"Elko, NV"
156,Elko County,NV,202607,1552.09,0.0052,0.0904,"Elko, NV"
249,Lyon County,NV,201704,1157.87,,,"Fernley, NV"
249,Lyon County,NV,201705,1181.83,0.0207,,"Fernley, NV"
249,Lyon County,NV,201706,1186.89,0.0043,,"Fernley, NV"
249,Lyon County,NV,201707,1200.77,0.0117,,"Fernley, NV"
249,Lyon County,NV,201708,1227.29,0.0221,,"Fernley, NV"
249,Lyon County,NV,201709,1262.23,0.0285,,"Fernley, NV"
249,Lyon County,NV,201710,1254.13,-0.0064,,"Fernley, NV"
249,Lyon County,NV,201711,1243.13,-0.0088,,"Fernley, NV"
249,Lyon County,NV,201712,1228.02,-0.0122,,"Fernley, NV"
249,Lyon County,NV,201801,1248.55,0.0167,,"Fernley, NV"
249,Lyon County,NV,201802,1269.94,0.0171,,"Fernley, NV"
249,Lyon County,NV,201803,1314.2,0.0349,,"Fernley, NV"
249,Lyon County,NV,201804,1328.57,0.0109,0.1474,"Fernley, NV"
249,Lyon County,NV,201805,1350.75,0.0167,0.1429,"Fernley, NV"
249,Lyon County,NV,201806,1356.8,0.0045,0.1432,"Fernley, NV"
249,Lyon County,NV,201807,1369.59,0.0094,0.1406,"Fernley, NV"
249,Lyon County,NV,201808,1363.72,-0.0043,0.1112,"Fernley, NV"
249,Lyon County,NV,201809,1352.64,-0.0081,0.0716,"Fernley, NV"
249,Lyon County,NV,201810,1346.94,-0.0042,0.074,"Fernley, NV"
249,Lyon County,NV,201811,1355.51,0.0064,0.0904,"Fernley, NV"
249,Lyon County,NV,201812,1365.43,0.0073,0.1119,"Fernley, NV"
249,Lyon County,NV,201901,1372.02,0.0048,0.0989,"Fernley, NV"
249,Lyon County,NV,201902,1362.64,-0.0068,0.073,"Fernley, NV"
249,Lyon County,NV,201903,1373.84,0.0082,0.0454,"Fernley, NV"
249,Lyon County,NV,201904,1386.7,0.0094,0.0438,"Fernley, NV"
249,Lyon County,NV,201905,1412.49,0.0186,0.0457,"Fernley, NV"
249,Lyon County,NV,201906,1409.51,-0.0021,0.0389,"Fernley, NV"
249,Lyon County,NV,201907,1415.38,0.0042,0.0334,"Fernley, NV"
249,Lyon County,NV,201908,1409.47,-0.0042,0.0335,"Fernley, NV"
249,Lyon County,NV,201909,1437.67,0.02,0.0629,"Fernley, NV"
249,Lyon County,NV,201910,1440.81,0.0022,0.0697,"Fernley, NV"
249,Lyon County,NV,201911,1466.92,0.0181,0.0822,"Fernley, NV"
249,Lyon County,NV,201912,1438.13,-0.0196,0.0532,"Fernley, NV"
249,Lyon County,NV,202001,1432.81,-0.0037,0.0443,"Fernley, NV"
249,Lyon County,NV,202002,1412.53,-0.0142,0.0366,"Fernley, NV"
249,Lyon County,NV,202003,1428.23,0.0111,0.0396,"Fernley, NV"
249,Lyon County,NV,202004,1429.21,0.0007,0.0307,"Fernley, NV"
249,Lyon County,NV,202005,1434.76,0.0039,0.0158,"Fernley, NV"
249,Lyon County,NV,202006,1457.51,0.0159,0.0341,"Fernley, NV"
249,Lyon County,NV,202007,1476.41,0.013,0.0431,"Fernley, NV"
249,Lyon County,NV,202008,1500.22,0.0161,0.0644,"Fernley, NV"
249,Lyon County,NV,202009,1526.61,0.0176,0.0619,"Fernley, NV"
249,Lyon County,NV,202010,1558.81,0.0211,0.0819,"Fernley, NV"
