RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
76,Kay County,OK,202503,747.72,,,"Ponca City, OK"
76,Kay County,OK,202504,760.8,0.0175,,"Ponca City, OK"
76,Kay County,OK,202505,755.2,-0.0074,,"Ponca City, OK"
76,Kay County,OK,202506,733.95,-0.0281,,"Ponca City, OK"
76,Kay County,OK,202507,739.86,0.008,,"Ponca City, OK"
76,Kay County,OK,202509,787.35,0.0642,,"Ponca City, OK"
76,Kay County,OK,202510,787.61,0.0003,,"Ponca City, OK"
76,Kay County,OK,202511,799.99,0.0157,,"Ponca City, OK"
76,Kay County,OK,202512,787.0,-0.0162,,"Ponca City, OK"
76,Kay County,OK,202601,808.44,0.0272,,"Ponca City, OK"
76,Kay County,OK,202602,795.33,-0.0162,,"Ponca City, OK"
76,Kay County,OK,202603,810.69,0.0193,,"Ponca City, OK"
76,Kay County,OK,202604,799.31,-0.014,0.069,"Ponca City, OK"
76,Kay County,OK,202605,803.71,0.0055,0.0564,"Ponca City, OK"
76,Kay County,OK,202606,800.83,-0.0036,0.0604,"Ponca City, OK"
413,Bryan County,OK,202404,1386.83,,,"Durant, OK"
413,Bryan County,OK,202405,1384.2,-0.0019,,"Durant, OK"
413,Bryan County,OK,202406,1352.32,-0.023,,"Durant, OK"
413,Bryan County,OK,202407,1341.56,-0.008,,"Durant, OK"
413,Bryan County,OK,202408,1330.86,-0.008,,"Durant, OK"
413,Bryan County,OK,202409,1363.52,0.0245,,"Durant, OK"
413,Bryan County,OK,202410,1374.64,0.0082,,"Durant, OK"
413,Bryan County,OK,202411,1385.87,0.0082,,"Durant, OK"
413,Bryan County,OK,202412,1398.81,0.0093,,"Durant, OK"
413,Bryan County,OK,202501,1400.06,0.0009,,"Durant, OK"
413,Bryan County,OK,202502,1421.44,0.0153,,"Durant, OK"
413,Bryan County,OK,202503,1424.14,0.0019,,"Durant, OK"
413,Bryan County,OK,202504,1442.1,0.0126,0.0399,"Durant, OK"
413,Bryan County,OK,202505,1417.04,-0.0174,0.0237,"Durant, OK"
413,Bryan County,OK,202506,1412.27,-0.0034,0.0443,"Durant, OK"
413,Bryan County,OK,202507,1386.76,-0.0181,0.0337,"Durant, OK"
413,Bryan County,OK,202508,1407.28,0.0148,0.0574,"Durant, OK"
413,Bryan County,OK,202509,1400.67,-0.0047,0.0272,"Durant, OK"
413,Bryan County,OK,202510,1391.14,-0.0068,0.012,"Durant, OK"
413,Bryan County,OK,202511,1398.21,0.0051,0.0089,"Durant, OK"
413,Bryan County,OK,202512,1417.55,0.0138,0.0134,"Durant, OK"
413,Bryan County,OK,202601,1459.46,0.0296,0.0424,"Durant, OK"
413,Bryan County,OK,202602,1445.85,-0.0093,0.0172,"Durant, OK"
413,Bryan County,OK,202603,1438.77,-0.0049,0.0103,"Durant, OK"
413,Bryan County,OK,202604,1470.18,0.0218,0.0195,"Durant, OK"
413,Bryan County,OK,202605,1481.53,0.0077,0.0455,"Durant, OK"
413,Bryan County,OK,202606,1479.0,-0.0017,0.0473,"Durant, OK"
460,Creek County,OK,202512,1274.87,,,"Tulsa, OK"
460,Creek County,OK,202601,1257.32,-0.0138,,"Tulsa, OK"
460,Creek County,OK,202602,1245.82,-0.0091,,"Tulsa, OK"
460,Creek County,OK,202603,1257.14,0.0091,,"Tulsa, OK"
460,Creek County,OK,202604,1272.85,0.0125,,"Tulsa, OK"
460,Creek County,OK,202605,1266.41,-0.0051,,"Tulsa, OK"
460,Creek County,OK,202606,1273.92,0.0059,,"Tulsa, OK"
527,Grady County,OK,202410,1238.43,,,"Oklahoma City, OK"
527,Grady County,OK,202411,1242.56,0.0033,,"Oklahoma City, OK"
527,Grady County,OK,202412,1268.32,0.0207,,"Oklahoma City, OK"
527,Grady County,OK,202501,1260.11,-0.0065,,"Oklahoma City, OK"
527,Grady County,OK,202502,1264.4,0.0034,,"Oklahoma City, OK"
527,Grady County,OK,202503,1267.88,0.0027,,"Oklahoma City, OK"
527,Grady County,OK,202504,1274.0,0.0048,,"Oklahoma City, OK"
527,Grady County,OK,202505,1292.1,0.0142,,"Oklahoma City, OK"
527,Grady County,OK,202506,1310.75,0.0144,,"Oklahoma City, OK"
527,Grady County,OK,202507,1309.12,-0.0012,,"Oklahoma City, OK"
527,Grady County,OK,202508,1333.16,0.0184,,"Oklahoma City, OK"
527,Grady County,OK,202509,1349.58,0.0123,,"Oklahoma City, OK"
527,Grady County,OK,202510,1354.33,0.0035,0.0936,"Oklahoma City, OK"
527,Grady County,OK,202512,1350.97,-0.0025,0.0872,"Oklahoma City, OK"
527,Grady County,OK,202601,1393.28,0.0313,0.0985,"Oklahoma City, OK"
527,Grady County,OK,202602,1369.2,-0.0173,0.0866,"Oklahoma City, OK"
527,Grady County,OK,202603,1373.3,0.003,0.0861,"Oklahoma City, OK"
527,Grady County,OK,202604,1345.24,-0.0204,0.061,"Oklahoma City, OK"
527,Grady County,OK,202605,1355.01,0.0073,0.0636,"Oklahoma City, OK"
527,Grady County,OK,202606,1360.57,0.0041,0.053,"Oklahoma City, OK"
612,Logan County,OK,202206,1181.04,,,"Oklahoma City, OK"
612,Logan County,OK,202207,1181.05,0.0,,"Oklahoma City, OK"
612,Logan County,OK,202208,1171.5,-0.0081,,"Oklahoma City, OK"
612,Logan County,OK,202209,1165.73,-0.0049,,"Oklahoma City, OK"
612,Logan County,OK,202210,1154.37,-0.0097,,"Oklahoma City, OK"
612,Logan County,OK,202211,1173.0,0.0161,,"Oklahoma City, OK"
612,Logan County,OK,202212,1186.91,0.0119,,"Oklahoma City, OK"
612,Logan County,OK,202301,1214.79,0.0235,,"Oklahoma City, OK"
612,Logan County,OK,202302,1229.56,0.0122,,"Oklahoma City, OK"
612,Logan County,OK,202303,1233.9,0.0035,,"Oklahoma City, OK"
612,Logan County,OK,202304,1234.4,0.0004,,"Oklahoma City, OK"
612,Logan County,OK,202305,1263.16,0.0233,,"Oklahoma City, OK"
612,Logan County,OK,202306,1272.33,0.0073,0.0773,"Oklahoma City, OK"
612,Logan County,OK,202307,1290.45,0.0142,0.0926,"Oklahoma City, OK"
612,Logan County,OK,202308,1273.67,-0.013,0.0872,"Oklahoma City, OK"
612,Logan County,OK,202309,1269.08,-0.0036,0.0887,"Oklahoma City, OK"
612,Logan County,OK,202310,1267.29,-0.0014,0.0978,"Oklahoma City, OK"
612,Logan County,OK,202311,1244.53,-0.018,0.061,"Oklahoma City, OK"
612,Logan County,OK,202312,1255.86,0.0091,0.0581,"Oklahoma City, OK"
612,Logan County,OK,202401,1265.09,0.0073,0.0414,"Oklahoma City, OK"
612,Logan County,OK,202402,1292.18,0.0214,0.0509,"Oklahoma City, OK"
612,Logan County,OK,202403,1299.36,0.0056,0.0531,"Oklahoma City, OK"
612,Logan County,OK,202404,1304.92,0.0043,0.0571,"Oklahoma City, OK"
612,Logan County,OK,202405,1315.6,0.0082,0.0415,"Oklahoma City, OK"
612,Logan County,OK,202406,1314.94,-0.0005,0.0335,"Oklahoma City, OK"
