RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
159,Erie County,PA,201605,692.37,,,"Erie, PA"
159,Erie County,PA,201606,694.68,0.0033,,"Erie, PA"
159,Erie County,PA,201607,685.82,-0.0127,,"Erie, PA"
159,Erie County,PA,201608,701.46,0.0228,,"Erie, PA"
159,Erie County,PA,201609,701.22,-0.0003,,"Erie, PA"
159,Erie County,PA,201611,704.22,0.0043,,"Erie, PA"
159,Erie County,PA,201612,698.9,-0.0076,,"Erie, PA"
159,Erie County,PA,201701,694.7,-0.006,,"Erie, PA"
159,Erie County,PA,201702,700.1,0.0078,,"Erie, PA"
159,Erie County,PA,201703,706.59,0.0093,,"Erie, PA"
159,Erie County,PA,201704,711.45,0.0069,,"Erie, PA"
159,Erie County,PA,201705,719.69,0.0116,,"Erie, PA"
159,Erie County,PA,201706,721.02,0.0019,0.0414,"Erie, PA"
159,Erie County,PA,201707,725.8,0.0066,0.0448,"Erie, PA"
159,Erie County,PA,201708,721.82,-0.0055,0.0525,"Erie, PA"
159,Erie County,PA,201709,720.05,-0.0024,0.0265,"Erie, PA"
159,Erie County,PA,201710,714.34,-0.0079,0.0187,"Erie, PA"
159,Erie County,PA,201711,705.98,-0.0117,0.0025,"Erie, PA"
159,Erie County,PA,201712,705.92,-0.0001,0.01,"Erie, PA"
159,Erie County,PA,201801,707.38,0.0021,0.0183,"Erie, PA"
159,Erie County,PA,201802,714.06,0.0094,0.0199,"Erie, PA"
159,Erie County,PA,201803,720.47,0.009,0.0196,"Erie, PA"
159,Erie County,PA,201804,730.22,0.0135,0.0264,"Erie, PA"
159,Erie County,PA,201805,735.11,0.0067,0.0214,"Erie, PA"
159,Erie County,PA,201806,733.12,-0.0027,0.0168,"Erie, PA"
159,Erie County,PA,201807,724.85,-0.0113,-0.0013,"Erie, PA"
159,Erie County,PA,201808,725.19,0.0005,0.0047,"Erie, PA"
159,Erie County,PA,201809,724.96,-0.0003,0.0068,"Erie, PA"
159,Erie County,PA,201810,734.31,0.0129,0.028,"Erie, PA"
159,Erie County,PA,201811,736.22,0.0026,0.0428,"Erie, PA"
159,Erie County,PA,201812,744.29,0.011,0.0544,"Erie, PA"
159,Erie County,PA,201901,744.24,-0.0001,0.0521,"Erie, PA"
159,Erie County,PA,201902,750.63,0.0086,0.0512,"Erie, PA"
159,Erie County,PA,201903,750.47,-0.0002,0.0416,"Erie, PA"
159,Erie County,PA,201904,748.29,-0.0029,0.0248,"Erie, PA"
159,Erie County,PA,201905,750.95,0.0036,0.0215,"Erie, PA"
159,Erie County,PA,201906,751.08,0.0002,0.0245,"Erie, PA"
159,Erie County,PA,201907,753.45,0.0032,0.0394,"Erie, PA"
159,Erie County,PA,201908,751.56,-0.0025,0.0364,"Erie, PA"
159,Erie County,PA,201909,752.12,0.0008,0.0375,"Erie, PA"
159,Erie County,PA,201910,752.63,0.0007,0.0249,"Erie, PA"
159,Erie County,PA,201911,754.56,0.0026,0.0249,"Erie, PA"
159,Erie County,PA,201912,755.29,0.001,0.0148,"Erie, PA"
159,Erie County,PA,202001,759.75,0.0059,0.0208,"Erie, PA"
159,Erie County,PA,202002,760.75,0.0013,0.0135,"Erie, PA"
159,Erie County,PA,202003,767.64,0.0091,0.0229,"Erie, PA"
159,Erie County,PA,202004,763.1,-0.0059,0.0198,"Erie, PA"
159,Erie County,PA,202005,764.06,0.0013,0.0175,"Erie, PA"
159,Erie County,PA,202006,759.79,-0.0056,0.0116,"Erie, PA"
159,Erie County,PA,202007,770.35,0.0139,0.0224,"Erie, PA"
159,Erie County,PA,202008,769.91,-0.0006,0.0244,"Erie, PA"
159,Erie County,PA,202009,785.28,0.02,0.0441,"Erie, PA"
159,Erie County,PA,202010,790.42,0.0065,0.0502,"Erie, PA"
159,Erie County,PA,202011,801.84,0.0144,0.0627,"Erie, PA"
159,Erie County,PA,202012,782.05,-0.0247,0.0354,"Erie, PA"
159,Erie County,PA,202101,781.64,-0.0005,0.0288,"Erie, PA"
159,Erie County,PA,202102,778.14,-0.0045,0.0229,"Erie, PA"
159,Erie County,PA,202103,793.29,0.0195,0.0334,"Erie, PA"
159,Erie County,PA,202104,794.93,0.0021,0.0417,"Erie, PA"
159,Erie County,PA,202105,803.28,0.0105,0.0513,"Erie, PA"
159,Erie County,PA,202106,812.9,0.012,0.0699,"Erie, PA"
159,Erie County,PA,202107,825.7,0.0157,0.0718,"Erie, PA"
159,Erie County,PA,202108,840.22,0.0176,0.0913,"Erie, PA"
159,Erie County,PA,202109,847.58,0.0088,0.0793,"Erie, PA"
159,Erie County,PA,202110,850.64,0.0036,0.0762,"Erie, PA"
159,Erie County,PA,202111,843.95,-0.0079,0.0525,"Erie, PA"
159,Erie County,PA,202112,845.3,0.0016,0.0809,"Erie, PA"
159,Erie County,PA,202201,852.03,0.008,0.0901,"Erie, PA"
159,Erie County,PA,202202,872.89,0.0245,0.1218,"Erie, PA"
