RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
344,York County,SC,201501,886.68,,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201502,888.62,0.0022,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201503,881.97,-0.0075,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201504,889.1,0.0081,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201505,900.88,0.0132,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201506,905.88,0.0055,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201507,915.49,0.0106,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201508,923.15,0.0084,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201509,922.98,-0.0002,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201510,916.76,-0.0067,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201511,901.23,-0.0169,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201512,902.47,0.0014,,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201601,920.82,0.0203,0.0385,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201602,939.66,0.0205,0.0574,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201603,954.21,0.0155,0.0819,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201604,950.27,-0.0041,0.0688,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201605,952.29,0.0021,0.0571,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201606,950.85,-0.0015,0.0496,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201607,955.69,0.0051,0.0439,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201608,958.04,0.0025,0.0378,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201609,975.33,0.018,0.0567,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201610,982.45,0.0073,0.0717,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201611,982.23,-0.0002,0.0899,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201612,976.06,-0.0063,0.0815,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201701,975.6,-0.0005,0.0595,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201702,990.92,0.0157,0.0545,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201703,999.68,0.0088,0.0477,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201704,1006.83,0.0072,0.0595,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201705,1006.12,-0.0007,0.0565,"Charlotte-Concord-Gastonia, NC-SC"
344,York County,SC,201706,1008.35,0.0022,0.0605,"Charlotte-Concord-Gastonia, NC-SC"
