RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
153,Dyer County,TN,202503,825.92,,,"Dyersburg, TN"
153,Dyer County,TN,202505,864.72,0.047,,"Dyersburg, TN"
153,Dyer County,TN,202506,846.92,-0.0206,,"Dyersburg, TN"
153,Dyer County,TN,202507,827.39,-0.0231,,"Dyersburg, TN"
153,Dyer County,TN,202508,836.63,0.0112,,"Dyersburg, TN"
153,Dyer County,TN,202510,906.55,0.0836,,"Dyersburg, TN"
153,Dyer County,TN,202511,910.38,0.0042,,"Dyersburg, TN"
153,Dyer County,TN,202512,889.63,-0.0228,,"Dyersburg, TN"
153,Dyer County,TN,202601,890.8,0.0013,,"Dyersburg, TN"
153,Dyer County,TN,202602,925.01,0.0384,,"Dyersburg, TN"
153,Dyer County,TN,202603,921.49,-0.0038,,"Dyersburg, TN"
153,Dyer County,TN,202604,902.33,-0.0208,,"Dyersburg, TN"
153,Dyer County,TN,202605,865.16,-0.0412,0.0475,"Dyersburg, TN"
153,Dyer County,TN,202606,885.1,0.0231,0.0236,"Dyersburg, TN"
153,Dyer County,TN,202607,948.87,0.072,0.1204,"Dyersburg, TN"
153,Dyer County,TN,202608,1000.0,0.0539,0.2086,"Dyersburg, TN"
215,Knox County,TN,201501,858.76,,,"Knoxville, TN"
215,Knox County,TN,201502,863.04,0.005,,"Knoxville, TN"
215,Knox County,TN,201503,868.53,0.0064,,"Knoxville, TN"
215,Knox County,TN,201504,873.0,0.0051,,"Knoxville, TN"
215,Knox County,TN,201505,873.85,0.001,,"Knoxville, TN"
215,Knox County,TN,201506,878.13,0.0049,,"Knoxville, TN"
215,Knox County,TN,201507,882.08,0.0045,,"Knoxville, TN"
215,Knox County,TN,201508,879.38,-0.0031,,"Knoxville, TN"
215,Knox County,TN,201509,873.4,-0.0068,,"Knoxville, TN"
215,Knox County,TN,201510,864.16,-0.0106,,"Knoxville, TN"
215,Knox County,TN,201511,869.6,0.0063,,"Knoxville, TN"
215,Knox County,TN,201512,873.5,0.0045,,"Knoxville, TN"
215,Knox County,TN,201601,889.2,0.018,0.0355,"Knoxville, TN"
215,Knox County,TN,201602,890.64,0.0016,0.032,"Knoxville, TN"
215,Knox County,TN,201603,889.32,-0.0015,0.0239,"Knoxville, TN"
215,Knox County,TN,201604,887.28,-0.0023,0.0164,"Knoxville, TN"
215,Knox County,TN,201605,899.36,0.0136,0.0292,"Knoxville, TN"
215,Knox County,TN,201606,907.43,0.009,0.0334,"Knoxville, TN"
215,Knox County,TN,201607,913.67,0.0069,0.0358,"Knoxville, TN"
215,Knox County,TN,201608,913.04,-0.0007,0.0383,"Knoxville, TN"
215,Knox County,TN,201609,916.42,0.0037,0.0493,"Knoxville, TN"
215,Knox County,TN,201610,907.88,-0.0093,0.0506,"Knoxville, TN"
215,Knox County,TN,201611,903.26,-0.0051,0.0387,"Knoxville, TN"
215,Knox County,TN,201612,901.17,-0.0023,0.0317,"Knoxville, TN"
215,Knox County,TN,201701,914.04,0.0143,0.0279,"Knoxville, TN"
215,Knox County,TN,201702,926.22,0.0133,0.04,"Knoxville, TN"
215,Knox County,TN,201703,937.05,0.0117,0.0537,"Knoxville, TN"
215,Knox County,TN,201704,942.98,0.0063,0.0628,"Knoxville, TN"
215,Knox County,TN,201705,946.81,0.0041,0.0528,"Knoxville, TN"
215,Knox County,TN,201706,954.19,0.0078,0.0515,"Knoxville, TN"
215,Knox County,TN,201707,958.97,0.005,0.0496,"Knoxville, TN"
215,Knox County,TN,201708,955.35,-0.0038,0.0463,"Knoxville, TN"
215,Knox County,TN,201709,954.3,-0.0011,0.0413,"Knoxville, TN"
215,Knox County,TN,201710,952.26,-0.0021,0.0489,"Knoxville, TN"
215,Knox County,TN,201711,956.87,0.0048,0.0594,"Knoxville, TN"
215,Knox County,TN,201712,960.23,0.0035,0.0655,"Knoxville, TN"
215,Knox County,TN,201801,964.55,0.0045,0.0553,"Knoxville, TN"
215,Knox County,TN,201802,967.99,0.0036,0.0451,"Knoxville, TN"
215,Knox County,TN,201803,970.16,0.0022,0.0353,"Knoxville, TN"
215,Knox County,TN,201804,976.08,0.0061,0.0351,"Knoxville, TN"
215,Knox County,TN,201805,985.95,0.0101,0.0413,"Knoxville, TN"
215,Knox County,TN,201806,993.48,0.0076,0.0412,"Knoxville, TN"
215,Knox County,TN,201807,1001.76,0.0083,0.0446,"Knoxville, TN"
215,Knox County,TN,201808,1006.54,0.0048,0.0536,"Knoxville, TN"
215,Knox County,TN,201809,1008.72,0.0022,0.057,"Knoxville, TN"
215,Knox County,TN,201810,1004.54,-0.0041,0.0549,"Knoxville, TN"
215,Knox County,TN,201811,1004.3,-0.0002,0.0496,"Knoxville, TN"
215,Knox County,TN,201812,1008.36,0.004,0.0501,"Knoxville, TN"
215,Knox County,TN,201901,1015.29,0.0069,0.0526,"Knoxville, TN"
215,Knox County,TN,201902,1016.22,0.0009,0.0498,"Knoxville, TN"
215,Knox County,TN,201903,1033.49,0.017,0.0653,"Knoxville, TN"
215,Knox County,TN,201904,1048.32,0.0144,0.074,"Knoxville, TN"
215,Knox County,TN,201905,1059.35,0.0105,0.0744,"Knoxville, TN"
215,Knox County,TN,201906,1051.85,-0.0071,0.0588,"Knoxville, TN"
215,Knox County,TN,201907,1049.84,-0.0019,0.048,"Knoxville, TN"
215,Knox County,TN,201908,1055.79,0.0057,0.0489,"Knoxville, TN"
215,Knox County,TN,201909,1056.81,0.001,0.0477,"Knoxville, TN"
215,Knox County,TN,201910,1059.47,0.0025,0.0547,"Knoxville, TN"
215,Knox County,TN,201911,1059.16,-0.0003,0.0546,"Knoxville, TN"
215,Knox County,TN,201912,1064.87,0.0054,0.056,"Knoxville, TN"
215,Knox County,TN,202001,1072.6,0.0073,0.0564,"Knoxville, TN"
215,Knox County,TN,202002,1080.69,0.0075,0.0634,"Knoxville, TN"
215,Knox County,TN,202003,1084.34,0.0034,0.0492,"Knoxville, TN"
215,Knox County,TN,202004,1084.92,0.0005,0.0349,"Knoxville, TN"
215,Knox County,TN,202005,1084.96,0.0,0.0242,"Knoxville, TN"
