RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
270,Park County,WY,202601,1256.23,,,
270,Park County,WY,202602,1288.91,0.026,,
270,Park County,WY,202603,1283.95,-0.0038,,
270,Park County,WY,202604,1273.06,-0.0085,,
270,Park County,WY,202605,1301.83,0.0226,,
745,Teton County,WY,202602,5283.42,,,"Jackson, WY-ID"
745,Teton County,WY,202603,5060.32,-0.0422,,"Jackson, WY-ID"
745,Teton County,WY,202604,4851.68,-0.0412,,"Jackson, WY-ID"
745,Teton County,WY,202605,5050.0,0.0409,,"Jackson, WY-ID"
824,Albany County,WY,202111,867.62,,,"Laramie, WY"
824,Albany County,WY,202112,875.96,0.0096,,"Laramie, WY"
824,Albany County,WY,202201,892.92,0.0194,,"Laramie, WY"
824,Albany County,WY,202202,910.33,0.0195,,"Laramie, WY"
824,Albany County,WY,202203,936.65,0.0289,,"Laramie, WY"
824,Albany County,WY,202204,925.92,-0.0115,,"Laramie, WY"
824,Albany County,WY,202205,929.29,0.0036,,"Laramie, WY"
824,Albany County,WY,202206,924.32,-0.0054,,"Laramie, WY"
824,Albany County,WY,202207,937.89,0.0147,,"Laramie, WY"
824,Albany County,WY,202208,938.01,0.0001,,"Laramie, WY"
824,Albany County,WY,202209,933.72,-0.0046,,"Laramie, WY"
824,Albany County,WY,202210,920.03,-0.0147,,"Laramie, WY"
824,Albany County,WY,202211,936.91,0.0183,0.0799,"Laramie, WY"
824,Albany County,WY,202212,953.65,0.0179,0.0887,"Laramie, WY"
824,Albany County,WY,202301,991.26,0.0394,0.1101,"Laramie, WY"
824,Albany County,WY,202302,989.42,-0.0019,0.0869,"Laramie, WY"
824,Albany County,WY,202303,1001.11,0.0118,0.0688,"Laramie, WY"
824,Albany County,WY,202304,1004.36,0.0033,0.0847,"Laramie, WY"
824,Albany County,WY,202305,1027.55,0.0231,0.1057,"Laramie, WY"
824,Albany County,WY,202306,1031.04,0.0034,0.1155,"Laramie, WY"
824,Albany County,WY,202307,1021.69,-0.0091,0.0893,"Laramie, WY"
824,Albany County,WY,202308,1015.26,-0.0063,0.0824,"Laramie, WY"
824,Albany County,WY,202309,1010.38,-0.0048,0.0821,"Laramie, WY"
824,Albany County,WY,202310,1003.5,-0.0068,0.0907,"Laramie, WY"
824,Albany County,WY,202311,991.44,-0.012,0.0582,"Laramie, WY"
824,Albany County,WY,202312,1007.82,0.0165,0.0568,"Laramie, WY"
824,Albany County,WY,202401,1023.89,0.0159,0.0329,"Laramie, WY"
824,Albany County,WY,202402,1052.99,0.0284,0.0643,"Laramie, WY"
824,Albany County,WY,202403,1063.15,0.0097,0.062,"Laramie, WY"
824,Albany County,WY,202404,1082.11,0.0178,0.0774,"Laramie, WY"
824,Albany County,WY,202405,1077.61,-0.0042,0.0487,"Laramie, WY"
824,Albany County,WY,202406,1075.95,-0.0015,0.0436,"Laramie, WY"
824,Albany County,WY,202407,1079.74,0.0035,0.0568,"Laramie, WY"
824,Albany County,WY,202408,1096.73,0.0157,0.0803,"Laramie, WY"
824,Albany County,WY,202409,1089.18,-0.0069,0.078,"Laramie, WY"
824,Albany County,WY,202410,1080.88,-0.0076,0.0771,"Laramie, WY"
824,Albany County,WY,202411,1081.86,0.0009,0.0912,"Laramie, WY"
824,Albany County,WY,202412,1104.17,0.0206,0.0956,"Laramie, WY"
824,Albany County,WY,202501,1115.29,0.0101,0.0893,"Laramie, WY"
824,Albany County,WY,202502,1115.29,-0.0,0.0592,"Laramie, WY"
824,Albany County,WY,202503,1114.78,-0.0004,0.0486,"Laramie, WY"
824,Albany County,WY,202504,1135.15,0.0183,0.049,"Laramie, WY"
824,Albany County,WY,202505,1140.52,0.0047,0.0584,"Laramie, WY"
824,Albany County,WY,202506,1144.66,0.0036,0.0639,"Laramie, WY"
824,Albany County,WY,202507,1143.4,-0.0011,0.059,"Laramie, WY"
824,Albany County,WY,202508,1151.54,0.0071,0.05,"Laramie, WY"
824,Albany County,WY,202509,1139.06,-0.0108,0.0458,"Laramie, WY"
824,Albany County,WY,202510,1105.08,-0.0298,0.0224,"Laramie, WY"
824,Albany County,WY,202511,1094.43,-0.0096,0.0116,"Laramie, WY"
824,Albany County,WY,202512,1096.3,0.0017,-0.0071,"Laramie, WY"
824,Albany County,WY,202601,1124.08,0.0253,0.0079,"Laramie, WY"
824,Albany County,WY,202602,1129.45,0.0048,0.0127,"Laramie, WY"
824,Albany County,WY,202603,1154.07,0.0218,0.0352,"Laramie, WY"
824,Albany County,WY,202604,1168.22,0.0123,0.0291,"Laramie, WY"
824,Albany County,WY,202605,1171.75,0.003,0.0274,"Laramie, WY"
917,Carbon County,WY,202512,924.75,,,
917,Carbon County,WY,202601,935.24,0.0113,,
917,Carbon County,WY,202602,898.9,-0.0389,,
917,Carbon County,WY,202603,905.01,0.0068,,
917,Carbon County,WY,202605,919.05,0.0155,,
1716,Fremont County,WY,202403,1064.32,,,"Riverton, WY"
1716,Fremont County,WY,202404,1063.79,-0.0005,,"Riverton, WY"
1716,Fremont County,WY,202405,1082.5,0.0176,,"Riverton, WY"
1716,Fremont County,WY,202406,1092.01,0.0088,,"Riverton, WY"
1716,Fremont County,WY,202407,1100.83,0.0081,,"Riverton, WY"
1716,Fremont County,WY,202408,1095.29,-0.005,,"Riverton, WY"
1716,Fremont County,WY,202409,1070.75,-0.0224,,"Riverton, WY"
1716,Fremont County,WY,202410,1071.44,0.0006,,"Riverton, WY"
1716,Fremont County,WY,202411,1062.25,-0.0086,,"Riverton, WY"
1716,Fremont County,WY,202412,1082.86,0.0194,,"Riverton, WY"
1716,Fremont County,WY,202501,1076.88,-0.0055,,"Riverton, WY"
1716,Fremont County,WY,202502,1089.83,0.012,,"Riverton, WY"
1716,Fremont County,WY,202503,1088.98,-0.0008,0.0232,"Riverton, WY"
1716,Fremont County,WY,202504,1101.33,0.0113,0.0353,"Riverton, WY"
1716,Fremont County,WY,202505,1111.91,0.0096,0.0272,"Riverton, WY"
1716,Fremont County,WY,202506,1141.73,0.0268,0.0455,"Riverton, WY"
1716,Fremont County,WY,202507,1147.98,0.0055,0.0428,"Riverton, WY"
1716,Fremont County,WY,202508,1158.22,0.0089,0.0575,"Riverton, WY"
1716,Fremont County,WY,202509,1132.15,-0.0225,0.0573,"Riverton, WY"
1716,Fremont County,WY,202510,1109.51,-0.02,0.0355,"Riverton, WY"
1716,Fremont County,WY,202511,1123.24,0.0124,0.0574,"Riverton, WY"
1716,Fremont County,WY,202512,1128.85,0.005,0.0425,"Riverton, WY"
1716,Fremont County,WY,202601,1166.42,0.0333,0.0831,"Riverton, WY"
1716,Fremont County,WY,202602,1181.53,0.013,0.0841,"Riverton, WY"
1716,Fremont County,WY,202603,1190.92,0.0079,0.0936,"Riverton, WY"
1716,Fremont County,WY,202604,1179.25,-0.0098,0.0707,"Riverton, WY"
1716,Fremont County,WY,202605,1150.14,-0.0247,0.0344,"Riverton, WY"
