RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
73257,35004,AL,202410,1759.52,,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202411,1741.3,-0.0104,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202412,1732.85,-0.0049,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202501,1722.46,-0.006,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202502,1757.21,0.0202,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202503,1753.27,-0.0022,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202504,1792.0,0.0221,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202505,1814.25,0.0124,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202506,1837.27,0.0127,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202507,1890.37,0.0289,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202508,1893.32,0.0016,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202509,1945.3,0.0275,,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202510,1895.74,-0.0255,0.0774,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202511,1889.07,-0.0035,0.0849,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202512,1857.2,-0.0169,0.0718,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202601,1883.31,0.0141,0.0934,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202602,1883.11,-0.0001,0.0716,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202603,1868.7,-0.0077,0.0658,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202604,1855.19,-0.0072,0.0353,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202605,1869.02,0.0075,0.0302,Moody,"Birmingham-Hoover, AL",Saint Clair County
73257,35004,AL,202606,1866.0,-0.0016,0.0156,Moody,"Birmingham-Hoover, AL",Saint Clair County
73258,35005,AL,202601,1190.58,,,Adamsville,"Birmingham-Hoover, AL",Jefferson County
73258,35005,AL,202602,1199.53,0.0075,,Adamsville,"Birmingham-Hoover, AL",Jefferson County
