RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
95982,90001,CA,202512,2716.81,,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202601,2712.65,-0.0015,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202602,2691.55,-0.0078,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202603,2732.33,0.0152,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202604,2823.87,0.0335,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202605,2833.56,0.0034,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95982,90001,CA,202606,2819.52,-0.005,,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95983,90002,CA,202603,2547.98,,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95983,90002,CA,202605,2602.0,0.0212,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95983,90002,CA,202606,2833.33,0.0889,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202209,2131.2,,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202210,2145.25,0.0066,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202211,2155.49,0.0048,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202212,2245.96,0.042,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202301,2271.95,0.0116,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202302,2290.21,0.008,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202303,2217.23,-0.0319,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202304,2245.89,0.0129,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202305,2246.47,0.0003,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202306,2253.59,0.0032,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202307,2237.6,-0.0071,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202308,2297.89,0.0269,,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202309,2362.89,0.0283,0.1087,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202310,2376.9,0.0059,0.108,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202311,2401.28,0.0103,0.114,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202312,2431.28,0.0125,0.0825,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202401,2433.14,0.0008,0.0709,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202402,2419.21,-0.0057,0.0563,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202403,2411.26,-0.0033,0.0875,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202404,2416.42,0.0021,0.0759,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202405,2429.81,0.0055,0.0816,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202406,2396.26,-0.0138,0.0633,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202407,2405.85,0.004,0.0752,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202408,2360.68,-0.0188,0.0273,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202409,2405.07,0.0188,0.0179,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202410,2427.19,0.0092,0.0212,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202411,2509.18,0.0338,0.0449,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202412,2533.54,0.0097,0.0421,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202501,2509.2,-0.0096,0.0313,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202502,2458.69,-0.0201,0.0163,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202503,2418.46,-0.0164,0.003,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202504,2424.41,0.0025,0.0033,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202505,2422.25,-0.0009,-0.0031,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202506,2427.88,0.0023,0.0132,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202507,2387.09,-0.0168,-0.0078,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
95984,90003,CA,202508,2427.25,0.0168,0.0282,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
