RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
77908,46011,IN,202507,1131.63,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202509,1112.06,-0.0173,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202511,1151.34,0.0353,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202512,1146.89,-0.0039,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202601,1119.95,-0.0235,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202602,1107.94,-0.0107,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202603,1123.47,0.014,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202604,1150.88,0.0244,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77908,46011,IN,202605,1172.33,0.0186,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202503,1039.92,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202504,1060.77,0.02,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202505,1046.47,-0.0135,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202506,1046.47,-0.0,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202507,1058.17,0.0112,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202508,1063.1,0.0047,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202509,1064.17,0.001,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202510,1076.42,0.0115,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202511,1075.82,-0.0006,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202512,1072.88,-0.0027,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202601,1046.85,-0.0243,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202602,1055.95,0.0087,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202603,1058.3,0.0022,0.0177,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202604,1066.49,0.0077,0.0054,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202605,1072.67,0.0058,0.025,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202601,1014.58,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202602,998.1,-0.0162,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202603,1003.14,0.005,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202604,998.29,-0.0048,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202605,987.08,-0.0112,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202208,700.23,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202209,716.92,0.0238,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202210,723.22,0.0088,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202211,722.32,-0.0012,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202212,731.82,0.0131,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202301,742.51,0.0146,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202302,758.1,0.021,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202303,757.44,-0.0009,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202304,769.18,0.0155,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202305,777.98,0.0114,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202306,768.89,-0.0117,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202307,761.6,-0.0095,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202308,752.61,-0.0118,0.0748,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202309,779.77,0.0361,0.0877,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202310,784.04,0.0055,0.0841,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202311,793.47,0.012,0.0985,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202312,776.57,-0.0213,0.0612,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202401,805.83,0.0377,0.0853,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202402,820.32,0.018,0.0821,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202403,831.3,0.0134,0.0975,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202404,806.82,-0.0294,0.0489,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202405,826.42,0.0243,0.0623,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202406,846.18,0.0239,0.1005,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202407,852.05,0.0069,0.1188,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202408,841.86,-0.012,0.1186,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202409,823.29,-0.0221,0.0558,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202410,836.74,0.0163,0.0672,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202411,839.29,0.003,0.0577,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202412,865.28,0.031,0.1142,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202501,869.45,0.0048,0.0789,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202502,876.05,0.0076,0.0679,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202503,883.18,0.0081,0.0624,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202504,884.35,0.0013,0.0961,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202505,882.87,-0.0017,0.0683,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202506,876.67,-0.007,0.036,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202507,903.25,0.0303,0.0601,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202508,906.82,0.0039,0.0772,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202509,921.84,0.0166,0.1197,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202510,905.05,-0.0182,0.0816,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202511,914.05,0.0099,0.0891,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202512,903.85,-0.0112,0.0446,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202601,920.33,0.0182,0.0585,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202602,941.85,0.0234,0.0751,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
