RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
87029,66006,KS,202605,1295.0,,,Baldwin City,"Lawrence, KS",Douglas County
87033,66012,KS,202603,1246.63,,,Bonner Springs,"Kansas City, MO-KS",Wyandotte County
87033,66012,KS,202604,1290.65,0.0353,,Bonner Springs,"Kansas City, MO-KS",Wyandotte County
87033,66012,KS,202605,1311.67,0.0163,,Bonner Springs,"Kansas City, MO-KS",Wyandotte County
87048,66030,KS,202103,1169.71,,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202104,1194.94,0.0216,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202105,1181.31,-0.0114,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202106,1190.25,0.0076,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202107,1197.54,0.0061,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202108,1219.69,0.0185,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202109,1228.83,0.0075,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202110,1234.18,0.0044,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202111,1237.34,0.0026,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202112,1251.7,0.0116,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202201,1255.71,0.0032,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202202,1264.05,0.0066,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202203,1276.37,0.0097,0.0912,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202204,1301.35,0.0196,0.0891,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202205,1331.4,0.0231,0.1271,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202206,1361.36,0.0225,0.1438,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202207,1392.82,0.0231,0.1631,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202208,1388.25,-0.0033,0.1382,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202209,1375.44,-0.0092,0.1193,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202210,1351.58,-0.0173,0.0951,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202211,1355.02,0.0025,0.0951,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202212,1354.09,-0.0007,0.0818,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202301,1367.8,0.0101,0.0893,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202302,1374.83,0.0051,0.0876,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202303,1379.0,0.003,0.0804,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202304,1382.42,0.0025,0.0623,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202305,1394.21,0.0085,0.0472,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202306,1397.92,0.0027,0.0269,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202307,1409.99,0.0086,0.0123,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202308,1390.78,-0.0136,0.0018,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202309,1411.81,0.0151,0.0264,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202310,1411.95,0.0001,0.0447,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202311,1433.05,0.0149,0.0576,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202312,1430.41,-0.0018,0.0564,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202401,1442.66,0.0086,0.0547,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202402,1459.66,0.0118,0.0617,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202403,1476.3,0.0114,0.0706,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202404,1490.33,0.0095,0.0781,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202405,1497.02,0.0045,0.0737,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202406,1505.76,0.0058,0.0771,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202407,1494.29,-0.0076,0.0598,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202408,1501.83,0.005,0.0798,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202409,1501.32,-0.0003,0.0634,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202410,1503.73,0.0016,0.065,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202411,1503.37,-0.0002,0.0491,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202412,1509.12,0.0038,0.055,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202501,1523.58,0.0096,0.0561,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202502,1540.15,0.0109,0.0551,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202503,1551.6,0.0074,0.051,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202504,1588.18,0.0236,0.0657,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202505,1611.78,0.0149,0.0767,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202506,1631.65,0.0123,0.0836,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202507,1605.08,-0.0163,0.0741,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202508,1594.3,-0.0067,0.0616,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202509,1577.25,-0.0107,0.0506,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202510,1572.97,-0.0027,0.046,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202511,1567.48,-0.0035,0.0426,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202512,1566.78,-0.0004,0.0382,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202601,1573.1,0.004,0.0325,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202602,1576.18,0.002,0.0234,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202603,1590.49,0.0091,0.0251,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202604,1588.2,-0.0014,0.0,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202605,1604.82,0.0105,-0.0043,Gardner,"Kansas City, MO-KS",Johnson County
87058,66043,KS,202605,1787.5,,,Lansing,"Kansas City, MO-KS",Leavenworth County
87059,66044,KS,202101,696.98,,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202102,701.96,0.0071,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202103,713.71,0.0167,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202104,720.01,0.0088,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202105,727.12,0.0099,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202106,736.71,0.0132,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202107,752.2,0.021,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202108,748.86,-0.0044,,Lawrence,"Lawrence, KS",Douglas County
87059,66044,KS,202109,750.07,0.0016,,Lawrence,"Lawrence, KS",Douglas County
