RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
58196,1001,MA,202605,2091.27,,,Agawam,"Springfield, MA",Hampden County
58196,1001,MA,202606,2125.0,0.0161,,Agawam,"Springfield, MA",Hampden County
58197,1002,MA,202308,2014.09,,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202309,2010.1,-0.002,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202310,1984.68,-0.0126,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202311,1976.47,-0.0041,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202312,2000.68,0.0122,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202401,2020.44,0.0099,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202402,2106.73,0.0427,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202403,2148.33,0.0197,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202404,2157.09,0.0041,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202405,2160.9,0.0018,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202406,2116.41,-0.0206,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202407,2092.77,-0.0112,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202408,2067.88,-0.0119,0.0267,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202409,2110.99,0.0208,0.0502,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202410,2181.37,0.0333,0.0991,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202411,2226.49,0.0207,0.1265,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202412,2243.44,0.0076,0.1213,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202501,2208.91,-0.0154,0.0933,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202502,2218.84,0.0045,0.0532,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202503,2223.23,0.002,0.0349,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202504,2241.01,0.008,0.0389,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202505,2226.99,-0.0063,0.0306,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202506,2234.5,0.0034,0.0558,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202507,2233.07,-0.0006,0.067,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202508,2211.04,-0.0099,0.0692,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202509,2225.97,0.0068,0.0545,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202510,2302.88,0.0345,0.0557,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202511,2380.36,0.0336,0.0691,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202512,2441.32,0.0256,0.0882,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202601,2459.98,0.0076,0.1137,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202602,2460.53,0.0002,0.1089,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202603,2428.78,-0.0129,0.0925,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202604,2368.86,-0.0247,0.057,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202605,2333.72,-0.0148,0.0479,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202606,2326.45,-0.0031,0.0411,Amherst,"Springfield, MA",Hampshire County
58207,1013,MA,202601,1593.85,,,Chicopee,"Springfield, MA",Hampden County
58207,1013,MA,202602,1559.45,-0.0216,,Chicopee,"Springfield, MA",Hampden County
58207,1013,MA,202603,1545.33,-0.0091,,Chicopee,"Springfield, MA",Hampden County
58207,1013,MA,202604,1515.62,-0.0192,,Chicopee,"Springfield, MA",Hampden County
58207,1013,MA,202605,1563.45,0.0316,,Chicopee,"Springfield, MA",Hampden County
58207,1013,MA,202606,1562.5,-0.0006,,Chicopee,"Springfield, MA",Hampden County
58209,1020,MA,202602,1731.24,,,Chicopee,"Springfield, MA",Hampden County
58209,1020,MA,202603,1742.77,0.0067,,Chicopee,"Springfield, MA",Hampden County
58209,1020,MA,202604,1701.89,-0.0235,,Chicopee,"Springfield, MA",Hampden County
58209,1020,MA,202605,1689.33,-0.0074,,Chicopee,"Springfield, MA",Hampden County
58209,1020,MA,202606,1662.64,-0.0158,,Chicopee,"Springfield, MA",Hampden County
58213,1027,MA,202606,1947.5,,,Easthampton,"Springfield, MA",Hampshire County
58226,1040,MA,202507,1786.86,,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202508,1803.91,0.0095,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202509,1810.54,0.0037,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202510,1735.32,-0.0415,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202511,1766.87,0.0182,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202512,1837.41,0.0399,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202601,1833.6,-0.0021,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202602,1812.3,-0.0116,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202603,1726.16,-0.0475,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202604,1706.34,-0.0115,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202605,1728.24,0.0128,,Holyoke,"Springfield, MA",Hampden County
58226,1040,MA,202606,1799.44,0.0412,,Holyoke,"Springfield, MA",Hampden County
58234,1060,MA,202412,2298.95,,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202501,2277.04,-0.0095,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202502,2258.38,-0.0082,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202503,2323.64,0.0289,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202504,2388.17,0.0278,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202505,2445.49,0.024,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202506,2448.22,0.0011,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202507,2437.29,-0.0045,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202508,2453.06,0.0065,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202509,2487.49,0.014,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202510,2477.47,-0.004,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202511,2437.07,-0.0163,,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202512,2392.54,-0.0183,0.0407,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202601,2429.72,0.0155,0.0671,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202602,2440.62,0.0045,0.0807,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202603,2464.91,0.01,0.0608,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202604,2463.7,-0.0005,0.0316,Northampton,"Springfield, MA",Hampshire County
58234,1060,MA,202605,2496.68,0.0134,0.0209,Northampton,"Springfield, MA",Hampshire County
