RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
82034,55008,MN,202606,2200.0,,,Cambridge,"Minneapolis-St. Paul-Bloomington, MN-WI",Isanti County
82040,55014,MN,202512,1731.19,,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202601,1704.68,-0.0153,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202602,1728.7,0.0141,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202603,1739.46,0.0062,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202604,1763.23,0.0137,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202605,1772.21,0.0051,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82040,55014,MN,202606,1797.83,0.0145,,Circle Pines,"Minneapolis-St. Paul-Bloomington, MN-WI",Anoka County
82041,55016,MN,202312,1788.2,,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202401,1794.82,0.0037,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202402,1795.06,0.0001,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202403,1802.38,0.0041,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202404,1797.15,-0.0029,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202405,1805.1,0.0044,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202406,1819.42,0.0079,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202407,1821.45,0.0011,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202408,1836.88,0.0085,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202409,1832.68,-0.0023,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202410,1835.64,0.0016,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202411,1814.05,-0.0118,,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202412,1815.75,0.0009,0.0154,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202501,1823.59,0.0043,0.016,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202502,1835.63,0.0066,0.0226,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202503,1842.18,0.0036,0.0221,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202504,1848.13,0.0032,0.0284,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202505,1867.41,0.0104,0.0345,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202506,1876.29,0.0048,0.0313,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202507,1885.93,0.0051,0.0354,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202508,1895.87,0.0053,0.0321,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202509,1903.0,0.0038,0.0384,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202510,1918.53,0.0082,0.0452,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202511,1912.28,-0.0033,0.0541,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202512,1932.49,0.0106,0.0643,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202601,1921.67,-0.0056,0.0538,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202602,1921.08,-0.0003,0.0466,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202603,1909.33,-0.0061,0.0365,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202604,1923.03,0.0072,0.0405,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202605,1912.62,-0.0054,0.0242,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82041,55016,MN,202606,1916.31,0.0019,0.0213,Cottage Grove,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
82047,55024,MN,202512,1748.93,,,Farmington,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County
