RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
76452,43004,OH,202512,1509.56,,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202601,1540.72,0.0206,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202602,1544.83,0.0027,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202603,1545.19,0.0002,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202604,1560.63,0.01,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202605,1581.13,0.0131,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202606,1597.63,0.0104,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202607,1587.76,-0.0062,,Blacklick,"Columbus, OH",Franklin County
76462,43015,OH,202105,1287.53,,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202106,1304.43,0.0131,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202107,1325.57,0.0162,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202108,1334.95,0.0071,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202109,1344.28,0.007,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202110,1350.64,0.0047,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202111,1347.45,-0.0024,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202112,1349.47,0.0015,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202201,1329.15,-0.0151,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202202,1349.86,0.0156,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202203,1374.65,0.0184,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202204,1405.29,0.0223,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202205,1428.5,0.0165,0.1095,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202206,1451.04,0.0158,0.1124,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202207,1486.54,0.0245,0.1214,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202208,1490.15,0.0024,0.1163,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202209,1511.03,0.014,0.124,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202210,1522.03,0.0073,0.1269,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202211,1529.85,0.0051,0.1354,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202212,1493.04,-0.0241,0.1064,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202301,1495.66,0.0018,0.1253,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202302,1504.36,0.0058,0.1145,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202303,1516.96,0.0084,0.1035,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202304,1505.15,-0.0078,0.0711,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202305,1510.42,0.0035,0.0573,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202306,1534.78,0.0161,0.0577,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202307,1548.37,0.0089,0.0416,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202308,1555.01,0.0043,0.0435,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202309,1555.62,0.0004,0.0295,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202310,1560.45,0.0031,0.0252,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202311,1537.18,-0.0149,0.0048,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202312,1542.69,0.0036,0.0333,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202401,1534.99,-0.005,0.0263,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202402,1560.21,0.0164,0.0371,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202403,1574.78,0.0093,0.0381,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202404,1574.24,-0.0003,0.0459,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202405,1601.23,0.0171,0.0601,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202406,1608.24,0.0044,0.0479,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202407,1626.11,0.0111,0.0502,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202408,1618.52,-0.0047,0.0408,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202409,1629.62,0.0069,0.0476,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202410,1629.78,0.0001,0.0444,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202411,1637.4,0.0047,0.0652,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202412,1623.76,-0.0083,0.0526,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202501,1642.26,0.0114,0.0699,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202502,1643.91,0.001,0.0536,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202503,1644.38,0.0003,0.0442,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202504,1644.34,-0.0,0.0445,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202505,1652.2,0.0048,0.0318,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202506,1671.41,0.0116,0.0393,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202507,1683.71,0.0074,0.0354,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202508,1701.28,0.0104,0.0511,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202509,1696.18,-0.003,0.0408,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202510,1675.62,-0.0121,0.0281,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202511,1643.99,-0.0189,0.004,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202512,1638.73,-0.0032,0.0092,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202601,1649.95,0.0068,0.0047,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202602,1657.08,0.0043,0.008,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202603,1665.3,0.005,0.0127,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202604,1678.15,0.0077,0.0206,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202605,1701.46,0.0139,0.0298,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202606,1722.71,0.0125,0.0307,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202607,1722.4,-0.0002,0.023,Delaware,"Columbus, OH",Delaware County
76463,43016,OH,202103,1253.45,,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202104,1264.56,0.0089,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202105,1291.13,0.021,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202106,1313.1,0.017,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202107,1342.41,0.0223,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202108,1359.45,0.0127,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202109,1350.55,-0.0065,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202110,1340.78,-0.0072,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202111,1313.32,-0.0205,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202112,1308.2,-0.0039,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202201,1303.16,-0.0039,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202202,1333.08,0.023,,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202203,1362.13,0.0218,0.0867,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202204,1392.23,0.0221,0.101,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202205,1417.04,0.0178,0.0975,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202206,1436.96,0.0141,0.0943,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202207,1468.55,0.022,0.094,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202208,1476.62,0.0055,0.0862,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202209,1478.16,0.001,0.0945,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202210,1439.8,-0.0259,0.0738,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202211,1412.23,-0.0191,0.0753,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202212,1398.64,-0.0096,0.0691,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202301,1412.3,0.0098,0.0838,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202302,1428.05,0.0111,0.0712,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202303,1452.89,0.0174,0.0666,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202304,1470.9,0.0124,0.0565,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202305,1496.06,0.0171,0.0558,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202306,1505.85,0.0065,0.0479,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202307,1524.85,0.0126,0.0383,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202308,1522.83,-0.0013,0.0313,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202309,1515.62,-0.0047,0.0253,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202310,1480.11,-0.0234,0.028,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202311,1453.31,-0.0181,0.0291,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202312,1452.28,-0.0007,0.0384,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202401,1460.29,0.0055,0.034,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202402,1481.33,0.0144,0.0373,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202403,1475.27,-0.0041,0.0154,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202404,1506.38,0.0211,0.0241,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202405,1533.19,0.0178,0.0248,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202406,1559.03,0.0169,0.0353,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202407,1574.77,0.0101,0.0327,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202408,1586.5,0.0075,0.0418,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202409,1589.32,0.0018,0.0486,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202410,1570.77,-0.0117,0.0613,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202411,1543.26,-0.0175,0.0619,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202412,1524.91,-0.0119,0.05,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202501,1530.49,0.0037,0.0481,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202502,1550.58,0.0131,0.0467,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202503,1579.66,0.0188,0.0708,Dublin,"Columbus, OH",Franklin County
76463,43016,OH,202504,1606.92,0.0173,0.0667,Dublin,"Columbus, OH",Franklin County
