RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
70259,29016,SC,202603,2194.5,,,Blythewood,"Columbia, SC",Richland County
70259,29016,SC,202604,2137.99,-0.0257,,Blythewood,"Columbia, SC",Richland County
70259,29016,SC,202605,2137.35,-0.0003,,Blythewood,"Columbia, SC",Richland County
70259,29016,SC,202606,2145.54,0.0038,,Blythewood,"Columbia, SC",Richland County
70259,29016,SC,202607,2243.0,0.0454,,Blythewood,"Columbia, SC",Richland County
70261,29020,SC,202606,1700.16,,,Camden,"Columbia, SC",Kershaw County
70261,29020,SC,202607,1748.08,0.0282,,Camden,"Columbia, SC",Kershaw County
70266,29036,SC,202601,2338.26,,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202602,2416.18,0.0333,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202603,2326.57,-0.0371,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202604,2306.24,-0.0087,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202605,2322.57,0.0071,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202606,2315.96,-0.0028,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202607,2327.17,0.0048,,Chapin,"Columbia, SC",Lexington County
70274,29045,SC,202401,1691.0,,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202402,1685.29,-0.0034,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202403,1699.93,0.0087,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202404,1734.83,0.0205,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202405,1745.16,0.006,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202406,1754.59,0.0054,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202407,1745.62,-0.0051,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202408,1744.49,-0.0006,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202409,1712.46,-0.0184,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202410,1702.68,-0.0057,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202411,1659.14,-0.0256,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202412,1650.58,-0.0052,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202501,1654.01,0.0021,-0.0219,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202502,1704.23,0.0304,0.0112,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202503,1786.37,0.0482,0.0508,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202504,1833.09,0.0262,0.0566,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202505,1845.36,0.0067,0.0574,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202506,1826.59,-0.0102,0.041,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202507,1820.19,-0.0035,0.0427,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202508,1822.46,0.0012,0.0447,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202509,1818.52,-0.0022,0.0619,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202510,1806.56,-0.0066,0.061,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202511,1806.09,-0.0003,0.0886,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202512,1785.41,-0.0115,0.0817,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202601,1796.26,0.0061,0.086,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202602,1804.57,0.0046,0.0589,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202603,1829.92,0.0141,0.0244,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202604,1840.49,0.0058,0.004,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202605,1842.66,0.0012,-0.0015,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202606,1844.72,0.0011,0.0099,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202607,1831.1,-0.0074,0.006,Elgin,"Columbia, SC",Kershaw County
70280,29053,SC,202607,1625.0,,,Gaston,"Columbia, SC",Lexington County
70281,29054,SC,202606,1905.3,,,Gilbert,"Columbia, SC",Lexington County
70281,29054,SC,202607,1905.0,-0.0002,,Gilbert,"Columbia, SC",Lexington County
70286,29061,SC,202601,1563.23,,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202602,1638.01,0.0478,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202603,1651.54,0.0083,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202604,1646.07,-0.0033,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202605,1591.43,-0.0332,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202606,1587.8,-0.0023,,Hopkins,"Columbia, SC",Richland County
70286,29061,SC,202607,1635.33,0.0299,,Hopkins,"Columbia, SC",Richland County
70288,29063,SC,201605,1092.93,,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201606,1104.06,0.0102,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201607,1119.55,0.014,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201608,1112.55,-0.0063,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201609,1107.46,-0.0046,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201610,1109.61,0.0019,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201611,1127.14,0.0158,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201612,1119.16,-0.0071,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201701,1113.15,-0.0054,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201702,1117.7,0.0041,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201703,1128.6,0.0097,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201704,1132.74,0.0037,,Irmo,"Columbia, SC",Richland County
70288,29063,SC,201705,1130.0,-0.0024,0.0339,Irmo,"Columbia, SC",Richland County
