RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
74101,37013,TN,201501,922.43,,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201502,925.74,0.0036,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201503,938.77,0.0141,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201504,952.83,0.015,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201505,957.21,0.0046,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201506,960.34,0.0033,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201507,980.22,0.0207,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201508,999.26,0.0194,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201509,1001.28,0.002,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201510,987.65,-0.0136,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201511,962.3,-0.0257,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201512,970.79,0.0088,,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201601,976.69,0.0061,0.0588,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201602,998.4,0.0222,0.0785,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201603,1002.71,0.0043,0.0681,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201604,1018.76,0.016,0.0692,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201605,1030.12,0.0111,0.0762,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201606,1039.28,0.0089,0.0822,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201607,1033.14,-0.0059,0.054,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201608,1035.64,0.0024,0.0364,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201609,1027.15,-0.0082,0.0258,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201610,1038.43,0.011,0.0514,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201611,1031.56,-0.0066,0.072,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201612,1037.87,0.0061,0.0691,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201701,1036.33,-0.0015,0.0611,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201702,1040.4,0.0039,0.0421,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201703,1052.26,0.0114,0.0494,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201704,1064.85,0.012,0.0452,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201705,1082.99,0.017,0.0513,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201706,1093.65,0.0098,0.0523,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201707,1098.25,0.0042,0.063,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201708,1098.49,0.0002,0.0607,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201709,1093.86,-0.0042,0.065,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201710,1079.43,-0.0132,0.0395,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201711,1083.35,0.0036,0.0502,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201712,1072.3,-0.0102,0.0332,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201801,1091.14,0.0176,0.0529,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201802,1089.09,-0.0019,0.0468,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201803,1113.04,0.022,0.0578,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201804,1115.25,0.002,0.0473,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
74101,37013,TN,201805,1126.87,0.0104,0.0405,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County
