RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
94375,84003,UT,202205,1698.09,,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202206,1752.85,0.0323,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202207,1769.81,0.0097,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202208,1791.66,0.0123,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202209,1760.59,-0.0173,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202210,1762.92,0.0013,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202211,1720.43,-0.0241,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202301,1684.4,-0.0209,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202302,1705.54,0.0126,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202303,1732.93,0.0161,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202304,1735.73,0.0016,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202305,1764.41,0.0165,,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202306,1782.65,0.0103,0.0498,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202307,1809.7,0.0152,0.0324,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202308,1798.06,-0.0064,0.016,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202309,1776.26,-0.0121,-0.0086,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202310,1772.76,-0.002,0.0069,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202311,1761.27,-0.0065,-0.0009,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202312,1740.33,-0.0119,0.0116,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202401,1714.14,-0.015,0.0177,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202402,1737.47,0.0136,0.0187,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202403,1770.76,0.0192,0.0218,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202404,1789.9,0.0108,0.0312,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202405,1779.8,-0.0056,0.0087,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202406,1779.08,-0.0004,-0.002,American Fork,"Provo-Orem, UT",Utah County
94375,84003,UT,202407,1790.8,0.0066,-0.0104,American Fork,"Provo-Orem, UT",Utah County
