RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
81136,53005,WI,202601,1812.0,,,Brookfield,"Milwaukee-Waukesha, WI",Waukesha County
81152,53022,WI,202512,1501.91,,,Germantown,"Milwaukee-Waukesha, WI",Washington County
81152,53022,WI,202601,1560.58,0.0391,,Germantown,"Milwaukee-Waukesha, WI",Washington County
81154,53024,WI,202601,2050.0,,,Grafton,"Milwaukee-Waukesha, WI",Ozaukee County
81156,53027,WI,202601,1100.0,,,Hartford,"Milwaukee-Waukesha, WI",Washington County
81170,53045,WI,202601,2291.0,,,Brookfield,"Milwaukee-Waukesha, WI",Waukesha County
81176,53051,WI,202511,1109.5,,,Menomonee Falls,"Milwaukee-Waukesha, WI",Waukesha County
81176,53051,WI,202512,1124.35,0.0134,,Menomonee Falls,"Milwaukee-Waukesha, WI",Waukesha County
81176,53051,WI,202601,1198.22,0.0657,,Menomonee Falls,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202403,1470.76,,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202404,1510.5,0.027,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202405,1545.87,0.0234,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202406,1583.61,0.0244,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202407,1587.9,0.0027,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202408,1566.87,-0.0132,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202409,1560.6,-0.004,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202410,1572.11,0.0074,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202411,1591.05,0.012,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202412,1582.87,-0.0051,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202501,1557.46,-0.0161,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202502,1561.7,0.0027,,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202503,1562.1,0.0003,0.0621,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202504,1588.39,0.0168,0.0516,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202505,1581.46,-0.0044,0.023,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202506,1580.6,-0.0005,-0.0019,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202507,1570.69,-0.0063,-0.0108,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202508,1565.46,-0.0033,-0.0009,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202509,1605.42,0.0255,0.0287,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202510,1585.56,-0.0124,0.0086,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202511,1574.84,-0.0068,-0.0102,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202512,1538.98,-0.0228,-0.0277,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81188,53066,WI,202601,1553.72,0.0096,-0.0024,Oconomowoc,"Milwaukee-Waukesha, WI",Waukesha County
81198,53080,WI,202601,2050.0,,,Saukville,"Milwaukee-Waukesha, WI",Ozaukee County
81199,53081,WI,202403,782.29,,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202404,784.12,0.0023,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202405,794.26,0.0129,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202407,821.5,0.0343,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202408,802.35,-0.0233,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202409,789.32,-0.0162,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202410,790.1,0.001,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202411,817.41,0.0346,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202412,830.88,0.0165,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202501,836.13,0.0063,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202502,827.19,-0.0107,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202503,821.08,-0.0074,,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202504,771.34,-0.0606,-0.014,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202505,794.59,0.0301,0.0133,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202506,813.84,0.0242,0.0247,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202507,876.93,0.0775,0.0675,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202508,877.59,0.0008,0.0938,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202509,878.86,0.0014,0.1134,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202510,886.24,0.0084,0.1217,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202511,866.52,-0.0222,0.0601,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202512,874.96,0.0097,0.0531,Sheboygan,"Sheboygan, WI",Sheboygan County
81199,53081,WI,202601,882.08,0.0081,0.055,Sheboygan,"Sheboygan, WI",Sheboygan County
81208,53092,WI,202601,1850.0,,,Mequon,"Milwaukee-Waukesha, WI",Ozaukee County
81211,53095,WI,202512,1071.72,,,West Bend,"Milwaukee-Waukesha, WI",Washington County
81211,53095,WI,202601,1092.5,0.0194,,West Bend,"Milwaukee-Waukesha, WI",Washington County
81219,53105,WI,202601,1500.0,,,Burlington,"Racine, WI",Racine County
81222,53110,WI,202512,1275.71,,,Cudahy,"Milwaukee-Waukesha, WI",Milwaukee County
81222,53110,WI,202601,1260.0,-0.0123,,Cudahy,"Milwaukee-Waukesha, WI",Milwaukee County
81229,53122,WI,202601,3810.0,,,Elm Grove,"Milwaukee-Waukesha, WI",Waukesha County
81236,53132,WI,202512,1694.01,,,Franklin,"Milwaukee-Waukesha, WI",Milwaukee County
81236,53132,WI,202601,1728.75,0.0205,,Franklin,"Milwaukee-Waukesha, WI",Milwaukee County
81240,53140,WI,202201,1036.16,,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202202,1040.87,0.0045,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202203,1060.82,0.0192,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202204,1087.23,0.0249,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202205,1090.99,0.0035,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202206,1087.99,-0.0027,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202207,1090.0,0.0018,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202208,1099.87,0.009,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202209,1115.73,0.0144,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202210,1115.42,-0.0003,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202211,1085.57,-0.0268,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202212,1101.87,0.015,,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202301,1107.47,0.0051,0.0688,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202302,1156.78,0.0445,0.1114,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202303,1167.32,0.0091,0.1004,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202304,1174.56,0.0062,0.0803,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202305,1195.83,0.0181,0.0961,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202306,1199.51,0.0031,0.1025,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
81240,53140,WI,202308,1236.04,0.0305,0.134,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County
