RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
68274,24701,WV,202605,824.07,,,Bluefield,"Bluefield, WV-VA",Mercer County
68274,24701,WV,202606,845.83,0.0264,,Bluefield,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202509,707.46,,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202510,711.4,0.0056,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202511,705.67,-0.0081,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202512,707.13,0.0021,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202601,684.37,-0.0322,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202602,686.44,0.003,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202603,733.26,0.0682,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202604,779.04,0.0624,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202605,821.32,0.0543,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202606,795.0,-0.0321,,Princeton,"Bluefield, WV-VA",Mercer County
68553,25306,WV,202401,1271.6,,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202402,1272.66,0.0008,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202403,1269.85,-0.0022,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202404,1290.28,0.0161,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202405,1300.26,0.0077,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202406,1314.88,0.0112,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202407,1320.9,0.0046,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202408,1344.86,0.0181,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202409,1365.36,0.0152,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202410,1394.02,0.021,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202411,1389.08,-0.0035,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202412,1392.11,0.0022,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202501,1384.34,-0.0056,0.0887,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202503,1397.13,0.0092,0.0978,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202504,1420.44,0.0167,0.1186,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202505,1430.3,0.0069,0.1085,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202506,1454.35,0.0168,0.1185,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202507,1451.45,-0.002,0.1039,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202508,1449.75,-0.0012,0.0975,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202509,1448.86,-0.0006,0.0773,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202510,1464.75,0.011,0.0728,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202511,1474.26,0.0065,0.0576,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202512,1475.68,0.001,0.0623,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202601,1470.66,-0.0034,0.0564,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202602,1483.53,0.0088,0.0717,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202603,1495.71,0.0082,0.0706,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202604,1502.5,0.0045,0.0578,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202605,1500.95,-0.001,0.0494,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202606,1504.5,0.0024,0.0345,Charleston,"Charleston, WV",Kanawha County
68557,25313,WV,202603,1190.93,,,Charleston,"Charleston, WV",Kanawha County
68557,25313,WV,202604,1190.1,-0.0007,,Charleston,"Charleston, WV",Kanawha County
68557,25313,WV,202605,1175.94,-0.0119,,Charleston,"Charleston, WV",Kanawha County
68557,25313,WV,202606,1167.72,-0.007,,Charleston,"Charleston, WV",Kanawha County
68595,25401,WV,202402,1205.92,,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202403,1209.97,0.0034,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202404,1212.27,0.0019,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202405,1253.76,0.0342,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202406,1255.91,0.0017,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202407,1266.15,0.0081,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202408,1280.75,0.0115,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202409,1286.94,0.0048,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202410,1284.78,-0.0017,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202411,1295.94,0.0087,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202412,1301.03,0.0039,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202501,1299.68,-0.001,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202502,1301.77,0.0016,0.0795,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202503,1318.09,0.0125,0.0894,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202504,1330.59,0.0095,0.0976,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202505,1337.42,0.0051,0.0667,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202506,1351.57,0.0106,0.0762,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202507,1346.01,-0.0041,0.0631,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202508,1334.81,-0.0083,0.0422,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202509,1320.6,-0.0106,0.0262,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202510,1329.35,0.0066,0.0347,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202511,1344.04,0.011,0.0371,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202512,1357.41,0.01,0.0433,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202601,1353.03,-0.0032,0.041,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
