RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
93851,82001,WY,201605,898.09,,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201606,898.54,0.0005,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201607,892.3,-0.0069,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201608,897.25,0.0056,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201609,898.07,0.0009,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201610,896.29,-0.002,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201611,890.58,-0.0064,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201612,886.93,-0.0041,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201701,885.38,-0.0017,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201702,887.51,0.0024,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201703,890.78,0.0037,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201704,897.02,0.007,,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201705,901.22,0.0047,0.0035,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201706,902.79,0.0017,0.0047,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201707,896.73,-0.0067,0.005,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201708,900.9,0.0047,0.0041,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201709,896.4,-0.005,-0.0019,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201710,905.85,0.0105,0.0107,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201711,901.57,-0.0047,0.0123,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201712,908.09,0.0072,0.0239,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201801,905.8,-0.0025,0.0231,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201802,905.11,-0.0008,0.0198,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201803,899.79,-0.0059,0.0101,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201804,902.71,0.0032,0.0063,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201805,908.98,0.0069,0.0086,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201806,912.17,0.0035,0.0104,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201807,918.17,0.0066,0.0239,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201808,922.87,0.0051,0.0244,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201809,934.51,0.0126,0.0425,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201810,928.98,-0.0059,0.0255,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201811,932.5,0.0038,0.0343,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201812,931.98,-0.0006,0.0263,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201901,940.14,0.0088,0.0379,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201902,936.24,-0.0042,0.0344,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201903,939.36,0.0033,0.044,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201904,940.02,0.0007,0.0413,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201905,947.19,0.0076,0.042,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201906,953.34,0.0065,0.0451,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201907,960.97,0.008,0.0466,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201908,970.03,0.0094,0.0511,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201909,976.01,0.0062,0.0444,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201910,979.34,0.0034,0.0542,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201911,975.68,-0.0037,0.0463,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,201912,972.72,-0.003,0.0437,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202001,976.14,0.0035,0.0383,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202002,989.44,0.0136,0.0568,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202003,984.8,-0.0047,0.0484,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202004,980.6,-0.0043,0.0432,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202005,976.96,-0.0037,0.0314,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202006,992.64,0.0161,0.0412,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202007,1005.86,0.0133,0.0467,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202008,1016.83,0.0109,0.0482,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202009,1021.5,0.0046,0.0466,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202010,1027.71,0.0061,0.0494,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202011,1032.03,0.0042,0.0578,Granite Canon,"Cheyenne, WY",Laramie County
93851,82001,WY,202012,1053.44,0.0208,0.083,Granite Canon,"Cheyenne, WY",Laramie County
