month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202606,71847,"mc caskill, ar",319000.0,0.0,-0.2864,3,0.0,-0.25,199.0,0.1881,2.3167,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,1.0,180.0,0.0,-0.0849,1772.0,0.0,-0.0857,294167.0,0.0,-0.4871,5,0.0,0.0,0.6667,0.0,0.4167,1.0
202606,72533,"fifty six, ar",247200.0,0.0049,-0.8352,4,-0.2,3.0,96.0,-0.4448,0.9293,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.8,0.0,,,,332.0,0.5048,-0.7466,790.0,-0.1222,-0.31,304325.0,0.0213,-0.7971,4,-0.2,0.3333,,,,1.0
202606,72616,"berryville, ar",296000.0,-0.01,-0.1874,55,0.1957,0.1957,61.0,0.1296,-0.2446,16,0.3333,0.1429,0,,,0.0,0.0,0.0,16.0,0.0,0.3333,0.185,0.0059,0.0197,13.0,-0.0714,0.3684,161.0,0.0109,-0.1363,1852.0,-0.0112,-0.0503,405520.0,0.0125,-0.0717,70,0.1667,0.25,0.2364,-0.068,0.0298,1.0
202606,72111,"mount vernon, ar",597425.0,0.0621,1.9435,5,0.6667,0.6667,61.0,0.1731,0.2708,2,,0.0,0,,,0.0,0.0,0.0,2.0,,,0.2,0.2,0.2,1.0,0.0,0.0,197.0,0.0504,0.304,2273.0,-0.1818,0.6255,605732.0,-0.0343,1.4125,6,0.375,0.375,0.2,-0.1333,-0.1333,1.0
202606,72386,"tyronza, ar",146250.0,0.1939,-0.1,4,-0.125,-0.125,187.0,0.4861,2.2435,0,,,0,,,0.0,0.0,0.0,2.0,,,0.2,0.2,0.2,2.0,1.0,-0.3333,92.0,0.0572,0.0007,1728.0,0.0447,-0.0289,214167.0,0.1272,0.251,6,0.1,-0.2143,0.5714,0.3214,-0.1786,1.0
202606,72524,"cord, ar",149000.0,0.0,-0.6906,1,0.0,-0.5,69.0,0.8514,1.7959,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,1.0,,141.0,0.0,-0.3652,1056.0,0.0,-0.4661,149000.0,0.0,-0.6906,3,0.0,0.5,2.0,1.0,,1.0
202606,71941,"donaldson, ar",265950.0,0.5197,3.0311,5,0.125,3.5,48.0,-0.181,-0.8037,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,-0.375,1.5,117.0,0.3877,1.2666,1670.0,0.3859,0.5406,318283.0,0.8127,3.2632,6,-0.1429,2.0,0.5556,-0.4444,-0.4444,1.0
202606,72157,"springfield, ar",301950.0,-0.046,0.28,2,1.0,-0.3333,18.0,-0.9136,-0.1463,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,140.0,-0.0494,-0.194,2153.0,0.0,1.0311,301950.0,-0.046,0.2944,2,0.0,-0.3333,,,,0.0
202606,72461,"rector, ar",106250.0,-0.1327,-0.3254,16,0.0333,-0.2439,100.0,-0.0172,1.5577,4,0.0,-0.3333,0,,,0.0,0.0,0.0,4.0,,0.0,0.1459,0.1459,0.0327,10.0,0.25,0.0,84.0,-0.0937,-0.168,1456.0,0.0182,-0.0182,175746.0,-0.0968,-0.0411,26,0.1087,-0.1356,0.6452,0.1118,0.1574,1.0
202606,71660,"new edinburg, ar",259000.0,0.0,1.1765,1,0.0,0.0,275.0,0.1296,0.5124,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,101.0,0.0,0.5499,2560.0,0.0,0.4043,259000.0,0.0,1.1765,1,0.0,0.0,,,,1.0
