month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202606,41097,"williamstown, ky",300000.0,-0.0244,-0.3327,26,0.4444,0.3684,34.0,-0.0946,0.3137,10,-0.375,0.0,0,,,0.0,0.0,0.0,10.0,1.5,-0.1667,0.1733,0.1032,-0.0762,15.0,-0.3958,-0.0333,176.0,-0.1075,-0.1603,1616.0,-0.1553,-0.3376,338413.0,-0.0424,-0.3134,41,-0.0122,0.1739,0.5577,-0.7756,-0.2318,1.0
202606,41250,"pilgrim, ky",105000.0,0.0,0.5,1,0.0,-0.6667,40.0,1.6333,0.2154,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,74.0,0.0,0.8198,1413.0,0.0,-0.215,105000.0,0.0,-0.6679,1,0.0,-0.6667,,,,0.0
202606,41257,"stambaugh, ky",114900.0,,-0.4091,1,,0.0,14.0,,-0.7429,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,123.0,,-0.1989,936.0,,-0.2624,114900.0,,-0.4091,1,0.0,-0.5,,,,1.0
202606,40977,"pineville, ky",202725.0,0.1111,0.0675,14,0.0385,0.08,49.0,-0.4368,-0.5967,4,,,0,,,0.0,0.0,0.0,8.0,,1.0,0.3143,0.3143,0.1426,4.0,-0.2,-0.3333,136.0,-0.1373,0.1832,1623.0,0.0608,-0.1085,246502.0,0.0023,-0.1923,18,0.0294,-0.0278,0.2963,-0.0883,-0.1837,0.0
202606,41074,"dayton, ky",227425.0,-0.0755,-0.2278,17,-0.1316,0.0645,33.0,-0.1474,0.1875,10,-0.1667,0.6667,0,,,0.0,0.0,0.0,2.0,-0.8333,-0.75,0.0625,-0.1824,-0.2016,15.0,0.1538,0.6667,196.0,-0.0758,-0.0153,1449.0,0.06,0.0122,326912.0,-0.0297,-0.047,32,0.0,0.3333,0.9091,0.2249,0.3284,1.0
202606,40165,"shepherdsville, ky",390925.0,-0.058,0.1087,91,-0.0055,-0.0524,42.0,-0.0119,-0.0674,48,0.0,-0.0769,0,,,0.0,0.0,0.0,50.0,0.3889,-0.0385,0.2424,0.0626,-0.0136,60.0,-0.0083,0.1667,182.0,-0.0197,-0.0209,2106.0,-0.0344,0.1435,404659.0,-0.0275,0.0362,151,0.0033,0.0203,0.6575,-0.0019,0.1234,0.0
202606,42120,"adolphus, ky",201200.0,0.1338,0.0049,3,-0.1667,-0.1667,52.0,-0.6167,0.4476,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,118.0,-0.1073,-0.0307,1572.0,0.2486,0.0736,216292.0,0.2542,0.0835,4,0.0,-0.2,0.8,0.1333,0.1333,0.0
202606,42214,"center, ky",474200.0,-0.0558,1.3188,5,0.25,,132.0,-0.2126,0.0354,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,150.0,-0.0663,0.243,3100.0,0.0,0.7878,538719.0,-0.0334,1.6343,5,0.25,4.0,,,,1.0
202606,42123,"austin, ky",439900.0,0.0,-0.2667,5,-0.1,-0.3571,96.0,0.3082,-0.1279,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.6667,-0.2857,1.0,0.0,,229.0,0.0,-0.0343,2636.0,0.0,-0.1592,585920.0,0.0,-0.1565,5,-0.1667,-0.2857,0.2222,0.0222,,1.0
202606,40342,"lawrenceburg, ky",358225.0,0.0294,0.0859,66,0.0234,0.1696,55.0,0.028,0.0891,44,0.375,0.2941,0,,-1.0,0.0,0.0,-0.0116,34.0,0.0625,0.8889,0.2138,-0.0402,0.1032,59.0,0.0833,0.3146,191.0,0.0177,0.0647,1920.0,-0.0318,0.0997,469360.0,0.0244,0.2418,124,0.0508,0.2338,0.8931,0.0494,0.0985,0.0
