month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202607,71280,"sterlington, la",301200.0,0.021,0.1103,11,0.1,-0.5319,54.0,0.4026,-0.1394,6,0.5,-0.25,0,,,0.0,0.0,0.0,8.0,3.0,1.0,0.2522,0.1753,0.1706,12.0,-0.303,-0.08,178.0,0.0505,0.2378,1835.0,0.0478,-0.0004,319835.0,0.1139,0.0309,22,-0.1698,-0.4054,1.0455,-0.6045,0.5135,0.0
202607,70373,"larose, la",181000.0,-0.0216,-0.053,25,-0.0577,-0.3194,179.0,-0.0377,0.9508,0,-1.0,-1.0,0,,,0.0,0.0,0.0,6.0,0.0,-0.25,0.2048,0.0493,0.0093,4.0,-0.2,-0.1111,100.0,-0.0499,-0.0585,1921.0,0.0037,0.0427,254446.0,0.0164,0.0843,29,-0.0806,-0.3133,0.1633,-0.029,0.0383,1.0
202607,71037,"haughton, la",326749.0,0.0923,0.1882,55,0.1848,-0.3626,38.0,-0.1758,-0.4526,36,0.3846,0.0,0,,,0.0,0.0,0.0,32.0,0.4545,-0.1579,0.2611,0.0576,0.0318,37.0,-0.0395,-0.0395,165.0,0.0124,0.0548,2091.0,0.0135,0.0984,362900.0,0.016,0.1625,91,0.0774,-0.2612,0.6697,-0.1564,0.2253,0.0
202607,70801,"baton rouge, la",977450.0,-0.4555,8.5828,2,1.0,1.0,181.0,-0.4281,0.7659,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,279.0,-0.3343,2.3347,2719.0,-0.3656,1.2287,977450.0,-0.4555,8.5828,2,1.0,1.0,,,,1.0
202607,71457,"natchitoches, la",272375.0,0.0348,-0.0443,76,0.0133,-0.0065,86.0,0.0179,-0.0831,20,-0.1667,0.6667,2,0.0,,0.0152,-0.0014,0.0152,16.0,-0.3333,0.1429,0.134,-0.0696,0.0066,26.0,0.3684,0.3333,149.0,-0.0016,-0.0181,2062.0,0.1052,0.077,373034.0,0.096,0.071,100,0.0585,0.0419,0.3421,0.0888,0.0872,0.0
202607,70030,"des allemands, la",299000.0,0.0,-0.064,5,0.0,-0.5455,281.0,0.0727,1.6842,2,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1111,3.0,0.0,-0.1667,144.0,0.0097,-0.2575,2625.0,0.262,0.3318,380800.0,0.2641,0.1801,8,0.0667,-0.3846,0.5,0.0,0.2273,1.0
202607,70043,"chalmette, la",254500.0,0.0221,0.0462,90,0.0778,0.0345,57.0,-0.1775,-0.0992,18,-0.5,0.0,0,,,0.0,0.0,0.0,24.0,0.0909,-0.0769,0.1806,0.0227,-0.0296,15.0,0.0357,-0.0645,148.0,-0.0044,-0.0482,1724.0,-0.0019,0.0171,268013.0,0.0053,0.0375,105,0.0718,0.0048,0.1611,-0.0066,-0.017,0.0
202607,71222,"bernice, la",170000.0,1.6154,1.1608,3,0.0,1.0,111.0,0.3987,-0.59,0,,,0,,,0.0,0.0,0.0,4.0,-0.3333,,0.6222,-0.5778,0.6222,2.0,0.0,0.0,82.0,1.2911,1.1131,1824.0,-0.048,-0.0538,161667.0,0.6033,1.0549,5,0.0,0.4286,0.6667,0.0,-0.6667,1.0
202607,70836,"baton rouge, la",301490.0,0.0008,-0.0752,8,-0.0588,0.0,53.0,0.5746,0.4653,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,7.0,-0.125,2.5,197.0,-0.0141,0.0139,1500.0,0.0,-0.0769,306729.0,0.0043,-0.0461,15,-0.0909,0.5,0.875,-0.0662,0.625,0.0
202607,70552,"loreauville, la",220000.0,,,1,,,8.0,,,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,69.0,,,3200.0,,,220000.0,,,1,1.0,-0.6667,,,,0.0
202607,71082,"vivian, la",116725.0,-0.2793,0.5808,5,0.2857,-0.625,70.0,0.0692,-0.4418,2,0.0,0.0,0,,,0.0,0.0,0.0,2.0,,,0.1667,0.1667,0.1667,3.0,-0.375,-0.1667,97.0,-0.1754,1.446,1567.0,-0.0622,0.0561,163503.0,-0.4037,0.4318,7,0.0,-0.5172,0.5556,-0.5873,0.3056,1.0
202607,70394,"raceland, la",196000.0,0.0208,0.074,33,-0.0845,-0.1096,85.0,-0.1601,0.152,8,0.0,0.3333,0,,,0.0,0.0,0.0,8.0,-0.4286,-0.2,0.1554,-0.1258,-0.0263,11.0,0.4667,0.0476,133.0,0.0265,0.0316,1613.0,0.0589,-0.0209,290064.0,0.0745,0.0266,43,0.0,-0.0851,0.3385,0.1272,0.0508,0.0
202607,70503,"lafayette, la",304500.0,-0.1004,-0.1542,131,0.0697,-0.0777,74.0,-0.0358,0.0725,36,-0.2174,-0.2174,0,,,0.0,0.0,0.0,46.0,0.4375,-0.0417,0.2334,0.0845,0.0224,34.0,-0.2766,-0.2184,153.0,-0.0615,-0.0136,2028.0,-0.0613,-0.0972,488673.0,-0.1344,-0.0902,164,-0.0353,-0.1183,0.2605,-0.1247,-0.0469,1.0
202607,71003,"athens, la",1050000.0,0.5556,-0.16,1,-0.75,-0.5,364.0,0.5177,29.2917,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,1.0,,28.0,-0.5452,-0.16,37000.0,0.8797,0.0,1050000.0,0.5556,-0.16,2,-0.3333,1.0,4.0,3.5,,1.0
202607,71432,"georgetown, la",215000.0,-0.3944,,2,1.0,,69.0,1.5849,,0,,,0,,,0.0,0.0,,0.0,-1.0,,0.0,-1.0,,,,,85.0,-0.3928,,2519.0,-0.0073,,215000.0,-0.3944,,2,0.0,,,,,0.0
202607,70654,"mittie, la",495000.0,0.0,,1,-0.5,,95.0,0.2517,,0,,,0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,253.0,0.0,,1953.0,0.0,,495000.0,0.0,,1,-0.5,,,,,0.0
202607,70520,"carencro, la",246475.0,-0.0001,0.0293,75,0.1203,0.0876,70.0,-0.0733,0.2247,34,0.1333,0.1333,0,-1.0,,0.0,-0.0155,0.0,16.0,-0.3333,0.0,0.1131,-0.067,-0.0151,32.0,-0.0156,0.0328,151.0,-0.0121,-0.0183,1762.0,-0.0339,0.0664,335365.0,-0.0048,-0.0205,103,0.03,0.0404,0.4228,-0.0584,-0.0224,0.0
202607,70057,"hahnville, la",323500.0,-0.0484,0.0479,15,0.1154,0.2083,68.0,-0.3891,0.7197,0,-1.0,-1.0,0,,,0.0,0.0,0.0,6.0,0.5,,0.3667,0.1772,0.3667,2.0,-0.3333,-0.5,169.0,0.0143,-0.0223,2024.0,-0.0304,0.0719,295772.0,-0.1248,-0.1774,16,-0.0313,0.0,0.1379,-0.0928,-0.1954,1.0
202607,71454,"montgomery, la",225000.0,-0.2275,0.2989,5,0.25,1.5,88.0,-0.0331,0.0324,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.5,-0.8,154.0,-0.0867,0.5681,1625.0,-0.0629,0.0137,399490.0,-0.111,1.5601,5,0.0,0.25,0.1,-0.15,-1.15,1.0
202607,70706,"denham springs, la",288000.0,0.0743,0.0065,110,-0.0265,-0.1822,65.0,0.0932,-0.0719,30,-0.0625,-0.2857,2,,0.0,0.011,0.011,0.0012,36.0,-0.1,-0.1,0.1886,-0.0344,0.0019,44.0,-0.0745,0.1013,162.0,-0.0085,-0.0064,1930.0,0.0315,0.0397,329593.0,0.0104,0.0176,155,-0.0252,-0.1121,0.3955,-0.0205,0.1018,0.0
202607,70669,"westlake, la",229475.0,-0.0574,-0.006,30,-0.1549,-0.3333,64.0,-0.0922,-0.3469,6,-0.5,-0.4,0,,,0.0,0.0,0.0,14.0,0.1667,-0.125,0.2628,0.0912,0.022,20.0,0.3929,0.4444,127.0,-0.0331,0.0335,1819.0,-0.0297,0.0191,305955.0,-0.0178,0.2027,49,-0.0297,-0.1404,0.65,0.2556,0.35,0.0
202607,70719,"brusly, la",305000.0,0.0609,-0.1974,5,0.125,0.5,23.0,-0.707,-0.5106,4,1.0,,0,,,0.0,0.0,0.0,2.0,0.0,,0.125,-0.0568,0.125,3.0,0.2,2.0,173.0,0.0283,0.0073,1853.0,0.0679,-0.1397,406882.0,0.3583,0.1807,8,0.25,0.6667,0.6667,0.0417,0.3333,1.0
202607,70079,"norco, la",246500.0,0.1219,-0.0663,5,-0.2857,-0.2857,110.0,0.0329,-0.0658,4,,1.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1818,-0.1667,5.0,0.0,-0.1,147.0,-0.0046,-0.0908,1757.0,0.0303,0.0567,229430.0,0.072,-0.1435,9,-0.1818,-0.25,0.9,0.2571,0.1857,1.0
202607,71070,"saline, la",153000.0,0.0,-0.2792,1,0.0,-0.75,338.0,0.0905,7.7662,0,,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.5,,,,87.0,0.0,-0.0466,1760.0,0.0,-0.1698,153000.0,0.0,-0.1777,1,0.0,-0.75,,,,1.0
202607,71105,"shreveport, la",224500.0,-0.0014,-0.0643,88,0.1812,0.0173,51.0,0.0306,-0.2786,42,0.05,0.1053,0,-1.0,,0.0,-0.0256,0.0,44.0,0.4667,0.375,0.2805,0.0906,0.0713,27.0,-0.3494,-0.3077,119.0,-0.0075,-0.0118,1918.0,0.0333,-0.0667,226520.0,0.006,-0.0764,116,0.0131,-0.0794,0.3068,-0.2502,-0.144,0.0
202607,70605,"lake charles, la",357425.0,0.0215,0.153,178,-0.0166,-0.2261,78.0,-0.028,0.1259,48,-0.25,-0.04,0,,-1.0,0.0,0.0,-0.0061,54.0,0.08,0.0385,0.1824,0.0194,0.0285,70.0,0.0072,0.1765,147.0,0.0186,0.0183,2516.0,0.0238,0.1563,521362.0,0.0719,0.3318,247,-0.01,-0.1272,0.3933,0.0093,0.1346,0.0
