month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202607,02025,"cohasset, ma",1998250.0,0.0208,0.0713,25,-0.0577,-0.3099,49.0,0.4101,-0.2129,6,-0.6667,0.0,0,,,0.0,0.0,0.0,8.0,0.3333,-0.2,0.1357,0.0522,-0.0994,23.0,-0.2373,2.75,678.0,0.0566,0.1069,2971.0,0.0847,0.0061,2267862.0,0.0177,0.0559,48,-0.1429,0.1707,0.9184,-0.2162,0.7494,0.0
202607,02644,"forestdale, ma",739000.0,-0.0944,0.0761,13,0.1364,1.2727,53.0,0.117,0.9626,4,-0.6,-0.3333,0,,,0.0,0.0,0.0,12.0,2.0,,0.4222,0.3046,0.4222,9.0,-0.15,0.1333,448.0,0.0496,0.1174,1830.0,0.0033,-0.0081,841738.0,-0.007,0.1151,22,0.0238,0.72,0.68,-0.2291,-0.6836,0.0
202607,02464,"newton upper falls, ma",1474788.0,-0.0167,0.1488,8,-0.3478,-0.1667,51.0,0.1285,-0.0818,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1599,-0.1176,7.0,-0.0667,13.0,572.0,0.0264,-0.1314,2055.0,-0.0826,-0.02,1831002.0,0.1017,0.1272,15,-0.2162,0.6111,0.9333,0.2812,0.8778,1.0
202607,01349,"millers falls, ma",351975.0,-0.0084,,2,0.5,,23.0,4.625,,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,193.0,-0.0089,,1899.0,0.0,,351975.0,-0.0084,,2,0.0,3.0,0.6667,-0.3333,,0.0
202607,02332,"duxbury, ma",1396000.0,-0.0445,-0.1073,44,0.1154,0.0,43.0,-0.0116,0.0241,32,0.2308,1.0,0,,,0.0,0.0,0.0,16.0,0.1429,0.6,0.1288,0.0098,-0.0394,42.0,-0.1064,7.4,545.0,0.0455,0.0629,2758.0,-0.0805,-0.0974,3142450.0,-0.0252,-0.0907,85,-0.0174,0.7604,0.9655,-0.2396,0.8506,1.0
202607,02664,"south yarmouth, ma",694950.0,-0.0344,-0.0236,30,0.2553,0.1569,36.0,-0.0526,-0.4074,16,0.0,0.3333,0,,,0.0,0.0,0.0,16.0,-0.2727,1.6667,0.2238,-0.1686,0.13,26.0,0.0,0.1818,493.0,0.0896,-0.0248,1597.0,-0.1199,-0.1387,803687.0,-0.0488,-0.3695,55,0.068,0.1828,0.8814,-0.225,0.0186,0.0
202607,01876,"tewksbury, ma",695950.0,0.0072,-0.0626,27,-0.1719,0.2927,33.0,0.6709,0.4831,26,-0.4091,0.4444,0,,,0.0,0.0,0.0,10.0,-0.5455,0.0,0.1,-0.0639,-0.0632,53.0,-0.16,5.5625,388.0,-0.0021,0.0854,1747.0,-0.0315,-0.1438,722570.0,0.016,-0.0772,80,-0.1579,1.7586,1.9811,0.028,1.5909,0.0
202607,01741,"carlisle, ma",1448750.0,-0.0379,0.007,17,0.0313,-0.0294,49.0,0.9126,-0.0343,2,-0.8,0.0,0,,,0.0,0.0,0.0,10.0,0.6667,1.5,0.3481,0.1637,0.1742,12.0,-0.0417,3.6,404.0,-0.003,-0.0821,4433.0,0.1251,0.092,1686838.0,0.0063,-0.1359,28,-0.0175,0.4359,0.697,-0.053,0.5499,0.0
202607,01350,"monroe bridge, ma",467500.0,0.3206,-0.3273,4,0.0,3.0,97.0,0.4058,-0.4504,0,,,0,,,0.0,0.0,0.0,2.0,,,0.2222,0.2222,0.2222,1.0,0.0,,258.0,-0.2948,-0.4435,1881.0,0.1127,0.254,482250.0,0.1294,-0.3061,5,0.25,4.0,0.25,0.0,,1.0
202607,01960,"peabody, ma",667450.0,0.0004,0.043,33,-0.12,0.1379,35.0,0.6235,1.4211,42,-0.0455,0.1053,0,,,0.0,0.0,0.0,8.0,-0.5556,-0.6,0.0621,-0.0574,-0.1651,56.0,-0.0263,3.44,401.0,0.0184,0.0094,1642.0,-0.0056,0.0495,677344.0,0.0057,0.0465,88,-0.0785,1.1205,1.6818,0.1618,1.2508,1.0
