month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202605,38629,"falkner, ms",249950.0,0.2576,-0.1378,2,0.0,-0.3333,143.0,0.1867,-0.0138,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.2222,0.0,1.0,-0.5,0.0,144.0,-0.0547,-0.0195,1714.0,0.335,-0.6317,249950.0,0.2624,-0.5384,3,-0.25,-0.25,0.5,-0.5,0.1667,1.0
202605,38635,"holly springs, ms",287450.0,-0.0172,-0.0253,56,0.0,0.4,71.0,0.1545,-0.0139,12,-0.1429,2.0,0,,,0.0,0.0,0.0,12.0,-0.5,0.0,0.1188,-0.1805,-0.0846,17.0,0.0968,-0.1053,143.0,-0.0647,0.083,2052.0,-0.0298,-0.2003,312120.0,-0.0349,-0.1507,70,-0.0278,0.2281,0.3036,0.0268,-0.1714,1.0
202605,38736,"doddsville, ms",100000.0,0.0,,0,-1.0,,42.0,0.5849,,0,,,0,,,,,,0.0,,,,,,,,,39.0,0.0,,2538.0,0.0,,100000.0,0.0,,0,-1.0,,,,,0.0
202605,39402,"hattiesburg, ms",362500.0,-0.0178,0.036,200,0.1628,0.1765,49.0,-0.2403,-0.1552,88,0.4194,0.4667,0,-1.0,,0.0,-0.0061,0.0,60.0,0.5,0.1538,0.1662,0.0402,0.0067,84.0,-0.0289,0.037,156.0,-0.0208,0.0103,2464.0,0.0043,0.0161,476615.0,-0.0506,0.073,276,0.0845,0.1084,0.42,-0.0829,-0.0565,0.0
202605,39429,"columbia, ms",204950.0,-0.0344,0.2365,50,0.0309,0.3889,86.0,0.0892,0.2761,8,-0.3333,-0.5,0,,,0.0,0.0,0.0,12.0,-0.1429,2.0,0.1791,-0.0177,0.1235,11.0,0.0,-0.5217,102.0,-0.0137,0.1016,2036.0,-0.0043,0.2243,254809.0,-0.1023,-0.124,60,0.0084,0.0345,0.22,-0.0068,-0.4189,0.0
202605,39643,"kokomo, ms",229000.0,0.0695,0.5292,2,-0.4286,-0.5,176.0,0.218,2.3524,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,5.0,2.0,164.0,0.0578,0.4823,1424.0,0.0092,-0.0789,229000.0,0.1725,0.1604,4,0.0,-0.2,1.5,1.3571,1.25,1.0
202605,39213,"jackson, ms",64200.0,0.0003,0.284,31,0.0508,-0.0313,73.0,0.6044,-0.0267,8,0.3333,-0.3333,0,,,0.0,0.0,0.0,4.0,-0.6,0.0,0.08,-0.1111,0.0175,15.0,-0.3023,0.5,57.0,-0.0047,0.2226,1324.0,0.0328,0.2036,78758.0,0.043,0.2801,46,-0.098,0.0698,0.4839,-0.2449,0.1714,0.0
202605,39355,"quitman, ms",319000.0,1.1281,1.8368,7,-0.3913,-0.2222,109.0,-0.0023,-0.1174,0,,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.3077,4.0,0.1429,0.0,112.0,0.071,0.2832,2619.0,0.1907,0.389,277114.0,0.2823,0.4937,11,-0.2667,-0.1538,0.5714,0.2671,0.127,1.0
202605,38606,"batesville, ms",277450.0,-0.002,0.1565,40,0.1594,-0.0244,54.0,-0.0769,-0.0609,16,0.0,0.0,0,,,0.0,0.0,0.0,12.0,0.2,0.0,0.1739,0.0538,0.0118,15.0,-0.0909,-0.2105,157.0,0.0493,0.1136,1968.0,-0.0061,0.1236,373127.0,0.0499,0.269,55,0.1458,-0.0833,0.375,-0.1033,-0.0884,0.0
202605,39323,"chunky, ms",149900.0,-0.1647,-0.4004,1,-0.5,0.0,110.0,0.1892,,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,105.0,0.1476,0.2379,1426.0,-0.3251,-0.5156,149900.0,-0.1647,-0.4004,2,0.0,1.0,1.0,,,1.0
202605,38647,"michigan city, ms",872500.0,0.0087,0.0087,2,0.0,1.0,78.0,0.6508,-0.6321,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,196.0,0.0094,-0.0685,4557.0,0.0,0.1078,872500.0,0.0087,0.0087,2,0.0,0.0,,,,1.0
202605,38841,"ecru, ms",285500.0,-0.013,-0.0467,4,-0.3333,-0.4286,71.0,0.6706,-0.7042,0,,,0,,,0.0,0.0,0.0,4.0,-0.3333,,0.4,-0.3532,0.4,3.0,2.0,0.5,170.0,0.0568,0.1051,1565.0,-0.0972,-0.0794,240225.0,-0.1788,-0.1049,7,0.0769,-0.125,0.75,0.5833,0.4643,1.0
202605,39335,"lauderdale, ms",260000.0,0.0196,-0.3875,8,0.0,7.0,46.0,-0.0421,0.2466,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1818,0.0,3.0,0.5,0.5,123.0,0.0689,-0.0477,1929.0,0.0723,-0.3812,286395.0,0.2557,-0.3253,10,-0.0909,2.3333,0.375,0.125,-1.625,1.0
202605,39194,"yazoo city, ms",242000.0,0.352,0.3444,18,0.0909,-0.3793,42.0,-0.58,-0.2881,8,0.3333,-0.3333,0,,,0.0,0.0,0.0,4.0,1.0,-0.5,0.1143,0.0555,-0.0635,8.0,-0.2,0.3333,88.0,0.0071,0.1125,2257.0,0.3001,0.0882,266432.0,0.1795,0.2914,25,-0.0566,-0.2424,0.4444,-0.1616,0.2375,0.0
202605,39572,"pearlington, ms",179000.0,-0.3161,-0.5149,5,0.6667,0.0,29.0,-0.6742,-0.4082,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.3333,0.0,87.0,-0.4627,-0.6515,1731.0,0.1029,-0.1548,247180.0,0.0675,-0.4702,7,0.1667,0.0,0.4,-0.6,0.0,1.0
202605,39574,"saucier, ms",265000.0,-0.0149,-0.3188,32,-0.0448,0.2308,57.0,0.4074,0.0,12,0.2,0.5,0,,,0.0,0.0,0.0,12.0,1.0,-0.25,0.2264,0.1124,-0.1214,9.0,0.0,-0.25,183.0,0.0,0.1834,1503.0,-0.0451,-0.3764,409730.0,-0.0537,-0.0886,41,-0.0238,0.0789,0.2813,0.0126,-0.1803,1.0
202605,39776,"woodland, ms",198500.0,-0.456,2.978,1,0.0,0.0,3.0,-0.984,-0.963,4,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,102.0,-0.3941,1.1624,1950.0,-0.1022,0.8396,198500.0,-0.456,2.978,1,0.0,0.0,,,,1.0
202605,39573,"perkinston, ms",335000.0,-0.0344,-0.0941,28,0.1667,0.5556,53.0,-0.1311,0.0392,8,-0.2,0.0,0,,,0.0,0.0,0.0,8.0,-0.4286,0.0,0.1481,-0.1579,-0.047,11.0,-0.1538,0.1,166.0,-0.0683,-0.0254,1954.0,0.0169,0.1256,448837.0,-0.0186,-0.1062,38,0.027,0.4074,0.3929,-0.1488,-0.1627,0.0
202605,39362,"state line, ms",171500.0,0.1669,-0.02,2,0.0,1.0,62.0,0.0,-0.0391,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-1.0,0.0,1.0,0.0,,78.0,0.1471,0.0917,2240.0,0.0442,-0.0872,171500.0,0.1669,-0.02,3,0.2,2.0,0.5,0.0,,0.0
202605,39145,"pelahatchie, ms",479900.0,-0.0766,-0.1153,13,-0.0714,1.6,62.0,0.6757,-0.1842,4,,,0,,,0.0,0.0,0.0,8.0,-0.2,,0.381,-0.1848,0.381,3.0,-0.1429,,195.0,-0.0299,0.145,2567.0,0.0397,-0.1552,478029.0,-0.0642,-0.1932,16,-0.0857,2.2,0.2308,-0.0192,,1.0
202605,38774,"shelby, ms",54450.0,0.2895,-0.8271,2,0.3333,1.0,38.0,3.2857,-0.25,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,60.0,0.2691,-0.3941,890.0,0.0171,-0.7207,54450.0,0.2895,-0.8271,2,-0.2,1.0,0.5,-0.1667,,1.0
202605,39180,"vicksburg, ms",239000.0,0.0991,0.3278,72,0.0141,0.1613,75.0,0.0381,0.25,20,0.0,-0.375,0,,,0.0,0.0,0.0,24.0,0.3333,1.0,0.1951,0.0473,0.1056,39.0,0.2787,0.1471,112.0,-0.0044,0.0909,2128.0,0.0451,0.1875,249753.0,0.0481,0.2162,107,0.0542,0.1031,0.5417,0.1121,-0.0067,0.0
202605,39347,"pachuta, ms",179000.0,-0.0014,-0.1268,20,0.0526,0.6667,65.0,0.0039,-0.6317,8,1.0,,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1874,-0.1667,9.0,1.25,3.5,151.0,-0.067,-0.1773,1344.0,-0.0605,0.0398,204853.0,-0.0217,-0.1856,29,0.234,1.0714,0.45,0.2395,0.2833,1.0
202605,38921,"charleston, ms",155000.0,-0.0432,0.3845,6,0.0909,0.5,51.0,1.3721,-0.6408,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,69.0,0.0,0.2391,2400.0,-0.0106,0.1688,219133.0,-0.012,-0.4937,6,0.0909,0.5,0.1667,,,1.0
202605,39750,"maben, ms",315000.0,-0.0153,0.7549,11,0.2222,1.75,131.0,-0.2362,0.1055,4,,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.5,-0.3333,165.0,-0.0148,0.6978,1636.0,-0.1941,-0.0076,288555.0,-0.0939,0.5616,12,0.0909,1.4,0.0909,-0.1313,-0.2841,1.0
202605,39426,"carriere, ms",299900.0,-0.0078,0.0,92,0.0,-0.0108,79.0,0.197,0.0064,20,-0.2308,-0.2857,0,-1.0,,0.0,-0.0274,0.0,32.0,0.0667,-0.2727,0.2319,0.0273,-0.0576,31.0,0.0,0.069,164.0,-0.0101,-0.0157,1973.0,-0.0057,-0.0276,374679.0,-0.0139,-0.0585,119,-0.0083,-0.0246,0.337,0.0,0.0251,0.0
202605,39117,"morton, ms",213500.0,-0.3683,-0.5114,6,-0.0769,0.5,68.0,-0.3333,0.1429,4,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1176,0.0,3.0,1.0,0.5,111.0,-0.0258,-0.3098,2202.0,-0.2,-0.1873,259914.0,-0.2209,-0.4072,9,0.0,0.5,0.5,0.2692,0.0,1.0
202605,39320,"bailey, ms",325000.0,0.0,1.5,3,0.0,0.0,226.0,0.162,2.7049,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,144.0,0.0,0.8778,1901.0,0.0,0.2217,307600.0,0.0,1.2785,3,-0.25,0.0,0.3333,0.0,,1.0
202605,39047,"brandon, ms",389900.0,-0.0113,-0.0228,188,0.0774,0.033,58.0,0.1485,-0.0569,76,-0.1556,-0.0952,0,,,0.0,0.0,0.0,88.0,0.375,0.4667,0.2458,0.0664,0.0938,87.0,0.0058,-0.1386,172.0,0.0019,-0.0092,2303.0,-0.0129,0.015,448557.0,-0.0214,0.0248,278,0.0631,-0.0036,0.4628,-0.0329,-0.0922,0.0
202605,39501,"gulfport, ms",194999.0,0.0263,0.0598,101,0.005,0.2169,92.0,0.122,0.2867,24,0.0,0.0,0,,,0.0,0.0,0.0,32.0,0.7778,-0.2,0.2133,0.0941,-0.0644,26.0,0.0,-0.2571,132.0,0.0002,0.0362,1414.0,0.0122,-0.0648,314920.0,0.0186,0.0697,127,0.012,0.0948,0.2574,-0.0013,-0.1643,0.0
202605,38873,"tishomingo, ms",157000.0,0.1684,-0.1266,5,0.1111,1.5,53.0,-0.2957,-0.7415,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,-0.1429,-0.25,97.0,0.0136,-0.0329,1970.0,0.1474,0.0944,263380.0,0.12,0.4673,8,0.0,0.3333,0.6,-0.1778,-1.4,1.0
202605,38865,"rienzi, ms",284950.0,0.0005,0.3257,7,0.0769,1.3333,115.0,0.3105,1.5,4,0.0,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1111,0.0,2.0,-0.5556,-0.6,112.0,-0.0881,0.2148,2551.0,0.0333,0.6146,253425.0,-0.0706,0.1082,9,-0.1429,0.125,0.2857,-0.4066,-1.381,1.0
202605,39330,"enterprise, ms",249500.0,-0.0296,-0.002,9,-0.1818,-0.1818,153.0,-0.4304,7.9706,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,,,0.3077,0.3077,0.3077,2.0,-0.4286,0.0,155.0,0.0074,-0.0004,1613.0,-0.0005,-0.0402,264933.0,-0.0532,-0.0167,11,-0.2414,-0.1538,0.2222,-0.096,0.0404,1.0
202605,38860,"okolona, ms",122950.0,-0.0542,-0.016,6,-0.1429,-0.25,147.0,-0.2249,1.2538,4,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,,1.0,80.0,0.0578,0.2847,1540.0,-0.1449,-0.5383,133233.0,0.0239,-0.1984,8,0.1429,-0.1111,0.3333,0.3333,0.2083,1.0
