month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,59722,"deer lodge, mt",750000.0,0.2252,0.4286,22,-0.0833,-0.2903,91.0,-0.2206,0.2381,8,1.0,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.05,-0.2051,8.0,-0.2727,0.6,300.0,-0.041,0.299,2360.0,0.059,-0.0008,1214404.0,0.1155,0.2892,29,-0.1831,-0.1944,0.3636,-0.0947,0.2023,0.0
202608,59867,"saltese, mt",4500000.0,0.0,-0.3077,1,0.0,0.0,65.0,0.9403,-0.7719,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,2143.0,0.0,-0.3077,2100.0,0.0,0.0,4500000.0,0.0,-0.3077,1,0.0,0.0,,,,1.0
202608,59856,"paradise, mt",857000.0,0.0,0.8671,2,0.0,0.0,97.0,0.4846,-0.1822,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,577.0,0.0,0.1927,1485.0,0.0,0.5648,857000.0,0.0,0.6652,2,0.0,0.0,,,,1.0
202608,59920,"kila, mt",900000.0,-0.0853,0.0909,36,0.0588,1.1176,79.0,0.2344,-0.1551,8,0.0,1.0,0,,,0.0,0.0,0.0,12.0,-0.25,2.0,0.2791,-0.0895,0.1124,7.0,1.8,2.5,462.0,0.0246,0.0175,2413.0,-0.1083,-0.0371,1755807.0,-0.0134,0.6271,43,0.1944,1.2632,0.1944,0.1209,0.0768,1.0
202608,59405,"great falls, mt",375000.0,0.0204,-0.0385,53,0.0392,-0.3026,46.0,0.0575,0.15,28,-0.3,-0.125,0,,,0.0,0.0,0.0,24.0,0.5,-0.25,0.1791,0.0674,-0.0729,40.0,-0.1579,0.3793,211.0,-0.0267,0.0411,1908.0,0.0647,-0.0679,484542.0,0.0502,-0.2385,94,-0.0505,-0.0874,0.7547,-0.1767,0.3731,0.0
202608,59349,"terry, mt",155750.0,0.0,0.0052,6,0.0,1.0,86.0,0.5566,3.9143,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,105.0,0.0,0.1797,1582.0,0.0,-0.0617,210233.0,-0.0039,0.3281,6,0.0,1.0,,,,1.0
202608,59634,"clancy, mt",999000.0,-0.1307,0.1767,34,-0.2184,-0.2273,96.0,0.1294,0.4769,4,-0.3333,-0.5,0,,,0.0,0.0,0.0,8.0,-0.3333,-0.3333,0.16,-0.0387,-0.0305,17.0,0.4167,0.5455,314.0,0.0073,0.0351,3126.0,0.0249,-0.0405,1369128.0,0.0177,0.1173,52,-0.0459,-0.0545,0.5,0.2241,0.25,0.0
202608,59919,"hungry horse, mt",469000.0,0.1667,0.1725,2,-0.5,-0.6,84.0,0.4153,-0.0402,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,353.0,0.1686,0.2867,1472.0,0.1424,-0.0442,475500.0,0.1017,0.0901,4,-0.2727,-0.2,0.5,0.25,,0.0
202608,59749,"sheridan, mt",786950.0,-0.0151,0.0493,24,0.0435,-0.2258,158.0,-0.0032,0.6041,4,0.0,0.0,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.1212,-0.0147,0.0069,6.0,0.5,0.0,326.0,-0.0209,-0.0901,1912.0,0.0192,-0.0627,812227.0,0.0274,0.07,29,0.0545,-0.1714,0.25,0.0761,0.0565,0.0
202608,59255,"poplar, mt",150000.0,-0.1176,-0.1751,1,-0.5,-0.5,170.0,-0.2237,0.8085,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,66.0,-0.0965,-0.0921,2284.0,-0.0248,0.0448,150000.0,-0.1176,-0.1751,1,-0.5,-0.5,,,,1.0
202608,59936,"west glacier, mt",2095200.0,-0.6119,-0.249,5,0.4286,0.6667,39.0,-0.5229,-0.22,0,-1.0,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.4722,0.0,1.0,0.0,,2488.0,-0.3381,-0.134,1000.0,-0.2782,0.0593,4497300.0,-0.1364,-0.0312,6,0.3333,1.0,0.2,-0.0857,,1.0
202608,59337,"jordan, mt",260000.0,0.0,0.3007,1,0.0,-0.6667,22.0,0.9545,-0.7095,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,75.0,0.0,-0.2852,3472.0,0.0,1.4011,260000.0,0.0,0.421,1,0.0,-0.75,1.0,,0.6667,1.0
202608,59036,"harlowton, mt",199000.0,-0.0363,0.2134,4,0.0,0.0,104.0,0.2381,-0.6645,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.4,0.0,1.0,0.0,0.0,104.0,0.0,-0.0677,2021.0,0.0,0.5253,203225.0,-0.0579,0.1596,5,0.0,0.0,0.25,0.0,0.0,1.0
202608,59841,"pinesdale, mt",679000.0,0.0,-0.0812,1,0.0,0.0,138.0,0.2958,0.5506,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,251.0,0.0,-0.0812,2706.0,0.0,0.0,679000.0,0.0,-0.0812,1,0.0,0.0,,,,0.0
202608,59750,"butte, mt",914950.0,0.2179,0.1491,1,0.0,-0.5,1.0,-0.9972,-0.9714,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,243.0,0.0961,0.0316,3771.0,0.1245,0.1245,914950.0,0.2179,0.1491,1,0.0,-0.5,1.0,0.0,,1.0
202608,59072,"roundup, mt",395000.0,-0.033,0.3189,32,-0.0725,0.28,87.0,0.2794,0.6893,4,0.0,-0.5,0,,,0.0,0.0,0.0,12.0,1.0,0.5,0.3,0.1822,0.0949,9.0,0.125,-0.1818,206.0,0.0164,0.1929,2016.0,-0.0984,0.0075,467815.0,-0.0158,-0.0949,41,-0.0353,0.1714,0.2813,0.0494,-0.1588,0.0
202608,59845,"hot springs, mt",374000.0,-0.0585,-0.187,11,-0.0435,0.5714,92.0,0.4375,0.7037,0,-1.0,-1.0,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.3636,-0.153,0.1897,2.0,1.0,0.0,255.0,-0.1265,-0.1722,837.0,-0.1659,-0.225,476182.0,-0.1234,-0.0182,13,0.04,0.4444,0.1818,0.0949,-0.1039,1.0
202608,59846,"huson, mt",874700.0,-0.0792,-0.2883,13,0.3,0.625,63.0,0.0331,-0.1135,0,-1.0,,0,,,0.0,0.0,0.0,4.0,0.0,,0.2667,-0.051,0.2667,1.0,0.0,-0.6667,378.0,0.0809,0.0214,2973.0,-0.0278,-0.1349,1825627.0,-0.0234,-0.5638,14,0.2727,0.4,0.0769,-0.0231,-0.2981,1.0
202608,59803,"missoula, mt",775000.0,0.034,0.0197,62,0.0248,-0.253,60.0,0.1765,0.3333,20,-0.2857,-0.375,0,,,0.0,0.0,0.0,32.0,0.1429,0.0,0.256,0.0233,0.0079,27.0,-0.1429,0.2273,282.0,-0.0154,0.0365,2869.0,-0.047,-0.0159,1046823.0,-0.0255,0.0918,88,-0.0276,-0.1776,0.4355,-0.0852,0.1704,0.0
202608,59471,"roy, mt",297500.0,-0.215,-0.0843,2,-0.3333,-0.6,68.0,0.5632,1.125,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,287.0,-0.4192,-0.459,1261.0,0.3,0.8463,297500.0,-0.0837,-0.114,3,-0.25,-0.4,0.5,0.1667,,1.0
