month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202608,58230,"finley, nd",244950.0,0.2113,4.1677,2,-0.3333,-0.5,43.0,-0.0391,-0.3175,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.2,,105.0,0.1856,2.2934,2518.0,0.0548,0.7362,244950.0,0.2463,1.7623,5,0.1111,0.25,1.5,0.6667,,1.0
202608,58272,"petersburg, nd",150000.0,-0.4116,,1,-0.5,,81.0,0.8295,,0,,,0,,,0.0,0.0,,0.0,,,0.0,0.0,,1.0,0.0,,79.0,-0.14,,1904.0,-0.2882,,150000.0,-0.4116,,2,0.0,,1.0,0.5,,0.0
202608,58243,"hoople, nd",190000.0,0.0,,1,0.0,,120.0,0.3559,,0,,,0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,94.0,0.0,,2016.0,0.0,,190000.0,0.0,,1,0.0,,,,,0.0
202608,58013,"cayuga, nd",435000.0,-0.0114,1.0724,1,0.0,0.0,95.0,0.4961,3.3182,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,214.0,-0.0114,1.4131,2032.0,0.0,-0.1412,435000.0,-0.0114,1.0724,1,0.0,0.0,,,,1.0
202608,58718,"berthold, nd",193500.0,-0.2732,0.1727,5,0.4286,1.5,35.0,-0.3237,-0.5035,4,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.25,0.0,3.0,0.5,,66.0,-0.4602,-0.2748,2944.0,0.5317,0.8039,178125.0,-0.2949,0.0795,7,0.75,2.5,0.6,0.0286,,0.0
202608,58348,"maddock, nd",126950.0,0.2823,-0.0761,2,1.0,0.0,165.0,-0.4007,0.8483,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,68.0,-0.202,-0.2918,1170.0,0.0,-0.2089,126950.0,0.2823,-0.0761,2,1.0,0.0,,,,0.0
202608,58001,"abercrombie, nd",479000.0,0.0,0.0,3,2.0,2.0,22.0,2.1429,-0.9373,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,217.0,0.0,0.0,2210.0,0.0,0.0,476300.0,-0.0056,-0.0056,3,2.0,2.0,,,,1.0
202608,58647,"new england, nd",250000.0,0.787,-0.0689,1,0.0,-0.75,12.0,-0.7419,-0.8806,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.2,0.0,97.0,-0.3494,0.0753,2571.0,1.7468,-0.0765,250000.0,0.787,-0.0539,3,0.0,-0.4,2.0,-0.5,1.5,1.0
202608,58225,"drayton, nd",172450.0,0.0,0.0452,2,0.0,1.0,119.0,0.36,0.3149,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,58.0,0.0,-0.1375,2630.0,0.0,0.0656,172450.0,0.0,0.0452,3,0.2,0.5,0.5,0.0,-0.5,0.0
202608,58790,"velva, nd",222500.0,0.3088,-0.1186,2,1.0,-0.6,15.0,-0.6552,-0.7458,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.3333,-0.5,88.0,0.2095,-0.1389,2455.0,0.0552,0.0008,222500.0,0.3088,-0.1795,4,0.0,-0.5556,1.0,-2.0,0.2,1.0
