month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202606,68924,"axtell, ne",415000.0,0.0,-0.1683,3,-0.25,0.0,47.0,1.9531,-0.6434,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.3333,,194.0,0.0,0.5293,3220.0,0.0,-0.2223,471333.0,-0.0035,0.0903,5,-0.1667,0.6667,0.6667,-0.0833,,1.0
202606,68978,"superior, ne",200500.0,-0.0074,0.2263,10,-0.05,0.0556,92.0,0.464,0.1331,4,,,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.1909,-0.0313,-0.1424,6.0,0.5,1.0,113.0,0.1892,0.216,1841.0,0.1104,-0.0461,191479.0,0.0764,-0.034,16,0.1071,0.2917,0.6316,0.2316,0.2982,0.0
202606,69154,"oshkosh, ne",149000.0,0.1078,0.1037,9,0.0,2.0,61.0,0.9758,1.8161,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,116.0,0.0182,0.4498,1302.0,0.0046,-0.0531,174111.0,0.0909,0.2712,10,0.0556,1.375,0.1111,,-0.2222,1.0
202606,68112,"omaha, ne",198375.0,-0.0554,-0.0983,17,0.1,0.5714,27.0,0.6563,-0.209,14,-0.3,0.75,0,,,0.0,0.0,0.0,14.0,2.5,,0.2686,0.1797,0.2686,20.0,-0.0476,0.3333,125.0,-0.0208,-0.0866,1566.0,-0.0151,-0.3098,253224.0,0.0785,-0.2024,36,0.0143,0.3922,1.2121,-0.1879,-0.2165,1.0
202606,69201,"valentine, ne",415950.0,-0.0324,0.4646,10,0.0,0.1111,90.0,-0.4429,1.6159,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,1.0,-0.6,153.0,-0.0236,-0.1531,2461.0,0.034,0.7301,596781.0,0.0247,0.491,12,0.0455,-0.1481,0.2,0.1,-0.3556,1.0
202606,69140,"grant, ne",311250.0,0.1318,0.1748,2,-0.5,0.0,103.0,1.5122,-0.3729,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.1667,0.1667,161.0,0.1379,0.239,1416.0,-0.5155,-0.2259,333750.0,0.0629,0.2597,6,-0.1429,0.2,1.75,1.0,0.25,0.0
202606,68015,"cedar bluffs, ne",158700.0,-0.1478,-0.7034,5,0.2857,2.0,30.0,1.0345,-0.6289,0,-1.0,,0,,,0.0,0.0,0.0,4.0,1.0,,0.4107,0.2569,0.4107,2.0,0.3333,0.3333,123.0,-0.0173,-0.3682,1457.0,-0.1842,-0.4523,167671.0,-0.1241,-0.6866,8,0.5,1.5,0.4444,0.0159,-0.5556,1.0
202606,68649,"north bend, ne",239625.0,-0.0219,-0.1206,10,-0.0909,0.3333,79.0,0.2383,3.4648,0,,-1.0,0,,,0.0,0.0,0.0,4.0,,,0.265,0.265,0.265,2.0,-0.25,0.0,170.0,-0.0755,0.2383,1464.0,0.0163,-0.2286,312539.0,-0.0158,-0.1263,12,0.0,0.3333,0.15,-0.0318,-0.05,1.0
202606,68138,"omaha, ne",509713.0,-0.0345,0.0903,31,0.55,0.5122,34.0,-0.4087,-0.1226,24,0.2,0.3333,2,,,0.0238,0.0238,0.0238,8.0,,0.3333,0.1032,0.1032,0.0118,25.0,0.0,-0.0385,200.0,-0.0179,0.0104,2548.0,0.0193,0.0911,459441.0,-0.0147,-0.0116,56,0.2444,0.2174,0.8065,-0.4435,-0.4618,0.0
202606,68110,"omaha, ne",167803.0,0.0249,-0.052,20,-0.025,0.7727,42.0,0.3468,0.237,6,-0.5,0.0,0,,,0.0,0.0,0.0,8.0,1.0,0.3333,0.2192,0.1016,0.0414,13.0,0.1364,0.1364,128.0,-0.0415,0.1088,1321.0,0.0036,-0.0238,167698.0,-0.014,-0.0547,32,0.0667,0.4545,0.641,0.091,-0.359,0.0
202606,68301,"adams, ne",374000.0,-0.065,-0.3737,4,0.3333,0.0,30.0,-0.2625,-0.4354,6,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.5,0.0,184.0,-0.1351,-0.1145,2018.0,0.0089,-0.2733,353325.0,-0.2512,-0.4047,8,0.5,0.0,0.75,0.0833,0.0,1.0
