month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202606,89021,"logandale, nv",666250.0,0.0329,-0.08,26,0.0625,2.1875,53.0,-0.1452,0.3333,8,0.0,3.0,0,,,0.0,0.0,0.0,12.0,2.0,1.0,0.3167,0.1567,-0.2167,4.0,0.75,-0.125,226.0,-0.0013,0.2508,2640.0,0.0336,-0.2817,662361.0,0.0249,-0.0865,30,0.2,1.5,0.1373,0.0539,-0.3627,1.0
202606,89131,"las vegas, nv",680000.0,0.0463,0.0906,188,0.1124,-0.2017,52.0,0.1319,0.3553,74,0.0278,-0.2449,2,,0.0,0.0058,0.0058,0.0006,84.0,0.1667,-0.087,0.2661,0.0375,0.0284,60.0,-0.1781,-0.084,259.0,-0.0058,0.0187,2667.0,0.0034,0.038,802906.0,-0.016,0.0114,248,0.0248,-0.172,0.3191,-0.1128,0.041,0.0
202606,89445,"winnemucca, nv",381000.0,0.0,-0.1555,62,0.0164,0.2653,176.0,0.2188,3.0345,14,-0.4167,-0.4167,0,,,0.0,0.0,0.0,6.0,0.5,-0.5,0.06,0.0285,-0.06,25.0,-0.2188,0.1905,255.0,-0.0481,0.0743,1524.0,0.0,-0.1499,458028.0,-0.0196,0.0001,88,-0.0385,0.25,0.4032,-0.1214,-0.0253,1.0
202606,89025,"moapa, nv",569000.0,0.3794,-0.6155,3,-0.5,-0.25,163.0,0.776,0.0906,0,,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.4,1.0,-0.6667,0.0,191.0,-0.0437,-0.7433,2978.0,0.2336,0.3451,793833.0,0.4774,-0.7251,4,-0.5556,-0.1111,0.3333,-0.1667,0.0833,1.0
202606,89022,"manhattan, nv",210000.0,0.0,0.8462,1,0.0,-0.3333,331.0,0.1596,28.3778,0,,-1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,179.0,0.0,0.1381,1174.0,0.0,-0.4234,210000.0,0.0,0.8462,2,1.0,0.3333,1.0,,,1.0
202606,89501,"reno, nv",418500.0,0.0502,0.1318,35,-0.125,-0.2708,70.0,0.0564,-0.0377,8,0.0,-0.4286,0,,,0.0,0.0,0.0,6.0,-0.25,-0.5,0.1103,-0.0435,-0.0612,11.0,2.6667,1.75,403.0,0.046,0.0031,1080.0,-0.0559,0.1209,467136.0,-0.0162,0.1298,46,0.0111,-0.125,0.3143,0.2393,0.231,0.0
202606,89040,"overton, nv",461225.0,0.3178,0.5402,16,-0.2619,1.0667,55.0,-0.3272,0.5245,4,,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1667,-0.0909,3.0,0.5,-0.625,244.0,0.0194,0.027,1618.0,0.2035,0.1094,495172.0,0.2185,0.4645,18,-0.25,0.2857,0.1935,0.0983,-0.8731,1.0
202606,89084,"north las vegas, nv",476225.0,-0.0056,0.0269,216,0.0311,0.0436,44.0,0.061,0.0296,108,0.125,0.08,4,,-0.6,0.0097,0.0097,-0.0142,90.0,0.0714,-0.1667,0.23,0.0351,-0.0226,84.0,0.0244,-0.2941,226.0,0.0049,-0.0599,2193.0,0.0007,0.0922,494429.0,0.0016,-0.0038,297,0.0331,-0.0905,0.3898,-0.0026,-0.1865,0.0
202606,89149,"las vegas, nv",596975.0,-0.1057,0.0576,238,0.0795,0.0237,49.0,-0.0849,0.096,88,0.2941,0.1,2,-0.5,-0.5,0.0054,-0.0056,-0.0053,104.0,0.0833,-0.1613,0.2583,-0.0176,-0.0685,62.0,-0.0313,-0.1014,258.0,-0.0209,-0.0428,2415.0,-0.0271,0.0737,799613.0,-0.0998,-0.095,301,0.0618,-0.0033,0.2611,-0.0299,-0.0364,0.0
202606,89104,"las vegas, nv",420000.0,0.0435,0.0182,73,0.1587,0.0977,54.0,0.0337,0.1376,30,0.0714,0.3636,0,,-1.0,0.0,0.0,-0.0171,22.0,0.375,-0.4762,0.17,0.01,-0.2209,25.0,-0.125,-0.02,258.0,0.0202,0.0466,1604.0,0.0402,0.0335,446325.0,0.0196,0.0373,97,0.0899,0.0718,0.3356,-0.1088,-0.0403,0.0
202606,89121,"las vegas, nv",363675.0,0.0102,-0.0036,221,0.0425,-0.0943,60.0,-0.156,0.1174,84,0.1667,-0.0455,8,1.0,1.0,0.0214,0.0095,0.0112,86.0,0.0238,-0.1569,0.2296,-0.009,-0.0313,76.0,0.0857,0.1176,215.0,-0.0035,-0.0275,1699.0,0.0009,0.03,396045.0,-0.005,-0.0257,298,0.0512,-0.0357,0.3439,0.0137,0.0652,0.0
202606,89442,"wadsworth, nv",1199900.0,0.0,2.0018,0,-1.0,-1.0,48.0,5.0,-0.8072,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,0.3809,3088.0,0.0,1.4596,1199900.0,0.0,2.2763,1,-0.5,-0.6667,,,,1.0
202606,89301,"ely, nv",278125.0,0.0535,-0.0067,28,-0.0968,0.1429,55.0,-0.0984,0.4194,8,-0.3333,-0.3333,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.1905,0.0525,0.095,5.0,-0.1,-0.55,180.0,0.0188,-0.0738,1567.0,-0.0642,-0.0552,316372.0,0.1159,-0.1431,33,-0.0571,-0.0571,0.1607,-0.0006,-0.2474,0.0
202606,89120,"las vegas, nv",507500.0,0.128,0.0584,123,0.0165,-0.0502,68.0,0.4362,0.33,20,-0.5455,-0.2857,0,-1.0,,0.0,-0.02,0.0,52.0,0.1818,-0.1034,0.3011,0.0392,-0.0266,30.0,-0.1176,0.2,239.0,0.0216,-0.0304,2062.0,0.1101,0.0879,879022.0,0.0413,-0.0611,152,-0.0065,-0.0065,0.2439,-0.0371,0.0509,0.0
202606,89141,"las vegas, nv",605000.0,-0.032,-0.0895,240,0.0959,-0.0909,56.0,0.1378,0.2253,90,-0.0625,0.2162,2,,0.0,0.0051,0.0051,0.0003,84.0,0.05,-0.2881,0.2203,0.0011,-0.0722,72.0,-0.1,0.0909,255.0,-0.0067,-0.0215,2636.0,0.0,-0.0366,1159860.0,-0.0617,-0.0474,311,0.0248,-0.0519,0.3,-0.0653,0.05,0.0
202606,89020,"amargosa valley, nv",459000.0,0.0994,0.6393,5,-0.375,0.6667,168.0,0.2454,-0.4426,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,375.0,0.5116,1.5607,1825.0,0.1755,-0.0455,858800.0,0.4623,1.6051,6,-0.3333,1.0,0.2,0.075,0.2,1.0
