month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202605,38545,"bloomington springs, tn",459929.0,-0.5604,0.1221,2,1.0,-0.3333,33.0,-0.4656,-0.2667,0,,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-1.0,1.0,-0.5,0.0,299.0,-0.2217,0.5419,2096.0,-0.2274,-0.0473,668310.0,-0.3612,0.2378,3,0.0,-0.25,0.5,-1.5,0.1667,0.0
202605,37857,"rogersville, tn",325000.0,0.0158,0.0837,70,0.0294,0.0606,83.0,0.1448,0.5229,16,-0.4286,-0.2,0,,,0.0,0.0,0.0,36.0,0.3846,0.125,0.3303,0.1044,0.0394,24.0,0.3714,-0.25,200.0,-0.0525,0.0881,1554.0,0.0268,-0.0661,422727.0,0.0278,0.1257,92,0.0888,-0.0612,0.3429,0.0855,-0.142,0.0
202605,37186,"westmoreland, tn",329950.0,-0.0151,-0.0291,39,-0.025,0.3929,55.0,-0.288,0.0784,24,1.4,0.5,0,,,0.0,0.0,0.0,12.0,-0.1429,0.0,0.1429,-0.0398,-0.0605,22.0,0.0233,-0.12,232.0,-0.0013,0.0289,1485.0,-0.005,-0.0788,396525.0,-0.0796,0.0089,60,-0.0323,0.1765,0.5641,0.0266,-0.3288,0.0
202605,37726,"deer lodge, tn",449000.0,0.0,-0.102,15,0.0714,0.1538,112.0,0.2174,0.5448,4,1.0,0.0,0,,,0.0,0.0,0.0,12.0,5.0,2.0,0.64,0.5067,0.4295,2.0,0.0,-0.3333,149.0,-0.0647,-0.3514,2214.0,-0.0289,0.0853,498008.0,-0.0154,-0.2431,17,0.1333,0.1333,0.1333,-0.0095,-0.0974,1.0
202605,38340,"henderson, tn",264900.0,0.0713,-0.0364,36,0.0286,-0.3208,81.0,-0.0031,0.5,12,0.0,-0.25,0,,,0.0,0.0,0.0,8.0,-0.4286,-0.5,0.1702,-0.0364,-0.01,11.0,-0.4211,-0.3889,163.0,0.0775,0.0396,1854.0,0.0519,-0.0394,361801.0,0.1879,-0.1061,44,-0.1852,-0.3623,0.3056,-0.2373,-0.0341,0.0
202605,37398,"winchester, tn",495000.0,0.0213,-0.0387,179,0.056,0.4435,59.0,0.0,0.1238,60,0.0,0.5,4,,,0.0124,0.0124,0.0124,64.0,0.0667,0.4545,0.1988,-0.0252,-0.028,57.0,0.3103,0.6765,222.0,0.0018,-0.006,2229.0,0.007,-0.0738,617493.0,0.0201,-0.1281,236,0.1002,0.5128,0.3184,0.0618,0.0442,0.0
202605,37405,"chattanooga, tn",476327.0,-0.0473,-0.134,157,0.1336,0.0,61.0,0.2979,0.4186,56,0.2174,-0.0667,0,,,0.0,0.0,0.0,60.0,0.3636,0.1538,0.2182,0.0272,0.0242,58.0,0.0943,0.4146,298.0,-0.0011,0.0058,1689.0,-0.0065,-0.0436,809999.0,-0.0123,0.1723,213,0.124,0.0758,0.3694,-0.0132,0.1083,1.0
202605,38053,"millington, tn",304490.0,0.0016,-0.0828,75,0.1194,0.0714,37.0,0.1385,-0.2292,32,-0.1111,-0.2727,0,-1.0,,0.0,-0.0259,0.0,16.0,-0.5,0.0,0.1074,-0.0833,0.0116,48.0,-0.0769,0.0213,180.0,0.006,-0.1054,1653.0,-0.0291,-0.0114,306635.0,-0.0407,-0.1363,125,0.0684,0.0417,0.64,-0.1361,-0.0314,0.0
202605,38334,"finger, tn",432450.0,0.4851,0.3975,3,-0.1429,-0.4,73.0,0.058,0.2696,4,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.5,0.0,185.0,0.0989,0.1223,2400.0,0.3008,0.3837,483475.0,0.5631,0.5486,4,-0.2727,-0.2,0.3333,-0.2381,0.1333,0.0
202605,38341,"holladay, tn",360000.0,0.0967,0.9048,9,0.0588,-0.1818,47.0,-0.1826,-0.4503,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,,0.0,0.1739,0.1739,-0.0366,6.0,0.2,1.0,233.0,0.2823,0.2485,1554.0,-0.0119,0.5176,463544.0,0.1336,0.5293,15,0.1538,0.1538,0.6667,0.0784,0.3939,1.0
202605,38549,"byrdstown, tn",425000.0,-0.0339,0.0652,53,0.06,0.359,61.0,-0.2907,-0.0469,8,-0.4286,0.0,0,,,0.0,0.0,0.0,8.0,0.0,-0.3333,0.1212,0.0057,-0.1188,5.0,0.25,0.0,255.0,-0.011,0.1352,2200.0,0.0,0.2304,711869.0,-0.0212,0.0035,58,0.1048,0.3488,0.0943,0.0143,-0.0339,0.0
202605,38128,"memphis, tn",140000.0,-0.0361,-0.176,131,0.0356,0.5976,60.0,0.1553,-0.0703,52,0.1304,0.3,0,,,0.0,0.0,0.0,56.0,1.0,1.0,0.2424,0.1044,0.0606,45.0,0.125,0.2857,101.0,-0.0198,-0.2029,1353.0,-0.0135,-0.1371,159643.0,-0.0259,-0.18,178,0.0659,0.5345,0.3435,0.0273,-0.0833,1.0
202605,37308,"birchwood, tn",385000.0,-0.0345,-0.3573,16,-0.0588,2.2,73.0,0.1145,-0.3113,8,3.0,1.0,0,,,0.0,0.0,0.0,4.0,-0.3333,,0.1429,-0.1729,0.1429,7.0,1.0,0.75,215.0,0.0282,-0.0486,2211.0,0.0509,-0.2717,599544.0,0.0502,-0.0262,23,0.122,1.3,0.4375,0.2316,-0.3625,1.0
202605,37335,"flintville, tn",375000.0,0.0563,0.0669,6,-0.3333,-0.25,91.0,0.4737,0.1519,0,-1.0,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.3068,0.0,4.0,0.6,0.0,208.0,-0.0196,0.1177,1668.0,-0.0547,-0.1868,436667.0,0.0353,-0.0484,10,-0.0909,-0.0909,0.6667,0.3889,0.1667,0.0
202605,37920,"knoxville, tn",415000.0,0.0159,0.0389,190,0.0188,0.3869,55.0,-0.0756,0.2791,76,-0.24,0.0,4,,0.0,0.0092,0.0092,-0.0035,84.0,-0.125,0.2353,0.2211,-0.0272,0.0125,140.0,0.1336,0.4141,246.0,0.0207,0.0083,1575.0,-0.0107,0.0096,470429.0,0.0107,-0.1551,327,0.06,0.3739,0.7368,0.0746,0.0142,0.0
202605,38565,"grimsley, tn",389900.0,0.0207,0.0,12,0.0,0.0,37.0,-0.5432,-0.6064,4,0.0,0.0,0,,,0.0,0.0,0.0,4.0,1.0,,0.2105,0.0855,0.2105,6.0,0.5,0.2,249.0,0.1345,0.1644,1555.0,-0.07,-0.1081,413507.0,0.0425,-0.082,17,0.0968,0.0,0.5,0.1667,0.0833,1.0
202605,38332,"enville, tn",287462.0,0.3943,-0.3948,2,-0.4286,1.0,72.0,1.0,0.0141,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,1.0,0.0,164.0,0.3843,-0.337,1663.0,0.0368,-0.132,287462.0,0.1111,-0.3948,5,0.0,0.0,1.5,1.0714,-1.5,1.0
202605,38345,"huron, tn",318650.0,0.0449,-0.0893,4,-0.3333,-0.2,106.0,0.5143,-0.1783,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,-0.6667,130.0,-0.0597,-0.1223,2276.0,0.0606,-0.0641,383810.0,0.1055,0.0292,6,-0.1429,-0.1429,0.25,0.0833,-0.35,0.0
202605,37190,"woodbury, tn",443900.0,0.1473,-0.0242,24,0.0,-0.3514,48.0,0.2075,0.0667,8,0.0,-0.6,0,,,0.0,0.0,0.0,4.0,0.0,-0.6667,0.0816,0.005,-0.0805,17.0,0.0303,0.5455,236.0,-0.0373,-0.0939,1855.0,0.1072,-0.0341,474383.0,-0.0425,-0.1188,41,-0.012,-0.18,0.7083,0.0208,0.411,0.0
